episode,step,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,interventions,emergency,joint_envelope_violated,oscillation_persistent,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence,cv_curvature,cv_lane_width,cv_n_lines,cv_reason
0,1,-0.836958,-1.516106,0.280262,0.106394,0.280262,2.001978,0.042637,0.333035,0.333035,0.000000,,0,0,0,1,1,0,-0.119845,0.260831,0.6042,-0.0310,0.2691,2,ok
0,2,-0.827922,-1.514584,0.306769,0.107916,0.306769,2.011013,0.105266,0.380290,0.380290,0.000000,,0,0,0,1,1,0,-0.119236,0.270829,0.6042,-0.0173,0.2690,2,ok
0,3,-0.811692,-1.510025,0.323398,0.112475,0.323398,2.027244,0.169689,0.227295,0.230290,0.002995,C-06,0,0,0,1,1,0,-0.114877,0.289217,0.6250,-0.0485,0.2679,2,ok
0,4,-0.793363,-1.504240,0.334188,0.118260,0.334188,2.045572,0.198551,0.184516,0.184516,0.000000,,0,0,0,1,1,0,-0.108372,0.317903,0.6250,-0.0351,0.2674,2,ok
0,5,-0.770750,-1.496826,0.349223,0.125674,0.349223,2.068185,0.198250,0.222606,0.222606,0.000000,,0,0,0,1,1,0,-0.100443,0.326048,0.6042,-0.0445,0.2673,2,ok
0,6,-0.752018,-1.490458,0.367146,0.132042,0.367146,2.085135,0.197462,0.326667,0.326667,0.000000,,0,0,0,1,1,0,-0.100443,0.326048,0.6042,-0.0445,0.2673,2,ok
0,7,-0.733390,-1.483598,0.377611,0.138902,0.377611,2.105545,0.198598,0.071599,0.176667,0.105069,C-06,0,0,0,1,1,0,-0.089583,0.346890,0.6458,-0.0298,0.2696,2,ok
0,8,-0.711095,-1.474812,0.380061,0.147688,0.380061,2.127841,0.199785,-0.056522,0.026667,0.083189,C-06,0,0,0,1,1,0,-0.076269,0.369766,0.7708,-0.0403,0.2681,2,ok
0,9,-0.685108,-1.464468,0.384643,0.158032,0.384643,2.153828,0.199697,0.120619,0.120619,0.000000,,0,0,0,1,1,0,-0.064056,0.377967,0.7292,-0.0310,0.2675,2,ok
0,10,-0.666578,-1.457008,0.386709,0.165492,0.386709,2.172357,0.199758,0.030043,0.030043,0.000000,,0,0,0,1,1,0,-0.057208,0.381429,0.7083,0.0129,0.2674,2,ok
0,11,-0.648036,-1.449468,0.380775,0.173032,0.380775,2.190900,0.200396,-0.134615,-0.119957,0.014658,C-06,0,0,0,1,1,0,-0.047045,0.384167,0.7292,-0.0347,0.2692,2,ok
0,12,-0.629437,-1.441922,0.372108,0.180578,0.372108,2.209499,0.200979,-0.158548,-0.158548,0.000000,,0,0,0,1,1,0,-0.040164,0.386304,0.6875,-0.0105,0.2662,2,ok
0,13,-0.607066,-1.433124,0.369356,0.189376,0.369356,2.231869,0.200293,-0.035898,-0.035898,0.000000,,0,0,0,1,1,0,-0.034322,0.382043,0.6667,0.0114,0.2609,2,ok
0,14,-0.588409,-1.425851,0.367658,0.196649,0.367658,2.250527,0.200245,-0.029961,-0.029961,0.000000,,0,0,0,1,1,0,-0.022061,0.369749,0.6667,0.0075,0.2660,2,ok
0,15,-0.569716,-1.418659,0.359068,0.203841,0.359068,2.269219,0.200535,-0.161118,-0.161118,0.000000,,0,0,0,1,1,0,-0.015152,0.373425,0.6667,0.0155,0.2621,2,ok
0,16,-0.550945,-1.411471,0.344903,0.211029,0.344903,2.285335,0.201429,-0.257443,-0.257443,0.000000,,0,0,0,1,1,0,-0.006939,0.366321,0.6458,-0.0078,0.2638,2,ok
0,17,-0.532078,-1.404304,0.331610,0.218196,0.331610,2.306857,0.201949,-0.231480,-0.231480,0.000000,,0,0,0,1,1,0,0.001275,0.350026,0.6042,-0.0365,0.2684,2,ok
0,18,-0.513147,-1.397587,0.325498,0.224913,0.325498,2.325789,0.200797,-0.096989,-0.096989,0.000000,,0,0,0,1,1,0,0.002526,0.345450,0.6042,-0.0065,0.2640,2,ok
0,19,-0.490371,-1.389636,0.315927,0.232864,0.315927,2.348564,0.201163,-0.141120,-0.141120,0.000000,,0,0,0,1,1,0,0.011948,0.331372,0.5625,-0.0088,0.2635,2,ok
0,20,-0.471315,-1.383130,0.299751,0.239370,0.299751,2.367621,0.201786,-0.452505,-0.291120,0.161386,C-06,0,0,0,1,1,0,0.016080,0.340001,0.5417,0.0007,0.2595,2,ok
0,21,-0.452151,-1.376629,0.280007,0.245871,0.280007,2.385435,0.202829,-0.339800,-0.339800,0.000000,,0,0,0,1,1,0,0.022420,0.308411,0.5625,0.0073,0.2640,2,ok
0,22,-0.432895,-1.370639,0.267778,0.251861,0.267778,2.406041,0.201559,-0.195478,-0.195478,0.000000,,0,0,0,1,1,0,0.027610,0.280018,0.5625,-0.0017,0.2648,2,ok
0,23,-0.409707,-1.363762,0.253622,0.258738,0.253622,2.429229,0.201543,-0.197394,-0.197394,0.000000,,0,0,0,1,1,0,0.032352,0.274288,0.5833,-0.0089,0.2633,2,ok
0,24,-0.390322,-1.358350,0.243723,0.264150,0.243723,2.448614,0.201232,-0.161812,-0.161812,0.000000,,0,0,0,1,1,0,0.037242,0.259546,0.5833,-0.0049,0.2645,2,ok
0,25,-0.370893,-1.353184,0.235304,0.269316,0.235304,2.468043,0.201021,-0.137216,-0.137216,0.000000,,0,0,0,1,1,0,0.043189,0.246681,0.5833,0.0014,0.2641,2,ok
0,26,-0.351423,-1.348151,0.226150,0.274349,0.226150,2.485635,0.201109,-0.151363,-0.151363,0.000000,,0,0,0,1,1,0,0.047309,0.243681,0.5833,0.0015,0.2636,2,ok
0,27,-0.328021,-1.342589,0.221462,0.279911,0.221462,2.510915,0.200410,-0.058292,-0.058292,0.000000,,0,0,0,1,1,0,0.051520,0.239864,0.5833,-0.0008,0.2631,2,ok
