episode,step,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,interventions,emergency,joint_envelope_violated,oscillation_persistent,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence,cv_curvature,cv_lane_width,cv_n_lines,cv_reason
0,1,-0.837496,-1.630052,0.045615,-0.007552,0.045615,2.001440,0.037333,0.425198,0.425198,0.000000,,0,0,0,1,1,0,0.005458,0.023981,0.7708,-0.0440,0.2669,2,ok
0,2,-0.828894,-1.629922,0.068854,-0.007422,0.068854,2.010041,0.100744,0.270304,0.275198,0.004894,C-06,0,0,0,1,1,0,0.007200,0.035101,0.7708,-0.0482,0.2681,2,ok
0,3,-0.812691,-1.629297,0.079804,-0.006797,0.079804,2.026245,0.164251,-0.052411,0.125198,0.177609,C-06,0,0,0,1,1,0,0.010007,0.056670,0.7500,-0.0474,0.2679,2,ok
0,4,-0.793766,-1.627900,0.078866,-0.005400,0.078866,2.045170,0.199934,-0.422433,-0.024802,0.397631,C-06,0,0,0,1,1,0,0.012616,0.076685,0.7500,-0.0422,0.2669,2,ok
0,5,-0.769830,-1.626110,0.065731,-0.003610,0.065731,2.069106,0.200116,-0.629013,-0.174802,0.454211,C-06,0,0,0,1,1,0,0.013845,0.077857,0.7292,-0.0336,0.2677,3,ok
0,6,-0.749866,-1.624618,0.053960,-0.002118,0.053960,2.089070,0.200258,-0.172978,-0.172978,0.000000,,0,0,0,1,1,0,0.014617,0.074148,0.7083,-0.0455,0.2661,3,ok
0,7,-0.729885,-1.623126,0.032975,-0.000626,0.032975,2.109050,0.200439,-0.315113,-0.315113,0.000000,,0,0,0,1,1,0,0.014543,0.063877,0.7083,-0.0416,0.2660,2,ok
0,8,-0.705893,-1.621683,0.018323,0.000817,0.018323,2.133042,0.200248,0.507896,-0.165113,-0.673009,C-06,0,0,0,1,1,0,0.013780,0.040168,0.7292,-0.0363,0.2676,2,ok
0,9,-0.685895,-1.620795,0.007681,0.001705,0.007681,2.153040,0.200014,0.404255,-0.015113,-0.419369,C-06,0,0,0,1,1,0,0.013394,0.016989,0.7917,-0.0480,0.2670,2,ok
0,10,-0.661896,-1.620540,0.009895,0.001960,0.009895,2.177040,0.200002,0.028909,0.028909,0.000000,,0,0,0,1,1,0,0.012027,0.007177,0.7917,-0.0248,0.2678,2,ok
0,11,-0.641896,-1.620338,0.002420,0.002162,0.002420,2.197039,0.200009,-0.138105,-0.121091,0.017014,C-06,0,0,0,1,1,0,0.013130,0.006963,0.7708,-0.0436,0.2669,2,ok
0,12,-0.621897,-1.620290,0.003700,0.002210,0.003700,2.217039,0.199999,0.151800,0.028909,-0.122891,C-06,0,0,0,1,1,0,0.012920,0.001284,0.7708,-0.0484,0.2668,2,ok
0,13,-0.601897,-1.620253,0.015324,0.002247,0.015324,2.235335,0.199979,0.270976,0.178909,-0.092067,C-06,0,0,0,1,1,0,0.012583,-0.000463,0.7292,-0.0469,0.2670,2,ok
0,14,-0.577901,-1.619995,0.018492,0.002505,0.018492,2.261034,0.199981,-0.402945,0.028909,0.431854,C-06,0,0,0,1,1,0,0.014119,0.009755,0.7292,-0.0544,0.2670,2,ok
0,15,-0.557903,-1.619667,0.011029,0.002833,0.011029,2.281032,0.200015,-0.441285,-0.121091,0.320194,C-06,0,0,0,1,1,0,0.014839,0.013571,0.7083,-0.0479,0.2668,2,ok
0,16,-0.537905,-1.619449,0.012513,0.003051,0.012513,2.301031,0.199996,0.097181,0.028909,-0.068272,C-06,0,0,0,1,1,0,0.014827,0.012255,0.6875,-0.0397,0.2667,2,ok
0,17,-0.517908,-1.619237,0.023964,0.003263,0.023964,2.321028,0.199957,1.000000,0.178909,-0.821091,C-06,0,0,0,1,1,0,0.014110,0.008831,0.7500,-0.0372,0.2670,2,ok
0,18,-0.493916,-1.618772,0.026906,0.003728,0.026906,2.345020,0.199972,0.002542,0.028909,0.026367,C-06,0,0,0,1,1,0,0.016094,0.015158,0.7500,-0.0576,0.2664,2,ok
0,19,-0.469922,-1.618171,0.017790,0.004329,0.017790,2.369013,0.200031,-0.382127,-0.121091,0.261036,C-06,0,0,0,1,1,0,0.016589,0.024765,0.7708,-0.0286,0.2670,2,ok
0,20,-0.449923,-1.617665,-0.000329,0.004835,-0.000329,2.389012,0.200064,-0.447045,-0.271091,0.175954,C-06,0,0,0,1,1,0,0.016011,0.019759,0.7500,-0.0161,0.2684,2,ok
0,21,-0.429926,-1.617159,-0.026789,0.005341,-0.026789,2.409010,0.200000,-0.387044,-0.387044,0.000000,,0,0,0,1,1,0,0.015531,0.004334,0.7708,-0.0367,0.2668,2,ok
0,22,-0.409940,-1.616764,-0.046735,0.005736,-0.046735,2.428996,0.199804,-0.281320,-0.281320,0.000000,,0,0,0,1,1,0,0.013146,-0.020001,0.7292,-0.0383,0.2670,2,ok
0,23,-0.385989,-1.616562,-0.080921,0.005938,-0.080921,2.452947,0.199373,-0.464759,-0.431320,0.033439,C-06,0,0,0,1,1,0,0.010609,-0.040830,0.7292,-0.0424,0.2665,2,ok
0,24,-0.366072,-1.617257,-0.100440,0.005243,-0.100440,2.472864,0.199225,0.452372,-0.281320,-0.733692,C-06,0,0,0,1,1,0,0.006119,-0.080578,0.7083,-0.0436,0.2671,2,ok
0,25,-0.346183,-1.618826,-0.109831,0.003674,-0.109831,2.492752,0.199524,0.115048,-0.131320,-0.246368,C-06,0,0,0,1,1,0,0.002957,-0.099635,0.6875,-0.0469,0.2676,2,ok
0,26,-0.326304,-1.620984,-0.109305,0.001516,-0.109305,2.512632,0.200009,0.229581,0.018680,-0.210901,C-06,0,0,0,1,1,0,-0.000057,-0.112497,0.7500,-0.0408,0.2669,2,ok
0,27,-0.302441,-1.623614,-0.104807,-0.001114,-0.104807,2.535635,0.200102,0.059677,0.059677,0.000000,,0,0,0,1,1,0,-0.002278,-0.111613,0.7917,-0.0407,0.2666,2,ok
0,28,-0.278556,-1.626244,-0.089327,-0.003744,-0.089327,2.560380,0.200391,0.205228,0.205228,0.000000,,0,0,0,1,1,0,-0.003391,-0.110002,0.7917,-0.0570,0.2654,2,ok
0,29,-0.258625,-1.628435,-0.076651,-0.005935,-0.076651,2.580311,0.200603,0.188111,0.188111,0.000000,,0,0,0,1,1,0,-0.004607,-0.097789,0.7500,-0.0544,0.2662,2,ok
0,30,-0.234686,-1.630720,-0.066781,-0.008220,-0.066781,2.604249,0.200363,0.117083,0.117083,0.000000,,0,0,0,1,1,0,-0.005639,-0.085870,0.7708,-0.0425,0.2671,2,ok
0,31,-0.210730,-1.632858,-0.053554,-0.010358,-0.053554,2.628205,0.200467,0.165102,0.165102,0.000000,,0,0,0,1,1,0,-0.007102,-0.070337,0.7292,-0.0337,0.2679,2,ok
0,32,-0.186752,-1.634919,-0.030415,-0.012419,-0.030415,2.652183,0.200636,0.290289,0.290289,0.000000,,0,0,0,1,1,0,-0.007763,-0.059691,0.7500,-0.0319,0.2669,2,ok
0,33,-0.162759,-1.636401,-0.014364,-0.013901,-0.014364,2.676177,0.200265,0.184519,0.184519,0.000000,,0,0,0,1,1,0,-0.006498,-0.034975,0.7292,-0.0472,0.2657,2,ok
0,34,-0.138760,-1.636995,-0.008972,-0.014495,-0.008972,2.700175,0.200035,0.055216,0.055216,0.000000,,0,0,0,1,1,0,-0.005654,-0.023463,0.6875,-0.0594,0.2655,2,ok
0,35,-0.118761,-1.637246,-0.007508,-0.014746,-0.007508,2.720175,0.200007,0.017807,0.017807,0.000000,,0,0,0,1,1,0,-0.005849,-0.013072,0.7500,-0.0481,0.2668,2,ok
