episode,step,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,interventions,emergency,joint_envelope_violated,oscillation_persistent,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence,cv_curvature,cv_lane_width,cv_n_lines,cv_reason
0,1,-2.826840,-1.603281,-0.267868,0.015876,0.037307,19.992133,0.035398,0.152262,0.152262,0.000000,,0,0,0,1,1,0,0.028836,-0.220475,0.6667,0.2074,0.2496,2,ok
0,2,-2.818640,-1.605020,-0.258324,0.016298,0.006073,0.009729,0.098988,0.132031,0.132031,0.000000,,0,0,0,1,1,0,0.028828,-0.217232,0.6458,0.2104,0.2503,2,ok
0,3,-2.803032,-1.608587,-0.248727,0.016945,0.015670,0.025727,0.162572,0.133210,0.133210,0.000000,,0,0,0,1,1,0,0.030250,-0.210329,0.6458,0.1916,0.2515,2,ok
0,4,-2.784691,-1.613180,-0.247705,0.017318,0.016692,0.044630,0.199947,0.008177,0.008177,0.000000,,0,0,0,1,1,0,0.025702,-0.205236,0.6667,0.3408,0.2589,2,ok
0,5,-2.761447,-1.619062,-0.256098,0.016965,-0.034422,0.069437,0.199613,-0.125364,-0.125364,0.000000,,0,0,0,1,1,0,0.025668,-0.220891,0.6458,0.3135,0.2590,2,ok
0,6,-2.742082,-1.624089,-0.247786,0.016228,-0.026110,0.089430,0.200302,0.164206,0.164206,0.000000,C-06,0,0,0,1,1,0,0.020063,-0.230910,0.6875,0.3686,0.2588,2,ok
0,7,-2.722652,-1.629126,-0.229600,0.015495,-0.007924,0.108761,0.201114,0.313065,0.313065,0.000000,,0,0,0,1,1,0,0.017840,-0.234198,0.7500,0.3534,0.2593,2,ok
0,8,-2.699251,-1.634962,-0.218906,0.013793,-0.039770,0.134192,0.200956,0.133417,0.133417,0.000000,C-06,0,0,0,1,1,0,0.018463,-0.227210,0.7292,0.2859,0.2620,2,ok
0,9,-2.679711,-1.639650,-0.210339,0.012592,-0.031203,0.154250,0.200949,0.229781,0.229781,0.000000,,0,0,0,1,1,0,0.016733,-0.216425,0.7292,0.2342,0.2638,2,ok
0,10,-2.656188,-1.645196,-0.188549,0.010654,-0.048196,0.178812,0.201781,0.295238,0.295238,0.000000,,0,0,0,1,1,0,0.015809,-0.216130,0.7292,0.2134,0.2642,2,ok
0,11,-2.636508,-1.649756,-0.169447,0.008808,-0.029094,0.198928,0.202022,0.304092,0.304092,0.000000,,0,0,0,1,1,0,0.013830,-0.203839,0.7292,0.1794,0.2623,2,ok
0,12,-2.616799,-1.653275,-0.173882,0.007997,-0.033529,0.218211,0.199990,-0.102308,-0.102308,0.000000,C-06,0,0,0,1,1,0,0.009614,-0.193323,0.7083,0.2654,0.2636,2,ok
0,13,-2.597127,-1.656722,-0.189773,0.006535,-0.083398,0.239128,0.199445,-0.264315,-0.264315,0.000000,C-06,0,0,0,1,1,0,0.007864,-0.195951,0.6667,0.2229,0.2634,2,ok
0,14,-2.573510,-1.661184,-0.162977,0.004494,-0.056602,0.263077,0.200811,0.412816,0.412816,0.000000,C-06,0,0,0,1,1,0,0.004599,-0.213406,0.6458,0.1845,0.2610,2,ok
0,15,-2.553724,-1.664921,-0.128202,0.002455,-0.052396,0.283220,0.201799,0.550078,0.550078,0.000000,,0,0,0,1,1,0,0.002712,-0.210848,0.6667,0.1650,0.2635,2,ok
0,16,-2.533840,-1.668659,-0.084564,0.000141,-0.008758,0.303319,0.202717,0.673548,0.673548,0.000000,,0,0,0,1,1,0,0.000943,-0.180051,0.6875,0.2100,0.2723,2,ok
0,17,-2.513898,-1.671005,-0.069478,-0.000781,0.006328,0.323378,0.200623,0.180758,0.180758,0.000000,C-06,0,0,0,1,1,0,0.003035,-0.150692,0.7083,0.1882,0.2674,2,ok
0,18,-2.489949,-1.673042,-0.061402,-0.001627,-0.012068,0.347378,0.200268,0.094951,0.094951,0.000000,,0,0,0,1,1,0,0.004414,-0.124565,0.7500,0.1628,0.2660,2,ok
0,19,-2.465998,-1.674555,-0.067126,-0.002008,-0.017791,0.371374,0.199939,-0.081919,-0.081919,0.000000,C-06,0,0,0,1,1,0,0.003365,-0.114083,0.7708,0.1386,0.2695,2,ok
0,20,-2.446038,-1.675896,-0.057888,-0.002712,-0.031583,0.391312,0.200114,0.159653,0.159653,0.000000,C-06,0,0,0,1,1,0,0.001694,-0.119899,0.7292,0.1277,0.2662,2,ok
0,21,-2.426067,-1.677246,-0.049481,-0.003607,-0.023176,0.411309,0.200206,0.120395,0.120395,0.000000,,0,0,0,1,1,0,0.001309,-0.123023,0.7500,0.0926,0.2662,2,ok
0,22,-2.406085,-1.678596,-0.033369,-0.004501,-0.007065,0.431317,0.200337,0.246194,0.246194,0.000000,,0,0,0,1,1,0,0.000198,-0.114057,0.6875,0.0975,0.2610,2,ok
0,23,-2.382091,-1.680215,-0.008537,-0.006025,-0.002257,0.455231,0.200445,0.299370,0.299370,0.000000,,0,0,0,1,1,0,-0.000005,-0.106011,0.6875,0.0956,0.2649,2,ok
0,24,-2.362092,-1.680460,-0.016738,-0.006192,-0.010458,0.475231,0.199979,-0.162124,-0.162124,0.000000,C-06,0,0,0,1,1,0,0.001917,-0.081327,0.6667,0.0442,0.2647,2,ok
0,25,-2.342097,-1.680601,-0.025472,-0.006454,-0.036788,0.495117,0.199943,-0.122374,-0.122374,0.000000,,0,0,0,1,1,0,0.000469,-0.084414,0.6458,0.0204,0.2662,2,ok
0,26,-2.322102,-1.681081,-0.019818,-0.007203,-0.031133,0.515103,0.200023,0.098784,0.098784,0.000000,C-06,0,0,0,1,1,0,-0.002217,-0.099728,0.6875,0.0200,0.2715,2,ok
0,27,-2.298104,-1.681688,-0.006324,-0.008133,-0.017639,0.535804,0.200059,0.165054,0.165054,0.000000,,0,0,0,1,1,0,-0.004077,-0.096668,0.7292,0.0484,0.2685,2,ok
0,28,-2.274105,-1.682294,0.008404,-0.009484,-0.018043,0.562936,0.200058,0.174172,0.174172,0.000000,,0,0,0,1,1,0,-0.003635,-0.090189,0.7292,0.0137,0.2695,2,ok
0,29,-2.254107,-1.682798,0.024238,-0.010566,-0.002209,0.582910,0.200006,0.230956,0.230956,0.000000,,0,0,0,1,1,0,-0.003859,-0.075990,0.7500,-0.0015,0.2696,2,ok
0,30,-2.230123,-1.683272,0.047835,-0.011960,0.008850,0.606731,0.199794,0.287188,0.287188,0.000000,,0,0,0,1,1,0,-0.003521,-0.066500,0.7292,-0.0121,0.2683,2,ok
0,31,-2.206163,-1.682980,0.066265,-0.012645,0.027279,0.630683,0.199619,0.221474,0.221474,0.000000,,0,0,0,1,1,0,-0.003320,-0.044858,0.7292,-0.0128,0.2679,2,ok
0,32,-2.182216,-1.681469,0.065139,-0.012298,0.015427,0.654524,0.200004,-0.029321,-0.029321,0.000000,C-06,0,0,0,1,1,0,-0.000826,-0.021771,0.7083,-0.0673,0.2685,2,ok
0,33,-2.158262,-1.679896,0.059430,-0.011994,0.009718,0.678527,0.200073,-0.073115,-0.073115,0.000000,,0,0,0,1,1,0,-0.001509,-0.014103,0.6667,-0.0732,0.2664,2,ok
0,34,-2.134306,-1.678470,0.061111,-0.011909,0.002955,0.702455,0.199976,0.027524,0.027524,0.000000,,0,0,0,1,1,0,-0.000659,-0.019805,0.6458,-0.1254,0.2668,2,ok
0,35,-2.114345,-1.677290,0.065237,-0.011906,0.007081,0.722450,0.199926,0.063389,0.063389,0.000000,,0,0,0,1,1,0,0.000177,-0.020909,0.7292,-0.1636,0.2690,2,ok
0,36,-2.090395,-1.675727,0.063198,-0.011797,-0.002252,0.746354,0.200029,-0.030791,-0.030791,0.000000,,0,0,0,1,1,0,-0.001397,-0.015223,0.7500,-0.1246,0.2693,2,ok
0,37,-2.066448,-1.674211,0.069656,-0.011891,0.004207,0.770349,0.199917,0.087661,0.087661,0.000000,,0,0,0,1,1,0,-0.001754,-0.009384,0.7708,-0.1573,0.2692,2,ok
0,38,-2.042511,-1.672699,0.076264,-0.011986,0.010815,0.791942,0.199821,0.081327,0.081327,0.000000,,0,0,0,1,1,0,-0.001365,-0.005647,0.8125,-0.1755,0.2713,2,ok
0,39,-2.022573,-1.671376,0.080539,-0.012094,0.010099,0.814266,0.199821,0.062317,0.062317,0.000000,,0,0,0,1,1,0,0.000946,0.004836,0.7708,-0.2381,0.2687,2,ok
0,40,-1.998649,-1.669467,0.078791,-0.011891,0.008351,0.838264,0.200022,-0.027105,-0.027105,0.000000,,0,0,0,1,1,0,0.000599,0.013146,0.7292,-0.2349,0.2688,2,ok
0,41,-1.974708,-1.667542,0.058755,-0.011793,-0.015511,0.862211,0.200287,-0.268101,-0.268101,0.000000,C-06,0,0,0,1,1,0,0.000782,0.012578,0.7500,-0.2562,0.2681,2,ok
0,42,-1.950740,-1.665617,0.043757,-0.011722,-0.030508,0.886256,0.200446,-0.178925,-0.178925,0.000000,,0,0,0,1,1,0,-0.001027,0.005424,0.7083,-0.2568,0.2663,2,ok
0,43,-1.930761,-1.664653,0.049780,-0.012310,-0.026729,0.906243,0.199967,0.111220,0.111220,0.000000,C-06,0,0,0,1,1,0,-0.001789,-0.017377,0.6875,-0.2978,0.2597,2,ok
0,44,-1.906795,-1.663553,0.056358,-0.013077,-0.020151,0.930222,0.199896,0.078332,0.078332,0.000000,,0,0,0,1,1,0,-0.004280,-0.009082,0.7292,-0.2732,0.2628,2,ok
0,45,-1.882837,-1.662425,0.061416,-0.013818,-0.015380,0.954193,0.199867,0.060942,0.060942,0.000000,,0,0,0,1,1,0,-0.005393,-0.001237,0.8125,-0.2582,0.2614,2,ok
0,46,-1.858886,-1.661214,0.067301,-0.014477,-0.009494,0.978165,0.199828,0.073054,0.073054,0.000000,,0,0,0,1,1,0,-0.006537,0.012197,0.7917,-0.2490,0.2604,2,ok
0,47,-1.834948,-1.659938,0.076878,-0.015072,0.000950,1.002125,0.199700,0.121737,0.121737,0.000000,,0,0,0,1,1,0,-0.007050,0.020239,0.7500,-0.2471,0.2601,2,ok
0,48,-1.815010,-1.658561,0.080263,-0.015259,0.004335,1.022109,0.199868,0.044980,0.044980,0.000000,,0,0,0,1,1,0,-0.007708,0.029320,0.7500,-0.2200,0.2607,2,ok
0,49,-1.791084,-1.656665,0.076403,-0.015241,0.000474,1.043178,0.200046,-0.054162,-0.054162,0.000000,,0,0,0,1,1,0,-0.009502,0.048616,0.7292,-0.1519,0.2650,2,ok
0,50,-1.767136,-1.654758,0.051500,-0.015060,-0.021445,1.070221,0.200353,-0.334443,-0.334443,0.000000,C-06,0,0,0,1,1,0,-0.011432,0.057762,0.7292,-0.0967,0.2648,2,ok
0,51,-1.743154,-1.652852,0.024786,-0.014898,-0.048159,1.092809,0.200563,-0.322202,-0.322202,0.000000,,0,0,0,1,1,0,-0.013487,0.048712,0.7083,-0.0793,0.2661,2,ok
0,52,-1.719162,-1.652203,0.027333,-0.015998,-0.041811,1.118249,0.199982,0.054819,0.054819,0.000000,C-06,0,0,0,1,1,0,-0.017543,0.024071,0.7708,-0.0485,0.2693,2,ok
0,53,-1.699170,-1.651733,0.031158,-0.016986,-0.037987,1.138222,0.199959,0.055119,0.055119,0.000000,,0,0,0,1,1,0,-0.016480,0.020559,0.7917,-0.0611,0.2678,2,ok
0,54,-1.675185,-1.651169,0.038089,-0.017970,-0.025222,1.162365,0.199913,0.085289,0.085289,0.000000,,0,0,0,1,1,0,-0.015941,0.026664,0.7917,-0.0556,0.2663,2,ok
0,55,-1.651205,-1.650547,0.044380,-0.018857,-0.018930,1.186336,0.199889,0.075509,0.075509,0.000000,,0,0,0,1,1,0,-0.015347,0.032044,0.7917,-0.0396,0.2668,2,ok
0,56,-1.631228,-1.649957,0.051330,-0.019467,-0.005308,1.206387,0.199832,0.103342,0.103342,0.000000,,0,0,0,1,1,0,-0.013242,0.038158,0.7708,-0.0494,0.2668,2,ok
