episode,step,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,interventions,emergency,joint_envelope_violated,oscillation_persistent,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence,cv_curvature,cv_lane_width,cv_n_lines,cv_reason
0,1,-0.835233,-1.612385,-0.020071,0.010115,-0.020071,2.003703,0.060150,-0.215148,-0.215148,0.000000,,0,0,0,1,1,0,0.020290,-0.010947,0.5417,0.0000,0.2678,2,ok
0,2,-0.826306,-1.612520,-0.032446,0.009980,-0.032446,2.012630,0.113110,-0.174682,-0.174682,0.000000,,0,0,0,1,1,0,0.018542,-0.025463,0.5208,0.0000,0.2679,2,ok
0,3,-0.808606,-1.612787,-0.042817,0.009713,-0.042817,2.030329,0.176616,-0.121190,-0.121190,0.000000,,0,0,0,1,1,0,0.016482,-0.038250,0.5417,0.0000,0.2671,2,ok
0,4,-0.789028,-1.613221,-0.051070,0.009279,-0.051070,2.049907,0.199814,-0.120251,-0.120251,0.000000,,0,0,0,1,1,0,0.015048,-0.047162,0.5208,0.0000,0.2671,2,ok
0,5,-0.765059,-1.614418,-0.049263,0.008082,-0.049263,2.073877,0.200017,0.453722,0.029749,-0.423973,C-06,0,0,0,1,1,0,0.013474,-0.054836,0.4792,0.0000,0.2673,2,ok
0,6,-0.745078,-1.615440,-0.037942,0.007060,-0.037942,2.093857,0.200112,0.832248,0.179749,-0.652500,C-06,0,0,0,1,1,0,0.012367,-0.060277,0.4792,0.0000,0.2661,2,ok
0,7,-0.725087,-1.616461,-0.016177,0.006039,-0.016177,2.113849,0.200230,0.340596,0.329749,-0.010847,C-06,0,0,0,1,1,0,0.012693,-0.048034,0.5625,0.0000,0.2661,2,ok
0,8,-0.701087,-1.617554,-0.000118,0.004946,-0.000118,2.135135,0.200152,0.077322,0.179749,0.102427,C-06,0,0,0,1,1,0,0.014147,-0.027230,0.6042,0.0000,0.2661,2,ok
0,9,-0.677088,-1.618152,0.012768,0.004348,0.012768,2.161847,0.199988,-0.032575,0.029749,0.062323,C-06,0,0,0,1,1,0,0.014815,-0.011794,0.6042,0.0000,0.2664,2,ok
0,10,-0.657090,-1.618019,0.015670,0.004481,0.015670,2.181845,0.199980,0.042396,0.042396,0.000000,,0,0,0,1,1,0,0.015804,0.000290,0.5833,0.0000,0.2664,2,ok
