episode,step,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,interventions,emergency,joint_envelope_violated,oscillation_persistent,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence,cv_curvature,cv_lane_width,cv_n_lines,cv_reason
0,1,-0.837049,-1.618099,-0.001558,0.004401,-0.001558,2.001887,0.042139,0.116023,0.116023,0.000000,,0,0,0,1,1,0,0.012415,-0.009878,0.7708,-0.0139,0.2684,2,ok
0,2,-0.827859,-1.617961,0.007639,0.004539,0.007639,2.011077,0.105744,0.108027,0.108027,0.000000,,0,0,0,1,1,0,0.013059,-0.005457,0.7708,-0.0200,0.2683,3,ok
0,3,-0.811038,-1.617707,0.016910,0.004793,0.016910,2.027898,0.169331,0.110145,0.110145,0.000000,,0,0,0,1,1,0,0.014379,0.003101,0.7917,-0.0211,0.2682,3,ok
0,4,-0.791783,-1.617416,0.025327,0.005084,0.025327,2.047153,0.199961,0.121396,0.121396,0.000000,,0,0,0,1,1,0,0.015956,0.013188,0.7917,-0.0214,0.2666,3,ok
0,5,-0.767794,-1.617054,0.036293,0.005446,0.036293,2.071141,0.199895,0.132456,0.132456,0.000000,,0,0,0,1,1,0,0.016614,0.017244,0.7500,-0.0158,0.2679,3,ok
0,6,-0.747810,-1.616712,0.044351,0.005788,0.044351,2.091125,0.199849,0.115807,0.115807,0.000000,,0,0,0,1,1,0,0.018344,0.032015,0.7500,-0.0071,0.2678,3,ok
0,7,-0.727834,-1.616180,0.051606,0.006320,0.051606,2.111102,0.199828,0.105116,0.105116,0.000000,,0,0,0,1,1,0,0.021860,0.034708,0.7292,-0.0378,0.2646,3,ok
0,8,-0.703870,-1.615293,0.059136,0.007207,0.059136,2.135065,0.199820,0.091196,0.091196,0.000000,,0,0,0,1,1,0,0.021423,0.050204,0.7917,-0.0189,0.2674,3,ok
0,9,-0.683909,-1.614408,0.065270,0.008092,0.065270,2.155026,0.199814,0.080613,0.080613,0.000000,,0,0,0,1,1,0,0.023639,0.061237,0.8333,-0.0190,0.2654,3,ok
0,10,-0.659966,-1.613162,0.072182,0.009338,0.072182,2.178970,0.199788,0.085419,0.085419,0.000000,,0,0,0,1,1,0,0.025639,0.065141,0.8125,-0.0236,0.2658,3,ok
0,11,-0.640023,-1.612034,0.079104,0.010466,0.079104,2.198913,0.199722,0.104393,0.104393,0.000000,,0,0,0,1,1,0,0.026874,0.073143,0.7917,-0.0142,0.2647,3,ok
0,12,-0.620093,-1.610848,0.088381,0.011652,0.088381,2.218843,0.199599,0.140475,0.140475,0.000000,,0,0,0,1,1,0,0.029486,0.077211,0.7708,-0.0244,0.2666,3,ok
0,13,-0.600179,-1.609515,0.097486,0.012985,0.097486,2.238756,0.199565,0.136572,0.136572,0.000000,,0,0,0,1,1,0,0.030630,0.091168,0.7500,-0.0067,0.2647,3,ok
0,14,-0.576303,-1.607530,0.105298,0.014970,0.105298,2.262633,0.199656,0.095579,0.095579,0.000000,,0,0,0,1,1,0,0.034073,0.096526,0.7292,-0.0225,0.2657,3,ok
0,15,-0.556418,-1.605621,0.109443,0.016879,0.109443,2.282518,0.199768,0.059998,0.059998,0.000000,,0,0,0,1,1,0,0.036877,0.101760,0.6458,-0.0181,0.2688,3,ok
0,16,-0.536541,-1.603595,0.112827,0.018905,0.112827,2.302394,0.199796,0.051019,0.051019,0.000000,,0,0,0,1,1,0,0.039513,0.110472,0.6458,-0.0208,0.2652,3,ok
0,17,-0.516673,-1.601527,0.117310,0.020973,0.117310,2.322262,0.199716,0.069679,0.069679,0.000000,,0,0,0,1,1,0,0.041300,0.106955,0.6250,-0.0024,0.2681,3,ok
0,18,-0.492849,-1.599014,0.124931,0.023486,0.124931,2.346086,0.199583,0.098925,0.098925,0.000000,,0,0,0,1,1,0,0.044254,0.117458,0.6667,-0.0211,0.2656,3,ok
0,19,-0.469047,-1.596328,0.131836,0.026172,0.131836,2.369889,0.199608,0.087871,0.087871,0.000000,,0,0,0,1,1,0,0.049018,0.124260,0.7083,-0.0222,0.2671,3,ok
0,20,-0.449223,-1.593789,0.133853,0.028711,0.133853,2.389712,0.199870,0.027423,0.027423,0.000000,,0,0,0,1,1,0,0.051448,0.135647,0.7083,-0.0250,0.2634,3,ok
0,21,-0.429404,-1.591193,0.135437,0.031307,0.135437,2.409531,0.199884,0.024252,0.024252,0.000000,,0,0,0,1,1,0,0.054886,0.127975,0.6875,-0.0168,0.2671,3,ok
0,22,-0.409588,-1.588520,0.136063,0.033980,0.136063,2.429347,0.199959,0.008404,0.008404,0.000000,,0,0,0,1,1,0,0.057364,0.138957,0.6667,-0.0185,0.2654,3,ok
0,23,-0.385813,-1.585300,0.137711,0.037200,0.137711,2.453123,0.199918,0.022042,0.022042,0.000000,,0,0,0,1,1,0,0.058497,0.145350,0.6458,0.0111,0.2640,3,ok
0,24,-0.366007,-1.582617,0.141823,0.039883,0.141823,2.472928,0.199809,0.066991,0.066991,0.000000,,0,0,0,1,1,0,0.064295,0.142659,0.5625,-0.0020,0.2661,3,ok
0,25,-0.346214,-1.579934,0.146273,0.042566,0.146273,2.492721,0.199682,0.069308,0.069308,0.000000,,0,0,0,1,1,0,0.068330,0.139800,0.5417,-0.0134,0.2686,3,ok
0,26,-0.326436,-1.577245,0.151751,0.045255,0.151751,2.512500,0.199562,0.086777,0.086777,0.000000,,0,0,0,1,1,0,0.071277,0.139952,0.5417,-0.0051,0.2664,3,ok
0,27,-0.302719,-1.573771,0.155385,0.048729,0.155385,2.535635,0.199766,0.044438,0.044438,0.000000,,0,0,0,1,1,0,0.071277,0.139952,0.5417,-0.0051,0.2664,3,ok
0,28,-0.279016,-1.570234,0.160067,0.052266,0.160067,2.559919,0.199668,0.062193,0.062193,0.000000,,0,0,0,1,1,0,0.078772,0.155315,0.6250,-0.0214,0.2665,3,ok
0,29,-0.259279,-1.567239,0.164464,0.055261,0.164464,2.579656,0.199621,0.069722,0.069722,0.000000,,0,0,0,1,1,0,0.081978,0.159353,0.6250,-0.0354,0.2694,3,ok
0,30,-0.235617,-1.563583,0.171681,0.058917,0.171681,2.603319,0.199464,0.096674,0.096674,0.000000,,0,0,0,1,1,0,0.085361,0.162502,0.5833,-0.0113,0.2650,3,ok
0,31,-0.211984,-1.559774,0.178629,0.062726,0.178629,2.626951,0.199476,0.091450,0.091450,0.000000,,0,0,0,1,1,0,0.089196,0.214071,0.5833,0.0111,0.2596,3,ok
0,32,-0.188379,-1.555767,0.184817,0.066733,0.184817,2.650556,0.199519,0.081392,0.081392,0.000000,,0,0,0,1,1,0,0.094475,0.176606,0.5417,-0.0002,0.2636,3,ok
0,33,-0.164807,-1.551669,0.193612,0.070831,0.193612,2.674128,0.199280,0.119809,0.119809,0.000000,,0,0,0,1,1,0,0.101495,0.183085,0.4792,-0.0066,0.2662,3,ok
0,34,-0.141271,-1.547317,0.200130,0.075183,0.200130,2.697665,0.199462,0.086136,0.086136,0.000000,,0,0,0,1,1,0,0.105142,0.189654,0.4792,-0.0088,0.2593,3,ok
