episode,step,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,interventions,emergency
0,1,-0.001008,0.034645,-0.047383,0.156906,0.066027,8.785145,0.051625,-0.329641,-0.329641,0.000000,C-01,0
0,2,0.009297,0.034489,-0.083705,0.156902,-0.033060,0.013046,0.114900,-0.449607,-0.449607,0.000000,C-03;C-01,0
0,3,0.027175,0.034121,-0.112238,0.156551,-0.061593,0.030924,0.177893,-0.357433,-0.357433,0.000000,C-01,0
0,4,0.050669,0.032524,-0.136043,0.154977,-0.085399,0.054420,0.198824,-0.303594,-0.303594,0.000000,C-01,0
0,5,0.070463,0.030510,-0.151417,0.152982,-0.100773,0.074216,0.198916,-0.237787,-0.237787,0.000000,C-01,0
0,6,0.094164,0.027450,-0.164498,0.149944,-0.113853,0.097920,0.199127,-0.169998,-0.169998,0.000000,C-01,0
0,7,0.113883,0.024467,-0.171088,0.146967,-0.158026,0.117783,0.199432,-0.103015,-0.103015,0.000000,C-01,0
0,8,0.133595,0.021065,-0.168401,0.143565,-0.155339,0.137495,0.200084,0.044284,0.044284,0.000000,C-01,0
0,9,0.153323,0.017660,-0.161659,0.140160,-0.148597,0.157223,0.200296,0.107094,0.107094,0.000000,C-01,0
0,10,0.177028,0.013574,-0.152207,0.136074,-0.139145,0.180928,0.200586,0.123531,0.123531,0.000000,C-01,0
0,11,0.200766,0.009555,-0.143334,0.132055,-0.130272,0.203900,0.200628,0.115088,0.115088,0.000000,C-01,0
0,12,0.220570,0.006409,-0.137008,0.128909,-0.136816,0.224470,0.200512,0.097874,0.097874,0.000000,C-01,0
0,13,0.240393,0.003348,-0.129545,0.125848,-0.129352,0.244293,0.200585,0.115337,0.115337,0.000000,C-01,0
0,14,0.264204,-0.000134,-0.120922,0.122366,-0.120730,0.268104,0.200531,0.110259,0.110259,0.000000,C-01,0
0,15,0.288040,-0.003359,-0.113534,0.119141,-0.113341,0.291940,0.200426,0.093888,0.093888,0.000000,C-01,0
0,16,0.307916,-0.005857,-0.108562,0.116643,-0.108562,0.311816,0.200326,0.075439,0.075439,0.000000,C-01,0
0,17,0.327803,-0.008214,-0.104518,0.114286,-0.104518,0.331703,0.200253,0.061197,0.061197,0.000000,,0
0,18,0.347697,-0.010458,-0.101188,0.112042,-0.101188,0.351597,0.200201,0.050267,0.050267,0.000000,,0
0,19,0.371578,-0.013034,-0.097820,0.109466,-0.097820,0.375478,0.200163,0.042308,0.042308,0.000000,,0
0,20,0.395467,-0.015510,-0.094927,0.106990,-0.094927,0.399367,0.200136,0.036270,0.036270,0.000000,,0
0,21,0.415379,-0.017506,-0.092795,0.104994,-0.092795,0.419279,0.200117,0.032034,0.032034,0.000000,,0
0,22,0.435295,-0.019453,-0.090835,0.103047,-0.090835,0.439195,0.200105,0.029409,0.029409,0.000000,,0
0,23,0.455214,-0.021355,-0.088982,0.101145,-0.088982,0.459114,0.200098,0.027788,0.027788,0.000000,,0
0,24,0.479121,-0.023586,-0.086838,0.098914,-0.086838,0.483021,0.200092,0.026761,0.026761,0.000000,,0
0,25,0.499047,-0.025404,-0.085101,0.097096,-0.085101,0.502947,0.200088,0.025995,0.025995,0.000000,,0
0,26,0.518976,-0.027185,-0.083400,0.095315,-0.083400,0.522876,0.200084,0.025426,0.025426,0.000000,,0
0,27,0.538908,-0.028931,-0.081728,0.093569,-0.081728,0.542808,0.200081,0.024948,0.024948,0.000000,,0
0,28,0.562830,-0.030981,-0.079757,0.091519,-0.079757,0.566730,0.200078,0.024503,0.024503,0.000000,,0
0,29,0.586755,-0.032982,-0.077823,0.089518,-0.077823,0.590656,0.200075,0.024003,0.024003,0.000000,,0
0,30,0.606696,-0.034613,-0.076245,0.087887,-0.076245,0.610596,0.200072,0.023464,0.023464,0.000000,,0
0,31,0.630628,-0.036526,-0.074391,0.085974,-0.074391,0.634528,0.200069,0.022956,0.022956,0.000000,,0
0,32,0.654563,-0.038394,-0.072578,0.084106,-0.072578,0.658463,0.200066,0.022417,0.022417,0.000000,,0
0,33,0.678502,-0.040216,-0.070808,0.082284,-0.070808,0.682402,0.200063,0.021863,0.021863,0.000000,,0
0,34,0.702443,-0.041994,-0.069081,0.080506,-0.069081,0.703900,0.200060,0.021308,0.021308,0.000000,,0
0,35,0.726387,-0.043728,-0.067397,0.078772,-0.067397,0.730287,0.200057,0.020760,0.020760,0.000000,,0
0,36,0.746343,-0.045139,-0.066079,0.077361,-0.066079,0.750243,0.200052,0.019460,0.019460,0.000000,,0
0,37,0.770291,-0.046795,-0.064551,0.075705,-0.064551,0.774191,0.200049,0.018798,0.018798,0.000000,,0
0,38,0.794242,-0.048413,-0.063051,0.074087,-0.063051,0.798143,0.200047,0.018436,0.018436,0.000000,,0
0,39,0.818196,-0.049994,-0.061569,0.072506,-0.061569,0.822096,0.200046,0.018185,0.018185,0.000000,,0
0,40,0.838159,-0.051274,-0.060546,0.071226,-0.060546,0.842059,0.200037,0.015031,0.015031,0.000000,,0
0,41,0.862115,-0.052779,-0.059406,0.069721,-0.059406,0.866016,0.200034,0.013971,0.013971,0.000000,,0
0,42,0.886074,-0.054258,-0.058258,0.068242,-0.058258,0.889974,0.200033,0.014069,0.014069,0.000000,,0
0,43,0.910034,-0.055711,-0.057066,0.066789,-0.057066,0.913934,0.200034,0.014601,0.014601,0.000000,,0
0,44,0.930002,-0.056883,-0.056424,0.065617,-0.056424,0.933902,0.200021,0.009366,0.009366,0.000000,,0
0,45,0.953964,-0.058266,-0.055776,0.064234,-0.055776,0.957864,0.200018,0.007910,0.007910,0.000000,,0
0,46,0.977927,-0.059637,-0.055064,0.062863,-0.055064,0.981827,0.200019,0.008714,0.008714,0.000000,,0
0,47,1.001891,-0.060996,-0.054213,0.061504,-0.054213,1.003900,0.200023,0.010409,0.010409,0.000000,,0
0,48,1.025857,-0.062342,-0.053218,0.060158,-0.053218,1.029757,0.200027,0.012163,0.012163,0.000000,,0
0,49,1.045829,-0.063421,-0.052896,0.059079,-0.052896,1.049729,0.200010,0.004653,0.004653,0.000000,,0
0,50,1.069795,-0.064699,-0.052697,0.057801,-0.052697,1.073695,0.200005,0.002389,0.002389,0.000000,,0
0,51,1.093762,-0.065975,-0.052410,0.056525,-0.052410,1.097662,0.200007,0.003511,0.003511,0.000000,,0
0,52,1.117729,-0.067249,-0.051909,0.055251,-0.051909,1.121629,0.200012,0.006140,0.006140,0.000000,,0
0,53,1.141697,-0.068503,-0.052054,0.053997,-0.052054,1.145597,0.200002,-0.001834,-0.001834,0.000000,,0
0,54,1.161670,-0.069548,-0.052273,0.052952,-0.052273,1.165570,0.200000,-0.003236,-0.003236,0.000000,,0
0,55,1.185637,-0.070802,-0.052386,0.051698,-0.052386,1.189537,0.199999,-0.001354,-0.001354,0.000000,,0
0,56,1.209604,-0.072056,-0.052185,0.050444,-0.052377,1.213504,0.200001,0.002483,0.002483,0.000000,,0
0,57,1.229578,-0.073101,-0.050192,0.049399,-0.050384,1.233478,0.200020,0.029419,0.029419,0.000000,,0
0,58,1.253550,-0.074355,-0.046548,0.048145,-0.046740,1.257450,0.200055,0.044450,0.044450,0.000000,,0
0,59,1.277526,-0.075609,-0.042494,0.046891,-0.042686,1.281426,0.200091,0.049223,0.049223,0.000000,,0
0,60,1.301506,-0.076810,-0.038634,0.045690,-0.038826,1.303900,0.200083,0.046683,0.046683,0.000000,,0
0,61,1.325490,-0.077893,-0.035335,0.044607,-0.048397,1.329390,0.200064,0.039760,0.039760,0.000000,,0
0,62,1.345480,-0.078762,-0.028168,0.043738,-0.041230,1.349380,0.200107,0.104502,0.104502,0.000000,,0
0,63,1.369474,-0.079805,-0.016297,0.042695,-0.029360,1.373374,0.200160,0.142247,0.142247,0.000000,,0
0,64,1.393472,-0.080794,-0.003337,0.041706,-0.016399,1.397372,0.200131,0.153672,0.153672,0.000000,,0
0,65,1.417472,-0.081460,0.008874,0.041023,-0.041771,1.421411,0.200042,0.144004,0.144004,0.000000,,0
0,66,1.441467,-0.081973,0.028250,0.040487,-0.022395,1.445407,0.199968,0.232453,0.232453,0.000000,,0
0,67,1.465448,-0.082335,0.051172,0.040102,0.000527,1.469387,0.199752,0.277660,0.277660,0.000000,,0
0,68,1.489400,-0.082187,0.074428,0.040227,0.023783,1.493339,0.199492,0.285636,0.285636,0.000000,,0
0,69,1.513313,-0.081373,0.095636,0.040337,-0.017774,1.519833,0.199301,0.264091,0.264091,0.000000,,0
0,70,1.533200,-0.080411,0.116977,0.040017,0.003567,1.539741,0.198970,0.324468,0.324468,0.000000,,0
0,71,1.556996,-0.078796,0.144073,0.040098,0.030664,1.563591,0.198615,0.347964,0.347964,0.000000,,0
