episode,step,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,interventions,emergency
0,1,-0.001764,-0.013275,0.189315,0.109037,0.302725,8.787473,0.045521,-1.000000,-1.000000,0.000000,,0
0,2,0.007829,-0.013419,0.112433,0.108992,0.163077,0.011624,0.109247,-1.000000,-1.000000,0.000000,,0
0,3,0.025113,-0.013679,0.031512,0.108749,0.082157,0.028909,0.173485,-1.000000,-1.000000,0.000000,,0
0,4,0.048572,-0.014032,-0.051603,0.108419,-0.000958,0.052368,0.199793,-0.992949,-0.992949,0.000000,,0
0,5,0.068505,-0.014332,-0.108326,0.108138,-0.057682,0.072301,0.198915,-0.272599,-0.842949,-0.570350,C-06,0
0,6,0.092283,-0.014828,-0.162353,0.107665,-0.111708,0.096080,0.197601,0.339691,-0.692949,-1.032640,C-06,0
0,7,0.111961,-0.016555,-0.196776,0.105945,-0.183714,0.115861,0.197324,0.942333,-0.542949,-1.485282,C-06,0
0,8,0.131525,-0.019431,-0.221278,0.103069,-0.208216,0.135425,0.197672,1.000000,-0.392949,-1.392949,C-06,0
0,9,0.151004,-0.023206,-0.236247,0.099294,-0.223185,0.154904,0.198399,1.000000,-0.242949,-1.242949,C-06,0
0,10,0.174317,-0.028559,-0.243122,0.093941,-0.230060,0.178217,0.199345,1.000000,-0.092949,-1.092949,C-06,0
0,11,0.197623,-0.034332,-0.239096,0.088168,-0.226034,0.201523,0.200174,1.000000,0.057051,-0.942949,C-06,0
0,12,0.217081,-0.039145,-0.226755,0.083355,-0.226562,0.220981,0.200705,1.000000,0.207051,-0.792949,C-06,0
0,13,0.236615,-0.043959,-0.205151,0.078541,-0.204959,0.240515,0.201587,1.000000,0.357051,-0.642949,C-06,0
0,14,0.260197,-0.049734,-0.167296,0.072766,-0.167104,0.264097,0.202939,1.000000,0.507051,-0.492949,C-06,0
0,15,0.283951,-0.055508,-0.116768,0.066992,-0.116576,0.287851,0.204290,1.000000,0.657051,-0.342949,C-06,0
0,16,0.303867,-0.060218,-0.063279,0.062282,-0.063279,0.307767,0.204592,1.000000,0.807051,-0.192949,C-06,0
0,17,0.323849,-0.063796,-0.016252,0.058704,-0.016252,0.327749,0.202525,0.680166,0.680166,0.000000,,0
0,18,0.343848,-0.065989,0.021211,0.056511,0.021211,0.347748,0.200793,0.185033,0.530166,0.345132,C-06,0
0,19,0.367830,-0.066972,0.052876,0.055528,0.052876,0.371730,0.199798,-0.239458,0.380166,0.619623,C-06,0
0,20,0.391783,-0.066581,0.071784,0.055919,0.071784,0.395683,0.199563,-0.605698,0.230166,0.835863,C-06,0
0,21,0.411727,-0.065412,0.077300,0.057088,0.077300,0.415628,0.199784,-0.827944,0.080166,0.908109,C-06,0
0,22,0.431671,-0.063870,0.072765,0.058630,0.072765,0.435571,0.200065,-0.892617,-0.069834,0.822782,C-06,0
0,23,0.451628,-0.062324,0.058178,0.060176,0.058178,0.455528,0.200249,-0.837277,-0.219834,0.617442,C-06,0
0,24,0.475604,-0.060470,0.027975,0.062030,0.027975,0.479504,0.200510,-0.673859,-0.369834,0.304025,C-06,0
0,25,0.495601,-0.058925,0.002693,0.063575,0.002693,0.499501,0.200594,-0.360781,-0.360781,0.000000,,0
0,26,0.515601,-0.058122,-0.012328,0.064378,-0.012328,0.519501,0.200094,-0.092573,-0.210781,-0.118208,C-06,0
0,27,0.535599,-0.058152,-0.016708,0.064348,-0.016708,0.539499,0.199974,0.085451,-0.060781,-0.146233,C-06,0
0,28,0.559596,-0.058542,-0.009418,0.063958,-0.009418,0.563497,0.200017,0.134481,0.089219,-0.045262,C-06,0
0,29,0.583596,-0.058929,-0.005551,0.063571,-0.005551,0.587496,0.200020,0.045379,0.045379,0.000000,,0
0,30,0.603596,-0.059062,-0.005120,0.063438,-0.005120,0.607496,0.200001,0.005724,0.005724,0.000000,,0
0,31,0.627595,-0.059200,-0.004802,0.063300,-0.004802,0.631495,0.200001,0.003741,0.003741,0.000000,,0
0,32,0.651595,-0.059317,-0.004758,0.063183,-0.004758,0.655495,0.200000,0.000499,0.000499,0.000000,,0
0,33,0.675595,-0.059433,-0.004729,0.063067,-0.004729,0.679495,0.200000,0.000349,0.000349,0.000000,,0
0,34,0.699594,-0.059547,-0.004716,0.062953,-0.004716,0.703494,0.200000,0.000171,0.000171,0.000000,,0
0,35,0.723594,-0.059661,-0.004703,0.062839,-0.004703,0.727494,0.200000,0.000160,0.000160,0.000000,,0
