scenario,mode,controller,seed,rep,verdict,emergency,error
SC-PERT-04,enforcement,rl,2024,0,True,False,
SC-PERT-04,enforcement,rl,2024,1,True,False,
SC-PERT-04,enforcement,rl,2024,2,True,False,
SC-PERT-04,enforcement,rl,2024,3,True,False,
SC-PERT-04,enforcement,rl,2024,4,True,False,
SC-PERT-04,enforcement,rl,2024,5,True,False,
SC-PERT-04,enforcement,rl,2024,6,True,False,
SC-PERT-04,enforcement,rl,2024,7,True,False,
SC-PERT-04,enforcement,rl,2024,8,True,False,
SC-PERT-04,enforcement,rl,2024,9,True,False,
SC-PERT-04,monitoring,rl,2024,0,True,False,
SC-PERT-04,monitoring,rl,2024,1,True,False,
SC-PERT-04,monitoring,rl,2024,2,True,False,
SC-PERT-04,monitoring,rl,2024,3,True,False,
SC-PERT-04,monitoring,rl,2024,4,True,False,
SC-PERT-04,monitoring,rl,2024,5,True,False,
SC-PERT-04,monitoring,rl,2024,6,True,False,
SC-PERT-04,monitoring,rl,2024,7,True,False,
SC-PERT-04,monitoring,rl,2024,8,True,False,
SC-PERT-04,monitoring,rl,2024,9,True,False,
SC-PERT-09,enforcement,rl,2024,0,True,True,
SC-PERT-09,enforcement,rl,2024,1,True,False,
SC-PERT-09,enforcement,rl,2024,2,True,True,
SC-PERT-09,enforcement,rl,2024,3,True,True,
SC-PERT-09,enforcement,rl,2024,4,True,False,
SC-PERT-09,enforcement,rl,2024,5,True,False,
SC-PERT-09,enforcement,rl,2024,6,True,True,
SC-PERT-09,enforcement,rl,2024,7,True,True,
SC-PERT-09,enforcement,rl,2024,8,True,True,
SC-PERT-09,enforcement,rl,2024,9,True,False,
SC-PERT-09,monitoring,rl,2024,0,True,False,
SC-PERT-09,monitoring,rl,2024,1,True,False,
SC-PERT-09,monitoring,rl,2024,2,False,True,
SC-PERT-09,monitoring,rl,2024,3,True,False,
SC-PERT-09,monitoring,rl,2024,4,True,False,
SC-PERT-09,monitoring,rl,2024,5,True,False,
SC-PERT-09,monitoring,rl,2024,6,True,False,
SC-PERT-09,monitoring,rl,2024,7,True,False,
SC-PERT-09,monitoring,rl,2024,8,False,True,
SC-PERT-09,monitoring,rl,2024,9,True,False,
SC-PERT-11,enforcement,rl,2024,0,True,True,
SC-PERT-11,enforcement,rl,2024,1,True,True,
SC-PERT-11,enforcement,rl,2024,2,True,True,
SC-PERT-11,enforcement,rl,2024,3,True,True,
SC-PERT-11,enforcement,rl,2024,4,True,True,
SC-PERT-11,enforcement,rl,2024,5,True,True,
SC-PERT-11,enforcement,rl,2024,6,True,True,
SC-PERT-11,enforcement,rl,2024,7,True,True,
SC-PERT-11,enforcement,rl,2024,8,True,True,
SC-PERT-11,enforcement,rl,2024,9,True,True,
SC-PERT-11,monitoring,rl,2024,0,False,True,
SC-PERT-11,monitoring,rl,2024,1,False,True,
SC-PERT-11,monitoring,rl,2024,2,False,True,
SC-PERT-11,monitoring,rl,2024,3,False,True,
SC-PERT-11,monitoring,rl,2024,4,False,True,
SC-PERT-11,monitoring,rl,2024,5,False,True,
SC-PERT-11,monitoring,rl,2024,6,False,True,
SC-PERT-11,monitoring,rl,2024,7,False,True,
SC-PERT-11,monitoring,rl,2024,8,False,True,
SC-PERT-11,monitoring,rl,2024,9,False,True,
SC-PERT-12,enforcement,rl,2024,0,True,False,
SC-PERT-12,enforcement,rl,2024,1,True,False,
SC-PERT-12,enforcement,rl,2024,2,True,False,
SC-PERT-12,enforcement,rl,2024,3,True,False,
SC-PERT-12,enforcement,rl,2024,4,True,False,
SC-PERT-12,enforcement,rl,2024,5,True,False,
SC-PERT-12,enforcement,rl,2024,6,True,False,
SC-PERT-12,enforcement,rl,2024,7,True,False,
SC-PERT-12,enforcement,rl,2024,8,True,False,
SC-PERT-12,enforcement,rl,2024,9,True,False,
SC-PERT-12,monitoring,rl,2024,0,True,False,
SC-PERT-12,monitoring,rl,2024,1,True,False,
SC-PERT-12,monitoring,rl,2024,2,True,False,
SC-PERT-12,monitoring,rl,2024,3,True,False,
SC-PERT-12,monitoring,rl,2024,4,True,False,
SC-PERT-12,monitoring,rl,2024,5,True,False,
SC-PERT-12,monitoring,rl,2024,6,True,False,
SC-PERT-12,monitoring,rl,2024,7,True,False,
SC-PERT-12,monitoring,rl,2024,8,True,False,
SC-PERT-12,monitoring,rl,2024,9,True,False,
SC-PERT-13,enforcement,rl,2024,0,True,True,
SC-PERT-13,enforcement,rl,2024,1,True,True,
SC-PERT-13,enforcement,rl,2024,2,True,True,
SC-PERT-13,enforcement,rl,2024,3,True,True,
SC-PERT-13,enforcement,rl,2024,4,True,True,
SC-PERT-13,enforcement,rl,2024,5,True,True,
SC-PERT-13,enforcement,rl,2024,6,True,True,
SC-PERT-13,enforcement,rl,2024,7,True,True,
SC-PERT-13,enforcement,rl,2024,8,True,True,
SC-PERT-13,enforcement,rl,2024,9,True,True,
SC-PERT-13,monitoring,rl,2024,0,False,True,
SC-PERT-13,monitoring,rl,2024,1,True,True,
SC-PERT-13,monitoring,rl,2024,2,False,True,
SC-PERT-13,monitoring,rl,2024,3,True,True,
SC-PERT-13,monitoring,rl,2024,4,False,True,
SC-PERT-13,monitoring,rl,2024,5,True,True,
SC-PERT-13,monitoring,rl,2024,6,False,True,
SC-PERT-13,monitoring,rl,2024,7,True,True,
SC-PERT-13,monitoring,rl,2024,8,False,True,
SC-PERT-13,monitoring,rl,2024,9,True,True,
