episode,step,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,raw_throttle,safe_throttle,throttle_correction,interventions,emergency,joint_envelope_violated,oscillation_persistent,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence,cv_curvature,cv_lane_width,cv_n_lines,cv_reason
0,1,-0.835751,-1.634715,0.031470,-0.012215,0.031470,2.003185,0.056426,0.526311,0.526311,0.000000,0.500000,0.500000,0.000000,,0,0,0,1,1,0,-0.008427,-0.000384,0.9167,0.0749,0.2624,3,ok
0,2,-0.827201,-1.634586,0.058070,-0.012086,0.058070,2.011734,0.109281,0.208997,0.376311,0.167313,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,-0.005153,0.023472,0.9167,0.0696,0.2615,3,ok
0,3,-0.809984,-1.634261,0.086340,-0.011761,0.086340,2.028952,0.172519,-0.610201,0.226311,0.836512,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,-0.001313,0.053280,0.8958,0.0737,0.2623,3,ok
0,4,-0.790620,-1.632863,0.092350,-0.010363,0.092350,2.048316,0.199753,-0.789439,0.076311,0.865749,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.004111,0.090754,0.8958,0.0689,0.2603,3,ok
0,5,-0.766718,-1.630666,0.087423,-0.008166,0.087423,2.072218,0.200091,-0.742526,-0.073689,0.668836,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.005929,0.098822,0.8958,0.0775,0.2601,3,ok
0,6,-0.746783,-1.628813,0.073423,-0.006313,0.073423,2.092152,0.200308,-0.655925,-0.223689,0.432235,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.006801,0.096640,0.8958,0.0781,0.2608,3,ok
0,7,-0.726822,-1.626960,0.049161,-0.004460,0.049161,2.112113,0.200602,-0.610444,-0.373689,0.236754,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.007283,0.083579,0.8333,0.0861,0.2625,3,ok
0,8,-0.702834,-1.624737,0.006450,-0.002237,0.006450,2.135135,0.200849,-0.562068,-0.523689,0.038379,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.008096,0.064612,0.8958,0.0672,0.2593,3,ok
0,9,-0.678836,-1.623079,-0.025832,-0.000579,-0.025832,2.160099,0.200221,0.026491,-0.373689,-0.400181,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.005565,0.031088,0.9583,0.0677,0.2597,3,ok
0,10,-0.658848,-1.622793,-0.042293,-0.000293,-0.042293,2.180087,0.199830,0.657024,-0.223689,-0.880713,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.001138,-0.015555,0.9583,0.0793,0.2613,3,ok
0,11,-0.638869,-1.623361,-0.048095,-0.000861,-0.048095,2.200067,0.199880,0.800371,-0.073689,-0.874060,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,-0.000184,-0.031183,0.8958,0.0729,0.2612,3,ok
0,12,-0.618891,-1.624304,-0.043869,-0.001804,-0.043869,2.220045,0.200041,0.794162,0.076311,-0.717851,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,-0.001412,-0.042800,0.9167,0.0679,0.2610,3,ok
0,13,-0.594906,-1.625469,-0.026032,-0.002969,-0.026032,2.244029,0.200163,0.728194,0.226311,-0.501883,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,-0.001331,-0.039158,0.8958,0.0606,0.2589,3,ok
0,14,-0.574909,-1.626439,-0.000800,-0.003939,-0.000800,2.264027,0.200235,0.547711,0.376311,-0.171401,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,-0.001469,-0.026790,0.8750,0.0705,0.2599,3,ok
0,15,-0.554910,-1.627401,0.021828,-0.004901,0.021828,2.284025,0.200162,0.316496,0.316496,0.000000,0.500000,0.500000,0.000000,,0,0,0,1,1,0,0.001039,-0.006707,0.8542,0.0646,0.2591,3,ok
0,16,-0.534918,-1.627576,0.034368,-0.005076,0.034368,2.304017,0.199886,0.041538,0.166496,0.124958,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.001530,0.015690,0.8125,0.0878,0.2617,3,ok
0,17,-0.514931,-1.626983,0.036445,-0.004483,0.036445,2.324004,0.199977,-0.401958,0.016496,0.418454,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.004138,0.036983,0.8958,0.0720,0.2593,3,ok
0,18,-0.490944,-1.626159,0.026480,-0.003659,0.026480,2.347992,0.200046,-0.530909,-0.133504,0.397404,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.005285,0.041955,0.9583,0.0695,0.2598,3,ok
0,19,-0.466950,-1.625350,0.021773,-0.002850,0.021773,2.371985,0.200055,-0.049300,-0.049300,0.000000,0.500000,0.500000,0.000000,,0,0,0,1,1,0,0.005256,0.035123,0.9375,0.0673,0.2599,3,ok
0,20,-0.446956,-1.624882,0.025626,-0.002382,0.025626,2.391980,0.199986,0.068004,0.068004,0.000000,0.500000,0.500000,0.000000,,0,0,0,1,1,0,0.004863,0.029440,0.9375,0.0743,0.2601,3,ok
0,21,-0.426962,-1.624367,0.025364,-0.001867,0.025364,2.411973,0.200003,-0.010986,-0.010986,0.000000,0.500000,0.500000,0.000000,,0,0,0,1,1,0,0.005631,0.028872,0.9167,0.0729,0.2605,3,ok
0,22,-0.406967,-1.623846,0.017030,-0.001346,0.017030,2.431968,0.200037,-0.132262,-0.132262,0.000000,0.500000,0.500000,0.000000,,0,0,0,1,1,0,0.006596,0.031991,0.9167,0.0688,0.2608,3,ok
0,23,-0.382971,-1.623438,0.017563,-0.000938,0.017563,2.455965,0.199996,0.054527,0.017738,-0.036789,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.007058,0.027657,0.8958,0.0597,0.2594,3,ok
0,24,-0.362976,-1.623112,0.027001,-0.000612,0.027001,2.475960,0.199957,0.146611,0.146611,0.000000,0.500000,0.500000,0.000000,,0,0,0,1,1,0,0.006566,0.023571,0.8958,0.0698,0.2602,3,ok
0,25,-0.342983,-1.622575,0.027706,-0.000075,0.027706,2.495952,0.200001,-0.214083,-0.003389,0.210695,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.007054,0.026421,0.8333,0.0809,0.2607,3,ok
0,26,-0.322989,-1.622018,0.018277,0.000482,0.018277,2.515947,0.200042,-0.452242,-0.153389,0.298854,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.007449,0.032095,0.8542,0.0818,0.2620,3,ok
0,27,-0.298990,-1.621349,0.001857,0.001151,0.001857,2.539945,0.200077,-0.197697,-0.197697,0.000000,0.500000,0.500000,0.000000,,0,0,0,1,1,0,0.008963,0.029389,0.9167,0.0690,0.2601,3,ok
0,28,-0.274990,-1.621101,-0.003157,0.001399,-0.003157,2.563945,0.200004,0.358864,-0.047697,-0.406561,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.007432,0.012528,0.9375,0.0647,0.2596,3,ok
0,29,-0.254991,-1.621130,0.002975,0.001370,0.002975,2.583945,0.200000,0.421564,0.102303,-0.319261,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.006302,0.005555,0.9583,0.0709,0.2608,3,ok
0,30,-0.230993,-1.621183,0.023052,0.001317,0.023052,2.607943,0.199952,0.383893,0.252303,-0.131590,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.006576,0.006139,0.9167,0.0741,0.2607,3,ok
0,31,-0.207002,-1.621022,0.032541,0.001478,0.032541,2.631933,0.199909,-0.488976,0.102303,0.591279,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.009152,0.025466,0.9375,0.0722,0.2600,3,ok
0,32,-0.183014,-1.620270,0.029347,0.002230,0.029347,2.655921,0.200019,-0.625399,-0.047697,0.577702,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.011567,0.037564,0.8958,0.0579,0.2591,3,ok
0,33,-0.159020,-1.619489,0.013851,0.003011,0.013851,2.679915,0.200085,-0.512375,-0.197697,0.314678,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.011131,0.037367,0.8750,0.0736,0.2601,3,ok
0,34,-0.139021,-1.618859,0.005726,0.003641,0.005726,2.699914,0.200080,-0.108359,-0.108359,0.000000,0.500000,0.500000,0.000000,,0,0,0,1,1,0,0.010381,0.021984,0.8333,0.0774,0.2602,3,ok
0,35,-0.115022,-1.618695,0.008258,0.003805,0.008258,2.723914,0.199996,0.157676,0.041641,-0.116034,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.009965,0.014516,0.9167,0.0720,0.2599,3,ok
0,36,-0.091025,-1.618572,0.023200,0.003928,0.023200,2.747911,0.199952,0.222009,0.191641,-0.030367,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.010305,0.012648,0.9792,0.0669,0.2601,3,ok
0,37,-0.067033,-1.618177,0.027624,0.004323,0.027624,2.771903,0.199960,-0.398721,0.041641,0.440362,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.012145,0.029197,0.9375,0.0713,0.2597,3,ok
0,38,-0.043040,-1.617548,0.019449,0.004952,0.019449,2.795896,0.200032,-0.502615,-0.108359,0.394257,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.012788,0.033422,0.9375,0.0738,0.2602,3,ok
0,39,-0.023041,-1.617014,0.002569,0.005486,0.002569,2.815894,0.200070,-0.340052,-0.258359,0.081694,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.013027,0.026062,0.9167,0.0710,0.2601,3,ok
0,40,0.000958,-1.616528,-0.007488,0.005972,-0.007488,2.839894,0.200020,0.006649,-0.108359,-0.115008,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.012282,0.016328,0.9375,0.0674,0.2599,3,ok
0,41,0.024958,-1.616689,-0.004638,0.005811,-0.004638,2.863893,0.200004,0.368407,0.041641,-0.326766,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.011128,-0.000611,0.8958,0.0650,0.2601,3,ok
0,42,0.048958,-1.616877,0.010420,0.005623,0.010420,2.886035,0.199997,0.358065,0.191641,-0.166423,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.011070,-0.000272,0.8333,0.0709,0.2602,3,ok
0,43,0.072955,-1.616791,0.014988,0.005709,0.014988,2.911891,0.199982,-0.282440,0.041641,0.324081,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.012263,0.015593,0.8750,0.0760,0.2596,3,ok
0,44,0.092954,-1.616525,0.008272,0.005975,0.008272,2.931889,0.200012,-0.394696,-0.108359,0.286338,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.013350,0.021002,0.9167,0.0666,0.2592,3,ok
0,45,0.116953,-1.616263,0.006181,0.006237,0.006181,2.955889,0.200006,-0.017955,-0.017955,0.000000,0.500000,0.500000,0.000000,,0,0,0,1,1,0,0.013408,0.017033,0.9375,0.0608,0.2594,3,ok
