episode,step,sim_time_s,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,raw_throttle,safe_throttle,throttle_correction,interventions,emergency,joint_envelope_violated,oscillation_persistent,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence,cv_curvature,cv_lane_width,cv_n_lines,cv_reason
0,1,1.060000,-0.836216,-1.633914,-0.013644,-0.011414,-0.013644,2.002720,0.051145,0.157746,0.157746,0.000000,0.657393,0.657393,0.000000,,0,0,0,1,1,0,-0.005129,-0.056065,0.7292,-0.0384,0.2697,2,ok
0,2,1.180000,-0.825945,-1.633759,-0.006963,-0.011259,-0.006963,2.012991,0.114755,0.075054,0.075054,0.000000,0.673205,0.673205,0.000000,,0,0,0,1,1,0,-0.004020,-0.037635,0.7292,-0.0353,0.2677,2,ok
0,3,1.280000,-0.812509,-1.633556,-0.001013,-0.011056,-0.001013,2.026427,0.138619,0.084549,0.084549,0.000000,0.630015,0.630015,0.000000,,0,0,0,1,1,0,-0.002712,-0.031451,0.7292,-0.0473,0.2672,2,ok
0,4,1.400000,-0.796631,-1.633317,0.010165,-0.010817,0.010165,2.042304,0.131987,0.135575,0.135575,0.000000,0.599899,0.599899,0.000000,,0,0,0,1,1,0,-0.002102,-0.019972,0.7500,-0.0363,0.2674,2,ok
0,5,1.500000,-0.783241,-1.633115,0.018394,-0.010615,0.018394,2.055694,0.133998,0.116810,0.116810,0.000000,0.609111,0.609111,0.000000,,0,0,0,1,1,0,-0.000646,-0.006999,0.7500,-0.0429,0.2668,2,ok
0,6,1.600000,-0.769503,-1.632908,0.027488,-0.010408,0.027488,2.069433,0.137683,0.131189,0.131189,0.000000,0.625989,0.625989,0.000000,,0,0,0,1,1,0,0.000757,0.003828,0.6667,-0.0419,0.2680,2,ok
0,7,1.700000,-0.755098,-1.632691,0.034267,-0.010191,0.034267,2.083838,0.145049,0.095246,0.095246,0.000000,0.659619,0.659619,0.000000,,0,0,0,1,1,0,0.002084,0.019705,0.7083,-0.0416,0.2665,2,ok
0,8,1.820000,-0.736963,-1.632112,0.030403,-0.009612,0.030403,2.101972,0.151908,-0.329283,-0.054754,0.274529,0.690447,0.690447,0.000000,C-06,0,0,0,1,1,0,0.002590,0.036144,0.6875,-0.0269,0.2681,2,ok
0,9,1.940000,-0.717697,-1.631534,0.018101,-0.009034,0.018101,2.121238,0.161912,-0.153335,-0.153335,0.000000,0.735768,0.735768,0.000000,,0,0,0,1,1,0,0.004230,0.030352,0.7292,-0.0500,0.2668,2,ok
0,10,2.040000,-0.701410,-1.631055,0.008227,-0.008555,0.008227,2.135135,0.162999,-0.140196,-0.140196,0.000000,0.740612,0.740612,0.000000,,0,0,0,1,1,0,0.003476,0.019384,0.7708,-0.0463,0.2667,2,ok
0,11,2.140000,-0.686873,-1.630884,0.008237,-0.008384,0.008237,2.152063,0.144091,0.050797,0.009804,-0.040993,0.654946,0.654946,0.000000,C-06,0,0,0,1,1,0,0.002400,0.003039,0.7917,-0.0404,0.2672,2,ok
0,12,2.240000,-0.672128,-1.630728,0.018560,-0.008228,0.018560,2.166807,0.147877,0.193449,0.159804,-0.033645,0.672238,0.672238,0.000000,C-06,0,0,0,1,1,0,0.002184,-0.001974,0.7917,-0.0389,0.2668,2,ok
0,13,2.360000,-0.654225,-1.630538,0.030986,-0.008038,0.030986,2.184711,0.149261,0.148159,0.148159,0.000000,0.678737,0.678737,0.000000,,0,0,0,1,1,0,0.003092,0.005053,0.7500,-0.0358,0.2677,2,ok
0,14,2.460000,-0.638988,-1.630080,0.031380,-0.007580,0.031380,2.199947,0.152701,-0.119995,-0.001841,0.118154,0.694103,0.694103,0.000000,C-06,0,0,0,1,1,0,0.004777,0.037298,0.7708,-0.0254,0.2677,2,ok
0,15,2.560000,-0.623846,-1.629605,0.028136,-0.007105,0.028136,2.215089,0.151408,-0.049922,-0.049922,0.000000,0.688153,0.688153,0.000000,,0,0,0,1,1,0,0.005908,0.033347,0.7708,-0.0377,0.2674,2,ok
0,16,2.660000,-0.608443,-1.629175,0.028036,-0.006675,0.028036,2.230493,0.154338,0.001686,0.001686,0.000000,0.701540,0.701540,0.000000,,0,0,0,1,1,0,0.005725,0.030658,0.7292,-0.0325,0.2673,2,ok
0,17,2.780000,-0.589790,-1.628659,0.030174,-0.006159,0.030174,2.249145,0.155572,0.027179,0.027179,0.000000,0.707197,0.707197,0.000000,,0,0,0,1,1,0,0.006124,0.030839,0.7500,-0.0300,0.2677,2,ok
0,18,2.900000,-0.571109,-1.628141,0.031236,-0.005641,0.031236,2.267826,0.155748,0.011878,0.011878,0.000000,0.708013,0.708013,0.000000,,0,0,0,1,1,0,0.006843,0.033362,0.7083,-0.0329,0.2672,2,ok
0,19,3.000000,-0.555844,-1.627666,0.031363,-0.005166,0.031363,2.283092,0.152533,0.001199,0.001199,0.000000,0.693335,0.693335,0.000000,,0,0,0,1,1,0,0.007568,0.033450,0.7083,-0.0386,0.2671,2,ok
0,20,3.100000,-0.540603,-1.627189,0.021649,-0.004689,0.021649,2.298332,0.152492,-0.149935,-0.148801,0.001134,0.692976,0.692976,0.000000,C-06,0,0,0,1,1,0,0.008870,0.029406,0.6875,-0.0513,0.2668,2,ok
0,21,3.200000,-0.525605,-1.626708,0.006297,-0.004208,0.006297,2.313330,0.149847,-0.224508,-0.224508,0.000000,0.680790,0.680790,0.000000,,0,0,0,1,1,0,0.008583,0.025286,0.7292,-0.0503,0.2659,2,ok
