episode,step,sim_time_s,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,raw_throttle,safe_throttle,throttle_correction,interventions,emergency,joint_envelope_violated,oscillation_persistent,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence,cv_curvature,cv_lane_width,cv_n_lines,cv_reason
0,1,1.060000,-0.835238,-1.639299,-0.006211,-0.016799,-0.006211,2.003698,0.060160,0.244811,0.244811,0.000000,0.782590,0.782590,0.000000,,0,0,0,1,1,0,-0.010815,-0.058588,0.7292,-0.0392,0.2685,2,ok
0,2,1.180000,-0.823885,-1.639128,0.002380,-0.016628,0.002380,2.015050,0.123768,0.054507,0.094811,0.040303,0.800592,0.800592,0.000000,C-06,0,0,0,1,1,0,-0.009354,-0.027061,0.7083,-0.0119,0.2693,2,ok
0,3,1.280000,-0.808738,-1.639119,-0.000924,-0.016619,-0.000924,2.030198,0.167206,-0.083828,-0.055189,0.028638,0.760027,0.760027,0.000000,C-06,0,0,0,1,1,0,-0.007444,-0.014436,0.7292,-0.0370,0.2678,2,ok
0,4,1.400000,-0.789273,-1.639140,0.006430,-0.016640,0.006430,2.049662,0.161837,0.129493,0.094811,-0.034683,0.735637,0.735637,0.000000,C-06,0,0,0,1,1,0,-0.007376,-0.015386,0.7500,-0.0384,0.2672,2,ok
0,5,1.500000,-0.773213,-1.639159,0.014356,-0.016659,0.014356,2.065723,0.160557,0.113368,0.113368,0.000000,0.729873,0.729873,0.000000,,0,0,0,1,1,0,-0.006746,-0.015826,0.7083,-0.0438,0.2677,2,ok
0,6,1.600000,-0.757352,-1.639182,0.024337,-0.016682,0.024337,2.081583,0.158356,0.146452,0.146452,0.000000,0.720003,0.720003,0.000000,,0,0,0,1,1,0,-0.006241,-0.000354,0.7083,-0.0351,0.2686,2,ok
0,7,1.700000,-0.741322,-1.638929,0.027248,-0.016429,0.027248,2.097613,0.160457,0.036238,0.036238,0.000000,0.729502,0.729502,0.000000,,0,0,0,1,1,0,-0.004536,0.019437,0.6875,-0.0430,0.2652,2,ok
0,8,1.820000,-0.721932,-1.638448,0.022147,-0.015948,0.022147,2.117003,0.161729,-0.067015,-0.067015,0.000000,0.735085,0.735085,0.000000,,0,0,0,1,1,0,-0.004207,0.029663,0.6875,-0.0344,0.2670,2,ok
0,9,1.940000,-0.705019,-1.637983,0.028259,-0.015483,0.028259,2.133916,0.139718,0.145719,0.082985,-0.062735,0.629101,0.635085,0.005984,C-06,0,0,0,1,1,0,-0.003750,0.019643,0.7708,-0.0344,0.2679,2,ok
0,10,2.040000,-0.692008,-1.637610,0.024394,-0.015110,0.024394,2.146927,0.129400,-0.408301,-0.067015,0.341286,0.588120,0.588120,0.000000,C-06,0,0,0,1,1,0,-0.002678,0.024327,0.7917,-0.0448,0.2673,2,ok
