episode,step,sim_time_s,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,raw_throttle,safe_throttle,throttle_correction,interventions,emergency,joint_envelope_violated,oscillation_persistent,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence,cv_curvature,cv_lane_width,cv_n_lines,cv_reason
0,1,1.020000,-0.836206,-1.625166,0.004054,-0.002666,0.004054,2.002729,0.051150,0.047589,0.047589,0.000000,0.680440,0.680440,0.000000,,0,0,0,1,1,0,0.007793,-0.020817,0.7292,-0.0577,0.2680,2,ok
0,2,1.120000,-0.828177,-1.625048,0.005649,-0.002548,0.005649,2.010759,0.104153,0.020733,0.020733,0.000000,0.682408,0.682408,0.000000,,0,0,0,1,1,0,0.007223,-0.006645,0.7292,-0.0350,0.2682,2,ok
0,3,1.240000,-0.811945,-1.624821,0.008491,-0.002321,0.008491,2.026991,0.149848,0.034416,0.034416,0.000000,0.681085,0.681085,0.000000,,0,0,0,1,1,0,0.008015,-0.009480,0.7500,-0.0460,0.2680,2,ok
0,4,1.340000,-0.797060,-1.624612,0.011907,-0.002112,0.011907,2.041875,0.148794,0.049528,0.049528,0.000000,0.676315,0.676315,0.000000,,0,0,0,1,1,0,0.007681,-0.002672,0.7292,-0.0289,0.2681,2,ok
0,5,1.460000,-0.779231,-1.624362,0.015192,-0.001862,0.015192,2.059704,0.148572,0.038469,0.038469,0.000000,0.675339,0.675339,0.000000,,0,0,0,1,1,0,0.008840,0.000085,0.7500,-0.0364,0.2679,2,ok
0,6,1.560000,-0.763924,-1.624140,0.014423,-0.001640,0.014423,2.075011,0.153611,-0.014310,-0.014310,0.000000,0.698230,0.698230,0.000000,,0,0,0,1,1,0,0.009496,0.008571,0.7083,-0.0391,0.2660,2,ok
0,7,1.660000,-0.748430,-1.623920,0.002645,-0.001420,0.002645,2.090506,0.155125,-0.179625,-0.179625,0.000000,0.705048,0.705048,0.000000,C-06,0,0,0,1,1,0,0.010251,0.004724,0.6875,-0.0436,0.2670,2,ok
0,8,1.780000,-0.729445,-1.623662,-0.017728,-0.001162,-0.017728,2.109490,0.158459,-0.244782,-0.244782,0.000000,0.720306,0.720306,0.000000,,0,0,0,1,1,0,0.008810,-0.013773,0.7292,-0.0411,0.2680,2,ok
0,9,1.900000,-0.711277,-1.623474,-0.028332,-0.000974,-0.028332,2.127659,0.151136,-0.122574,-0.122574,0.000000,0.687236,0.687236,0.000000,,0,0,0,1,1,0,0.008023,-0.019919,0.7292,-0.0431,0.2668,2,ok
0,10,2.000000,-0.697157,-1.623797,-0.008015,-0.001297,-0.008015,2.141778,0.138853,0.350631,0.350631,0.000000,0.630981,0.630981,0.000000,C-06,0,0,0,1,1,0,0.005362,-0.048659,0.7917,-0.0326,0.2661,2,ok
0,11,2.100000,-0.683237,-1.624145,0.005271,-0.001645,0.005271,2.155699,0.139266,0.180747,0.180747,0.000000,0.632838,0.632838,0.000000,C-06,0,0,0,1,1,0,0.005908,-0.048433,0.7708,-0.0335,0.2677,2,ok
0,12,2.200000,-0.668990,-1.624148,0.007074,-0.001648,0.007074,2.169946,0.142707,0.019047,0.019047,0.000000,0.648683,0.648683,0.000000,C-06,0,0,0,1,1,0,0.008210,-0.018742,0.7917,-0.0415,0.2675,2,ok
0,13,2.320000,-0.651519,-1.624116,0.013468,-0.001616,0.013468,2.185235,0.145933,0.081395,0.081395,0.000000,0.663388,0.663388,0.000000,,0,0,0,1,1,0,0.008862,-0.004296,0.7500,-0.0364,0.2672,2,ok
0,14,2.420000,-0.636601,-1.624084,0.020506,-0.001584,0.020506,2.202334,0.149489,0.101796,0.101796,0.000000,0.679631,0.679631,0.000000,,0,0,0,1,1,0,0.009354,-0.003474,0.7708,-0.0395,0.2676,2,ok
0,15,2.520000,-0.621109,-1.623802,0.012889,-0.001302,0.012889,2.217827,0.155765,-0.126356,-0.126356,0.000000,0.707958,0.707958,0.000000,C-06,0,0,0,1,1,0,0.010279,0.017770,0.7500,-0.0344,0.2668,2,ok
0,16,2.620000,-0.605153,-1.623595,0.018568,-0.001095,0.018568,2.233783,0.159886,0.089695,0.089695,0.000000,0.726818,0.726818,0.000000,C-06,0,0,0,1,1,0,0.010675,0.004802,0.7292,-0.0544,0.2660,2,ok
