episode,step,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,raw_throttle,safe_throttle,throttle_correction,interventions,emergency,joint_envelope_violated,oscillation_persistent,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence,cv_curvature,cv_lane_width,cv_n_lines,cv_reason
0,1,-0.835914,-1.614302,-0.038777,0.008198,-0.038777,2.003021,0.055885,-0.737508,-0.737508,0.000000,0.500000,0.500000,0.000000,,0,0,0,1,1,0,0.019095,0.009609,0.8125,-0.0204,0.2675,3,ok
0,2,-0.827425,-1.614430,-0.079495,0.008070,-0.079495,2.011510,0.108601,-0.080019,-0.587508,-0.507489,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.015201,-0.018928,0.7708,-0.0196,0.2677,2,ok
0,3,-0.810317,-1.614728,-0.123728,0.007772,-0.123728,2.028619,0.171301,0.909712,-0.437508,-1.347220,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.009613,-0.065586,0.7917,-0.0247,0.2679,2,ok
0,4,-0.791075,-1.616238,-0.143124,0.006262,-0.143124,2.047860,0.198807,0.974108,-0.287508,-1.261616,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.001398,-0.120272,0.7292,-0.0064,0.2687,2,ok
0,5,-0.767341,-1.619180,-0.154415,0.003320,-0.154415,2.071594,0.199318,0.971090,-0.137508,-1.108598,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,-0.002548,-0.141929,0.7083,-0.0089,0.2676,2,ok
0,6,-0.747581,-1.622220,-0.154392,0.000280,-0.154392,2.091355,0.200002,0.959059,0.012492,-0.946567,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,-0.006785,-0.151310,0.7708,-0.0026,0.2680,2,ok
0,7,-0.727805,-1.625298,-0.144827,-0.002798,-0.144827,2.111130,0.200269,0.919470,0.162492,-0.756979,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,-0.009312,-0.154966,0.7917,-0.0229,0.2666,2,ok
0,8,-0.704020,-1.628992,-0.121486,-0.006492,-0.121486,2.134915,0.200871,0.893155,0.312492,-0.580663,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,-0.010201,-0.153227,0.8125,-0.0445,0.2642,2,ok
0,9,-0.680152,-1.632685,-0.085810,-0.010185,-0.085810,2.158783,0.201598,0.866738,0.462492,-0.404246,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,-0.011940,-0.134785,0.8125,-0.0351,0.2659,2,ok
0,10,-0.660197,-1.635763,-0.045342,-0.013263,-0.045342,2.178738,0.202130,0.832263,0.612492,-0.219772,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,-0.011799,-0.095249,0.8333,-0.0345,0.2661,2,ok
0,11,-0.640204,-1.638841,0.006951,-0.016341,0.006951,2.198732,0.202353,0.764571,0.762492,-0.002079,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,-0.010346,-0.055599,0.8125,-0.0282,0.2670,2,ok
0,12,-0.620216,-1.641189,0.057421,-0.018689,0.057421,2.218719,0.200520,0.725850,0.725850,0.000000,0.500000,0.500000,0.000000,,0,0,0,1,1,0,-0.009016,-0.033668,0.8125,-0.0264,0.2670,2,ok
0,13,-0.596298,-1.641965,0.104566,-0.019465,0.104566,2.242638,0.198955,-0.669016,0.575850,1.244866,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,-0.005894,0.022047,0.7708,-0.0146,0.2672,2,ok
0,14,-0.576440,-1.641202,0.133201,-0.018702,0.133201,2.262495,0.198565,-0.880322,0.425850,1.306172,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,-0.001333,0.069970,0.7917,-0.0253,0.2672,3,ok
0,15,-0.556644,-1.639383,0.151724,-0.016883,0.151724,2.282292,0.198773,-0.937643,0.275850,1.213493,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.004145,0.121146,0.7292,0.0054,0.2685,3,ok
0,16,-0.536888,-1.636747,0.160457,-0.014247,0.160457,2.302048,0.199350,-0.894842,0.125850,1.020692,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.008768,0.145989,0.7500,-0.0023,0.2662,3,ok
0,17,-0.517144,-1.633593,0.159603,-0.011093,0.159603,2.321791,0.200004,-0.840196,-0.024150,0.816046,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.011649,0.161914,0.6875,0.0149,0.2653,3,ok
0,18,-0.493428,-1.629774,0.147086,-0.007274,0.147086,2.345508,0.200366,-0.895357,-0.174150,0.721207,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.016817,0.162337,0.7500,-0.0196,0.2644,3,ok
0,19,-0.469648,-1.625955,0.122770,-0.003455,0.122770,2.369287,0.201002,-0.881031,-0.324150,0.556881,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.019575,0.151914,0.7917,-0.0131,0.2638,3,ok
0,20,-0.449766,-1.622772,0.092512,-0.000272,0.092512,2.389169,0.201640,-0.888776,-0.474150,0.414626,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.021041,0.128696,0.7917,-0.0215,0.2659,3,ok
0,21,-0.429821,-1.619590,0.051325,0.002910,0.051325,2.409115,0.202232,-0.876847,-0.624150,0.252697,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.020880,0.099378,0.8125,-0.0220,0.2662,3,ok
0,22,-0.409830,-1.616407,-0.001608,0.006093,-0.001608,2.429106,0.202516,-0.775644,-0.774150,0.001494,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.018908,0.064077,0.8125,-0.0115,0.2658,3,ok
0,23,-0.385842,-1.613957,-0.054334,0.008543,-0.054334,2.453094,0.200267,-0.291243,-0.624150,-0.332907,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.016098,0.013110,0.7917,-0.0152,0.2664,3,ok
0,24,-0.365893,-1.613464,-0.087241,0.009036,-0.087241,2.473042,0.199273,0.872324,-0.474150,-1.346474,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.012227,-0.033111,0.7083,-0.0028,0.2678,2,ok
0,25,-0.345991,-1.614164,-0.109415,0.008336,-0.109415,2.492945,0.199056,0.886138,-0.324150,-1.210288,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.008620,-0.069102,0.7083,-0.0013,0.2676,2,ok
0,26,-0.326125,-1.615788,-0.121564,0.006712,-0.121564,2.512811,0.199329,0.964004,-0.174150,-1.138154,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.006033,-0.097965,0.7917,-0.0302,0.2656,2,ok
0,27,-0.302307,-1.618584,-0.124345,0.003916,-0.124345,2.535635,0.199892,0.961331,-0.024150,-0.985481,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.004301,-0.110661,0.7917,-0.0317,0.2660,2,ok
0,28,-0.278480,-1.621556,-0.115308,0.000944,-0.115308,2.560455,0.200205,0.966544,0.125850,-0.840694,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,-0.001681,-0.124458,0.8333,-0.0270,0.2667,2,ok
0,29,-0.258596,-1.624038,-0.098105,-0.001538,-0.098105,2.580340,0.200560,0.950137,0.275850,-0.674287,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,-0.001681,-0.124458,0.8333,-0.0270,0.2667,2,ok
0,30,-0.234678,-1.627016,-0.064755,-0.004516,-0.064755,2.604258,0.201097,0.867528,0.425850,-0.441678,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,-0.004458,-0.110657,0.8125,-0.0276,0.2665,2,ok
0,31,-0.210701,-1.629994,-0.018125,-0.007494,-0.018125,2.628234,0.201492,0.804901,0.575850,-0.229051,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,-0.004097,-0.068349,0.7917,-0.0167,0.2670,2,ok
0,32,-0.186703,-1.632162,0.018616,-0.009662,0.018616,2.652233,0.200487,0.289055,0.425850,0.136795,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,-0.001701,-0.031066,0.7917,-0.0208,0.2664,2,ok
0,33,-0.162714,-1.632828,0.042259,-0.010328,0.042259,2.676221,0.199852,-0.646324,0.275850,0.922174,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,-0.000050,0.002588,0.7292,-0.0068,0.2680,2,ok
0,34,-0.142737,-1.632435,0.051640,-0.009935,0.051640,2.696199,0.199805,-0.830663,0.125850,0.956513,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.003042,0.038148,0.7083,-0.0081,0.2689,3,ok
0,35,-0.118768,-1.631221,0.050188,-0.008721,0.050188,2.720167,0.200014,-0.818519,-0.024150,0.794369,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.005449,0.048570,0.7292,-0.0208,0.2665,3,ok
