episode,step,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,raw_throttle,safe_throttle,throttle_correction,interventions,emergency,joint_envelope_violated,oscillation_persistent,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence,cv_curvature,cv_lane_width,cv_n_lines,cv_reason
0,1,-0.835856,-1.618356,-0.019475,0.004144,-0.019475,2.003079,0.054852,-0.320313,-0.320313,0.000000,0.500000,0.500000,0.000000,,0,0,0,1,1,0,0.012770,0.011170,0.7500,0.0080,0.2679,3,ok
0,2,-0.827462,-1.618455,-0.018103,0.004045,-0.018103,2.011473,0.107839,0.055805,0.055805,0.000000,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.011071,-0.008687,0.7500,0.0105,0.2685,3,ok
0,3,-0.810392,-1.618478,-0.011869,0.004022,-0.011869,2.028543,0.171441,0.158281,0.158281,0.000000,0.500000,0.500000,0.000000,,0,0,0,1,1,0,0.010277,-0.013529,0.7500,0.0025,0.2668,3,ok
0,4,-0.791026,-1.618512,-0.008532,0.003988,-0.008532,2.047910,0.199993,0.037731,0.037731,0.000000,0.500000,0.500000,0.000000,,0,0,0,1,1,0,0.011180,-0.007232,0.7083,-0.0010,0.2656,3,ok
0,5,-0.767030,-1.618681,-0.030025,0.003819,-0.030025,2.071905,0.199922,-0.297609,-0.297609,0.000000,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.011286,-0.004128,0.7083,0.0081,0.2666,3,ok
0,6,-0.747041,-1.619073,-0.035734,0.003427,-0.035734,2.091894,0.199925,-0.063491,-0.063491,0.000000,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.010804,-0.007511,0.6458,0.0029,0.2647,3,ok
0,7,-0.727049,-1.619775,-0.016195,0.002725,-0.016195,2.111886,0.200099,0.325982,0.325982,0.000000,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.007670,-0.028937,0.6667,0.0081,0.2652,3,ok
0,8,-0.703050,-1.620639,0.007019,0.001861,0.007019,2.135135,0.200126,0.270269,0.270269,0.000000,0.500000,0.500000,0.000000,,0,0,0,1,1,0,0.007960,-0.028511,0.6458,0.0006,0.2644,3,ok
0,9,-0.679052,-1.620534,-0.029334,0.001966,-0.029334,2.159883,0.199930,-0.524895,-0.524895,0.000000,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.010019,0.002816,0.6458,0.0096,0.2667,3,ok
0,10,-0.659061,-1.621109,-0.025386,0.001391,-0.025386,2.179875,0.200039,0.116651,0.116651,0.000000,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.007297,-0.020247,0.6250,0.0090,0.2670,3,ok
0,11,-0.639065,-1.621758,-0.011491,0.000742,-0.011491,2.199871,0.200090,0.206933,0.206933,0.000000,0.500000,0.500000,0.000000,,0,0,0,1,1,0,0.007297,-0.020247,0.6250,0.0090,0.2670,3,ok
0,12,-0.619068,-1.622047,-0.026956,0.000453,-0.026956,2.219867,0.199949,-0.275510,-0.275510,0.000000,0.500000,0.500000,0.000000,C-06,0,0,0,1,1,0,0.008062,-0.015504,0.5000,0.0072,0.2686,3,ok
0,13,-0.595080,-1.622428,-0.034482,0.000072,-0.034482,2.243856,0.199918,-0.075256,-0.075256,0.000000,0.500000,0.500000,0.000000,C-06,0,0,0,1,0,0,-0.282689,-0.020126,0.5833,0.1158,0.3131,2,ok
0,14,-0.575088,-1.623104,-0.019011,-0.000604,-0.019011,2.263848,0.200081,0.253327,0.253327,0.000000,0.500000,0.500000,0.000000,C-06;C-05,1,0,0,1,0,1,-0.286650,-0.025628,0.5417,0.1301,0.3161,2,ok
0,15,-0.555092,-1.623516,-0.022266,-0.001016,-0.022266,2.283844,0.199989,-0.075035,-0.075035,0.000000,0.500000,0.500000,0.000000,C-06;C-05,1,0,0,1,0,1,-0.283969,-0.022216,0.5000,0.1208,0.3118,2,ok
0,16,-0.535100,-1.623902,-0.034475,-0.001402,-0.034475,2.303836,0.199923,-0.186300,-0.186300,0.000000,0.500000,0.500000,0.000000,C-05,1,0,0,1,0,1,-0.285063,-0.017288,0.5208,0.1364,0.3094,2,ok
0,17,-0.515108,-1.624542,-0.020774,-0.002042,-0.020774,2.323827,0.200062,0.242921,0.242921,0.000000,0.500000,0.500000,0.000000,C-06;C-05,1,0,0,1,0,1,-0.285553,-0.023069,0.5625,0.1237,0.3128,2,ok
