episode,step,sim_time_s,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,raw_throttle,safe_throttle,throttle_correction,interventions,emergency,joint_envelope_violated,oscillation_persistent,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence,cv_curvature,cv_lane_width,cv_n_lines,cv_reason
0,1,1.020000,-0.825392,-1.618773,0.255088,0.003727,0.255088,2.013543,0.177165,-0.162315,-0.162315,0.000000,0.804560,0.804560,0.000000,,0,0,0,1,1,0,0.045151,0.396261,0.5833,-0.0519,0.2696,3,ok
0,2,1.120000,-0.808591,-1.614224,0.245092,0.008276,0.245092,2.030345,0.174006,-0.166650,-0.166650,0.000000,0.787045,0.787045,0.000000,,0,0,0,1,1,0,0.046406,0.395115,0.5417,-0.0383,0.2670,3,ok
0,3,1.240000,-0.788958,-1.608758,0.228150,0.013742,0.228150,2.049978,0.169759,-0.237529,-0.237529,0.000000,0.763366,0.763366,0.000000,,0,0,0,1,1,0,0.049830,0.376663,0.5625,-0.0361,0.2670,3,ok
0,4,1.340000,-0.772063,-1.604266,0.213977,0.018234,0.213977,2.066872,0.175282,-0.231361,-0.231361,0.000000,0.788956,0.788956,0.000000,,0,0,0,1,1,0,0.050833,0.362649,0.5417,-0.0376,0.2649,3,ok
0,5,1.460000,-0.751795,-1.599224,0.198599,0.023276,0.198599,2.085135,0.173965,-0.205812,-0.205812,0.000000,0.784147,0.784147,0.000000,,0,0,0,1,1,0,0.056336,0.334813,0.5417,-0.0510,0.2688,3,ok
0,6,1.560000,-0.734842,-1.595290,0.186762,0.027210,0.186762,2.104094,0.174021,-0.188658,-0.188658,0.000000,0.785194,0.785194,0.000000,,0,0,0,1,1,0,0.061771,0.291253,0.5208,-0.0689,0.2689,3,ok
0,7,1.660000,-0.718202,-1.591689,0.176565,0.030811,0.176565,2.120733,0.169997,-0.160558,-0.160558,0.000000,0.767986,0.767986,0.000000,,0,0,0,1,1,0,0.063931,0.277412,0.5417,-0.0614,0.2695,3,ok
0,8,1.780000,-0.696483,-1.587535,0.156423,0.034965,0.156423,2.142453,0.186114,-0.278949,-0.278949,0.000000,0.841642,0.841642,0.000000,,0,0,0,1,1,0,0.067399,0.246124,0.6042,-0.0841,0.2687,3,ok
0,9,1.900000,-0.675134,-1.583369,0.134618,0.039131,0.134618,2.163801,0.181174,-0.283312,-0.283312,0.000000,0.815965,0.815965,0.000000,,0,0,0,1,1,0,0.067550,0.233672,0.5833,-0.0602,0.2715,3,ok
0,10,2.000000,-0.658875,-1.580431,0.118743,0.042069,0.118743,2.180061,0.163050,-0.240713,-0.240713,0.000000,0.735249,0.735249,0.000000,,0,0,0,1,1,0,0.066494,0.202792,0.5833,-0.0337,0.2702,3,ok
0,11,2.100000,-0.641327,-1.577930,0.107677,0.044570,0.107677,2.197609,0.179160,-0.165519,-0.165519,0.000000,0.811317,0.811317,0.000000,,0,0,0,1,1,0,0.066608,0.201321,0.5625,-0.0302,0.2657,3,ok
0,12,2.200000,-0.623399,-1.575462,0.094185,0.047038,0.094185,2.215537,0.181207,-0.206633,-0.206633,0.000000,0.819683,0.819683,0.000000,,0,0,0,1,1,0,0.069864,0.157746,0.6042,-0.0612,0.2690,3,ok
0,13,2.320000,-0.601427,-1.572511,0.071360,0.049989,0.071360,2.235335,0.185188,-0.290071,-0.290071,0.000000,0.836516,0.836516,0.000000,,0,0,0,1,1,0,0.070345,0.146859,0.6042,-0.0587,0.2683,3,ok
0,14,2.420000,-0.582897,-1.570367,0.054677,0.052133,0.054677,2.256039,0.186539,-0.243939,-0.243939,0.000000,0.844286,0.844286,0.000000,,0,0,0,1,1,0,0.070066,0.116830,0.6042,-0.0551,0.2669,3,ok
0,15,2.520000,-0.565631,-1.568620,0.038097,0.053880,0.038097,2.273304,0.172189,-0.242969,-0.242969,0.000000,0.779629,0.779629,0.000000,,0,0,0,1,1,0,0.070799,0.083601,0.5625,-0.0609,0.2690,3,ok
0,16,2.620000,-0.548761,-1.567187,0.022594,0.055313,0.022594,2.290174,0.169126,-0.222689,-0.222689,0.000000,0.766627,0.766627,0.000000,,0,0,0,1,1,0,0.070108,0.046431,0.5625,-0.0632,0.2655,3,ok
0,17,2.720000,-0.531619,-1.565893,0.000751,0.056607,0.000751,2.307317,0.172062,-0.314187,-0.314187,0.000000,0.779885,0.779885,0.000000,,0,0,0,1,1,0,0.069945,0.027516,0.5833,-0.0656,0.2669,3,ok
0,18,2.820000,-0.513876,-1.564651,-0.024883,0.057849,-0.024883,2.325060,0.178218,-0.369459,-0.369459,0.000000,0.808721,0.808721,0.000000,,0,0,0,1,1,0,0.069945,0.027516,0.5833,-0.0656,0.2669,3,ok
0,19,2.940000,-0.493223,-1.563691,-0.055145,0.058809,-0.055145,2.345713,0.171780,-0.365979,-0.365979,0.000000,0.781561,0.781561,0.000000,,0,0,0,1,1,0,0.063464,-0.037567,0.7083,-0.0138,0.2658,3,ok
0,20,3.040000,-0.475381,-1.563923,-0.070454,0.058577,-0.070454,2.363555,0.178927,-0.178953,-0.215979,-0.037025,0.815077,0.815077,0.000000,C-06,0,0,0,1,1,0,0.061221,-0.084278,0.7083,-0.0148,0.2665,3,ok
0,21,3.140000,-0.457918,-1.564494,-0.083901,0.058006,-0.083901,2.381017,0.174421,-0.199082,-0.199082,0.000000,0.794963,0.794963,0.000000,,0,0,0,1,1,0,0.060371,-0.119039,0.7083,-0.0451,0.2664,2,ok
0,22,3.240000,-0.439350,-1.565466,-0.096645,0.057034,-0.096645,2.399585,0.187011,-0.191630,-0.191630,0.000000,0.852584,0.852584,0.000000,,0,0,0,1,1,0,0.057353,-0.137012,0.7292,-0.0390,0.2646,2,ok
0,23,3.360000,-0.417038,-1.566998,-0.110447,0.055502,-0.110447,2.421897,0.186307,-0.173156,-0.173156,0.000000,0.849567,0.849567,0.000000,,0,0,0,1,1,0,0.055145,-0.162935,0.7083,-0.0407,0.2669,2,ok
0,24,3.460000,-0.399785,-1.568727,-0.116221,0.053773,-0.116221,2.439150,0.172208,-0.084419,-0.084419,0.000000,0.783982,0.783982,0.000000,,0,0,0,1,1,0,0.050485,-0.183237,0.7292,-0.0372,0.2642,2,ok
0,25,3.560000,-0.382028,-1.570693,-0.118897,0.051807,-0.118897,2.456908,0.179063,-0.038691,-0.038691,0.000000,0.814663,0.814663,0.000000,,0,0,0,1,1,0,0.048343,-0.200432,0.7083,-0.0455,0.2657,2,ok
0,26,3.660000,-0.363978,-1.572725,-0.121948,0.049775,-0.121948,2.474958,0.181703,-0.047051,-0.047051,0.000000,0.826839,0.826839,0.000000,,0,0,0,1,1,0,0.046255,-0.208062,0.6667,-0.0401,0.2668,2,ok
0,27,3.780000,-0.342826,-1.575161,-0.128718,0.047339,-0.128718,2.496109,0.177109,-0.089122,-0.089122,0.000000,0.806375,0.806375,0.000000,,0,0,0,1,1,0,0.045065,-0.208732,0.6875,-0.0477,0.2665,2,ok
0,28,3.900000,-0.320843,-1.577994,-0.128907,0.044506,-0.128907,2.518092,0.185186,0.002183,0.002183,0.000000,0.841763,0.841763,0.000000,,0,0,0,1,1,0,0.040750,-0.217234,0.7708,-0.0410,0.2662,2,ok
0,29,4.000000,-0.301372,-1.580518,-0.127154,0.041982,-0.127154,2.535635,0.197554,0.030249,0.030249,0.000000,0.897788,0.897788,0.000000,,0,0,0,1,1,0,0.039221,-0.215563,0.7917,-0.0388,0.2663,2,ok
0,30,4.120000,-0.279461,-1.583318,-0.126041,0.039182,-0.126041,2.559475,0.183040,0.013896,0.013896,0.000000,0.831904,0.831904,0.000000,,0,0,0,1,1,0,0.035517,-0.220223,0.7708,-0.0342,0.2670,2,ok
0,31,4.240000,-0.258608,-1.585970,-0.129212,0.036530,-0.129212,2.580327,0.174616,-0.044427,-0.044427,0.000000,0.793966,0.793966,0.000000,,0,0,0,1,1,0,0.032707,-0.218708,0.7500,-0.0508,0.2656,2,ok
0,32,4.360000,-0.237497,-1.588707,-0.128289,0.033793,-0.128289,2.601438,0.177569,0.014929,0.014929,0.000000,0.807058,0.807058,0.000000,,0,0,0,1,1,0,0.030431,-0.217221,0.7292,-0.0263,0.2680,2,ok
0,33,4.480000,-0.215842,-1.591474,-0.125628,0.031026,-0.125628,2.623094,0.182237,0.035579,0.035579,0.000000,0.828220,0.828220,0.000000,,0,0,0,1,1,0,0.026042,-0.219174,0.7292,-0.0411,0.2660,2,ok
0,34,4.600000,-0.193785,-1.594251,-0.125986,0.028249,-0.125986,2.645150,0.185419,-0.006736,-0.006736,0.000000,0.842901,0.842901,0.000000,,0,0,0,1,1,0,0.023970,-0.221922,0.6875,-0.0392,0.2673,2,ok
0,35,4.700000,-0.176267,-1.596468,-0.127432,0.026032,-0.127432,2.662669,0.175695,-0.024316,-0.024316,0.000000,0.798744,0.798744,0.000000,,0,0,0,1,1,0,0.021568,-0.214373,0.6875,-0.0396,0.2669,2,ok
0,36,4.820000,-0.155666,-1.599110,-0.130002,0.023390,-0.130002,2.683269,0.172972,-0.033333,-0.033333,0.000000,0.786469,0.786469,0.000000,,0,0,0,1,1,0,0.018864,-0.214400,0.6667,-0.0306,0.2673,2,ok
0,37,4.940000,-0.135911,-1.601693,-0.131530,0.020807,-0.131530,2.703024,0.165622,-0.019362,-0.019362,0.000000,0.752957,0.752957,0.000000,,0,0,0,1,1,0,0.015501,-0.222230,0.7292,-0.0432,0.2668,2,ok
0,38,5.060000,-0.114172,-1.604571,-0.122572,0.017929,-0.122572,2.724763,0.184715,0.159610,0.130638,-0.028972,0.838726,0.838726,0.000000,C-06,0,0,0,1,1,0,0.012663,-0.221149,0.7917,-0.0301,0.2667,2,ok
0,39,5.160000,-0.096006,-1.606971,-0.118654,0.015529,-0.118654,2.742930,0.183148,0.055394,0.055394,0.000000,0.831338,0.831338,0.000000,,0,0,0,1,1,0,0.010278,-0.211189,0.7917,-0.0370,0.2668,2,ok
0,40,5.280000,-0.075552,-1.609416,-0.119679,0.013084,-0.119679,2.763383,0.170909,-0.016653,-0.016653,0.000000,0.776964,0.776964,0.000000,,0,0,0,1,1,0,0.008014,-0.204738,0.7500,-0.0251,0.2681,2,ok
0,41,5.400000,-0.055115,-1.611846,-0.120340,0.010654,-0.120340,2.783821,0.171539,-0.008063,-0.008063,0.000000,0.779885,0.779885,0.000000,,0,0,0,1,1,0,0.006190,-0.203329,0.7708,-0.0407,0.2661,2,ok
0,42,5.520000,-0.034119,-1.614379,-0.121911,0.008121,-0.121911,2.804817,0.176899,-0.022024,-0.022024,0.000000,0.804238,0.804238,0.000000,,0,0,0,1,1,0,0.002869,-0.201499,0.7083,-0.0079,0.2680,2,ok
0,43,5.620000,-0.016338,-1.616508,-0.127684,0.005992,-0.127684,2.822598,0.179208,-0.093654,-0.093654,0.000000,0.815415,0.815415,0.000000,,0,0,0,1,1,0,0.001440,-0.208347,0.7292,-0.0318,0.2675,2,ok
0,44,5.740000,0.005403,-1.619075,-0.134111,0.003425,-0.134111,2.844338,0.182558,-0.081959,-0.081959,0.000000,0.831496,0.831496,0.000000,,0,0,0,1,1,0,0.001440,-0.208347,0.7292,-0.0318,0.2675,2,ok
0,45,5.860000,0.025125,-1.621719,-0.139646,0.000781,-0.139646,2.864060,0.164124,-0.074272,-0.074272,0.000000,0.746488,0.746488,0.000000,,0,0,0,1,1,0,-0.005376,-0.227261,0.6875,-0.0415,0.2673,2,ok
0,46,5.980000,0.047012,-1.624799,-0.135930,-0.002299,-0.135930,2.885948,0.186322,0.058675,0.058675,0.000000,0.871046,0.846488,-0.024558,C-06,0,0,0,1,1,0,-0.010364,-0.235347,0.7292,-0.0225,0.2683,2,ok
0,47,6.100000,0.069828,-1.627895,-0.134423,-0.005395,-0.134423,2.908763,0.192230,0.017500,0.017500,0.000000,0.873762,0.873762,0.000000,,0,0,0,1,1,0,-0.011839,-0.235710,0.7500,-0.0488,0.2663,2,ok
0,48,6.200000,0.088578,-1.630483,-0.128186,-0.007983,-0.128186,2.927514,0.189038,0.103484,0.103484,0.000000,0.858248,0.858248,0.000000,,0,0,0,1,1,0,-0.011839,-0.235710,0.7500,-0.0488,0.2663,2,ok
0,49,6.320000,0.109736,-1.633418,-0.122066,-0.010918,-0.122066,2.948672,0.177209,0.077556,0.077556,0.000000,0.803874,0.803874,0.000000,,0,0,0,1,1,0,-0.015743,-0.226963,0.7500,-0.0612,0.2649,2,ok
