episode,step,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,interventions,emergency,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence
0,1,-0.002350,-0.122423,-0.002842,-0.000022,0.047803,0.001550,0.037899,-0.035075,-0.035075,0.000000,,0,1,1,0,0.005258,0.002875,0.7708
0,2,0.004355,-0.122524,-0.005148,-0.000117,0.045497,0.008255,0.090904,-0.032474,-0.032474,0.000000,,0,1,1,0,0.005176,0.001600,0.7708
0,3,0.019396,-0.122744,-0.007310,-0.000322,0.043335,0.023296,0.154506,-0.025132,-0.025132,0.000000,,0,1,1,0,0.005099,-0.003208,0.7708
0,4,0.041662,-0.123026,-0.009009,-0.000583,0.041636,0.045563,0.200008,-0.019799,-0.019799,0.000000,,0,1,1,0,0.004507,-0.004130,0.7292
0,5,0.065661,-0.123302,-0.009980,-0.000835,0.040665,0.069562,0.200003,-0.010997,-0.010997,0.000000,,0,1,1,0,0.004110,-0.008663,0.6875
0,6,0.089660,-0.123576,-0.010651,-0.001086,0.039994,0.093561,0.200002,-0.007794,-0.007794,0.000000,,0,1,1,0,0.003941,-0.009610,0.6667
0,7,0.113659,-0.123847,-0.010916,-0.001347,0.002146,0.117559,0.200001,-0.002857,-0.002857,0.000000,,0,1,1,0,0.002134,-0.004123,0.6875
0,8,0.133657,-0.124068,-0.010958,-0.001568,0.002104,0.137557,0.200000,-0.000470,-0.000470,0.000000,,0,1,1,0,0.003172,-0.011435,0.7292
0,9,0.157656,-0.124333,-0.010797,-0.001833,0.002266,0.161556,0.200000,0.002070,0.002070,0.000000,,0,1,1,0,0.002604,-0.010789,0.7500
0,10,0.177655,-0.124553,-0.010585,-0.002053,0.002477,0.181555,0.200001,0.003092,0.003092,0.000000,,0,1,1,0,0.002376,-0.010577,0.8333
0,11,0.197654,-0.124774,-0.010313,-0.002274,0.002749,0.201554,0.200001,0.003933,0.003933,0.000000,,0,1,1,0,0.002255,-0.010650,0.7917
0,12,0.217653,-0.124994,-0.009963,-0.002494,-0.009770,0.221553,0.200002,0.005067,0.005067,0.000000,,0,1,1,0,0.001684,-0.008681,0.7917
0,13,0.241652,-0.125257,-0.009448,-0.002757,-0.009256,0.245552,0.200003,0.006172,0.006172,0.000000,,0,1,1,0,0.001879,-0.010602,0.7708
0,14,0.265651,-0.125511,-0.008865,-0.003011,-0.008672,0.269551,0.200003,0.006966,0.006966,0.000000,,0,1,1,0,0.001385,-0.009036,0.6875
0,15,0.285650,-0.125715,-0.008312,-0.003215,-0.008120,0.289550,0.200003,0.007921,0.007921,0.000000,,0,1,1,0,0.000783,-0.006954,0.6667
0,16,0.305649,-0.125908,-0.007774,-0.003408,-0.007774,0.309549,0.200003,0.007620,0.007620,0.000000,,0,1,1,0,0.002054,-0.013254,0.6875
0,17,0.325649,-0.126091,-0.007233,-0.003591,-0.007233,0.329549,0.200003,0.007687,0.007687,0.000000,,0,1,1,0,0.001204,-0.009227,0.7083
0,18,0.349648,-0.126295,-0.006605,-0.003795,-0.006605,0.353548,0.200002,0.007413,0.007413,0.000000,,0,1,1,0,0.000722,-0.006550,0.7500
0,19,0.369648,-0.126452,-0.006093,-0.003952,-0.006093,0.373548,0.200002,0.007255,0.007255,0.000000,,0,1,1,0,0.000752,-0.006860,0.8333
0,20,0.389647,-0.126600,-0.005576,-0.004100,-0.005576,0.393547,0.200002,0.007343,0.007343,0.000000,,0,1,1,0,0.000680,-0.006711,0.7917
0,21,0.409647,-0.126735,-0.005098,-0.004235,-0.005098,0.413547,0.200002,0.006725,0.006725,0.000000,,0,1,1,0,0.000371,-0.004710,0.7917
0,22,0.433647,-0.126883,-0.004572,-0.004383,-0.004572,0.437547,0.200001,0.006190,0.006190,0.000000,,0,1,1,0,0.000110,-0.003383,0.7500
0,23,0.457647,-0.127017,-0.004052,-0.004517,-0.004052,0.461547,0.200001,0.006130,0.006130,0.000000,,0,1,1,0,0.000225,-0.003863,0.7292
0,24,0.477646,-0.127120,-0.003624,-0.004620,-0.003624,0.481546,0.200001,0.006068,0.006068,0.000000,,0,1,1,0,-0.000248,-0.001511,0.6458
0,25,0.497646,-0.127215,-0.003176,-0.004715,-0.003176,0.501546,0.200001,0.006371,0.006371,0.000000,,0,1,1,0,-0.000256,-0.002056,0.6667
0,26,0.517646,-0.127299,-0.002756,-0.004799,-0.002756,0.521546,0.200001,0.005901,0.005901,0.000000,,0,1,1,0,-0.000340,-0.001307,0.6875
0,27,0.541646,-0.127387,-0.002299,-0.004887,-0.002299,0.545546,0.200001,0.005366,0.005366,0.000000,,0,1,1,0,-0.000091,-0.002203,0.7292
0,28,0.561646,-0.127452,-0.001927,-0.004952,-0.001927,0.565546,0.200001,0.005253,0.005253,0.000000,,0,1,1,0,0.000245,-0.004150,0.7917
0,29,0.581646,-0.127509,-0.001563,-0.005009,-0.001563,0.585546,0.200000,0.005142,0.005142,0.000000,,0,1,1,0,0.000542,-0.005740,0.8125
0,30,0.601646,-0.127556,-0.001247,-0.005056,-0.001247,0.603900,0.200000,0.004427,0.004427,0.000000,,0,1,1,0,0.000332,-0.004114,0.7917
