confidence,curvature_est,dpsi_cmd,epsi_err,epsi_est,epsi_true,ey_cmd,ey_err,ey_est,ey_true,lane_width_est,level,mode,n_lines,ok,reason,s
0.5833,-0.01321,-0.1,0.00342,-0.09658,-0.1,-0.06,-0.00744,-0.06744,-0.06,0.27282,0.0,clean,2,1,ok,2.0
0.625,-0.01204,0.0,-0.00222,-0.00222,-0.0,-0.06,0.00721,-0.05279,-0.06,0.26932,0.0,clean,2,1,ok,2.0
0.7708,-0.04907,0.1,-0.00341,0.09659,0.1,-0.06,0.02093,-0.03907,-0.06,0.26749,0.0,clean,2,1,ok,2.0
0.7292,-0.04298,-0.1,-0.00092,-0.10092,-0.1,0.0,-0.00282,-0.00282,0.0,0.26795,0.0,clean,2,1,ok,2.0
0.7292,-0.04096,0.0,-0.00239,-0.00239,0.0,0.0,0.00992,0.00992,0.0,0.26849,0.0,clean,2,1,ok,2.0
0.75,-0.04104,0.1,-0.00136,0.09864,0.1,0.0,0.02245,0.02245,0.0,0.26604,0.0,clean,3,1,ok,2.0
0.7083,-0.05023,-0.1,0.00053,-0.09947,-0.1,0.06,-0.00041,0.05959,0.06,0.26748,0.0,clean,2,1,ok,2.0
0.6042,-0.04862,0.0,-0.00281,-0.00281,0.0,0.06,0.01232,0.07232,0.06,0.26875,0.0,clean,3,1,ok,2.0
0.5833,-0.05598,0.1,0.00319,0.10319,0.1,0.06,0.02564,0.08564,0.06,0.26847,0.0,clean,3,1,ok,2.0
0.5625,-0.01525,-0.1,0.01453,-0.08547,-0.1,0.12,-0.00034,0.11966,0.12,0.26556,0.0,clean,3,1,ok,2.0
0.4583,-0.02192,0.0,-0.00096,-0.00096,-0.0,0.12,-0.25464,-0.13464,0.12,0.26794,0.0,clean,3,1,ok,2.0
0.5,-0.01859,0.1,-0.00388,0.09612,0.1,0.12,-0.24276,-0.12276,0.12,0.26784,0.0,clean,3,1,ok,2.0
0.5833,-0.01557,-0.1,-0.00751,-0.10751,-0.1,-0.06,-0.00671,-0.06671,-0.06,0.2716,0.0,clean,2,1,ok,2.2
0.625,-0.01369,0.0,-0.00154,-0.00154,-0.0,-0.06,0.00723,-0.05277,-0.06,0.26961,0.0,clean,2,1,ok,2.2
0.7917,-0.04982,0.1,-0.00382,0.09618,0.1,-0.06,0.02099,-0.03901,-0.06,0.26815,0.0,clean,2,1,ok,2.2
0.7292,-0.04528,-0.1,-0.00109,-0.10109,-0.1,0.0,-0.0027,-0.0027,0.0,0.26795,0.0,clean,2,1,ok,2.2
0.7292,-0.03353,0.0,-0.00239,-0.00239,-0.0,0.0,0.00964,0.00964,0.0,0.26793,0.0,clean,2,1,ok,2.2
0.75,-0.03953,0.1,-0.00123,0.09877,0.1,0.0,0.02231,0.02231,0.0,0.26595,0.0,clean,3,1,ok,2.2
0.7083,-0.0506,-0.1,0.00052,-0.09948,-0.1,0.06,-0.00035,0.05965,0.06,0.26737,0.0,clean,2,1,ok,2.2
0.6042,-0.03929,0.0,-0.00137,-0.00137,-0.0,0.06,0.01176,0.07176,0.06,0.26729,0.0,clean,3,1,ok,2.2
0.5625,-0.02473,0.1,0.00214,0.10214,0.1,0.06,0.02386,0.08386,0.06,0.26496,0.0,clean,3,1,ok,2.2
0.5625,-0.02358,-0.1,0.0143,-0.0857,-0.1,0.12,0.00028,0.12028,0.12,0.2668,0.0,clean,3,1,ok,2.2
0.4583,-0.02192,0.0,-0.0017,-0.0017,-0.0,0.12,-0.25459,-0.13459,0.12,0.26784,0.0,clean,3,1,ok,2.2
0.5,-0.01859,0.1,-0.00388,0.09612,0.1,0.12,-0.24295,-0.12295,0.12,0.26823,0.0,clean,3,1,ok,2.2
0.6042,-0.02355,-0.1,-0.00751,-0.10751,-0.1,-0.06,-0.00636,-0.06636,-0.06,0.27228,0.0,clean,2,1,ok,2.4
0.625,-0.01326,0.0,-0.00163,-0.00163,-0.0,-0.06,0.00723,-0.05277,-0.06,0.2693,0.0,clean,2,1,ok,2.4
0.7917,-0.04869,0.1,-0.00363,0.09637,0.1,-0.06,0.02086,-0.03914,-0.06,0.26823,0.0,clean,2,1,ok,2.4
0.7292,-0.04581,-0.1,-0.00155,-0.10155,-0.1,0.0,-0.00267,-0.00267,0.0,0.268,0.0,clean,2,1,ok,2.4
0.7292,-0.03353,0.0,-0.00239,-0.00239,-0.0,0.0,0.00964,0.00964,0.0,0.26793,0.0,clean,2,1,ok,2.4
0.75,-0.03807,0.1,0.00057,0.10057,0.1,0.0,0.02223,0.02223,0.0,0.26627,0.0,clean,3,1,ok,2.4
0.7083,-0.05242,-0.1,0.00073,-0.09927,-0.1,0.06,-0.00029,0.05971,0.06,0.26713,0.0,clean,2,1,ok,2.4
0.6042,-0.05728,0.0,-0.00207,-0.00207,-0.0,0.06,0.01283,0.07283,0.06,0.26977,0.0,clean,3,1,ok,2.4
0.5833,-0.05598,0.1,0.00319,0.10319,0.1,0.06,0.02564,0.08564,0.06,0.26847,0.0,clean,3,1,ok,2.4
0.5625,-0.01684,-0.1,0.0143,-0.0857,-0.1,0.12,-0.00017,0.11983,0.12,0.26591,0.0,clean,3,1,ok,2.4
0.4583,-0.02192,0.0,0.00999,0.00999,-0.0,0.12,-0.255,-0.135,0.12,0.26865,0.0,clean,3,1,ok,2.4
0.5,-0.01859,0.1,-0.00388,0.09612,0.1,0.12,-0.24295,-0.12295,0.12,0.26823,0.0,clean,3,1,ok,2.4
0.6042,-0.02338,-0.1,0.00342,-0.09658,-0.1,-0.06,-0.00648,-0.06648,-0.06,0.27278,0.0,clean,2,1,ok,2.6
0.6458,-0.01218,0.0,-0.00181,-0.00181,-0.0,-0.06,0.00709,-0.05291,-0.06,0.26933,0.0,clean,2,1,ok,2.6
0.7917,-0.05241,0.1,-0.00508,0.09492,0.1,-0.06,0.02114,-0.03886,-0.06,0.26835,0.0,clean,2,1,ok,2.6
0.7292,-0.04695,-0.1,-0.0032,-0.1032,-0.1,0.0,-0.00265,-0.00265,0.0,0.26779,0.0,clean,2,1,ok,2.6
0.7292,-0.04247,0.0,-0.00222,-0.00222,-0.0,0.0,0.0101,0.0101,0.0,0.26826,0.0,clean,2,1,ok,2.6
0.75,-0.0383,0.1,0.00107,0.10107,0.1,0.0,0.02217,0.02217,0.0,0.26613,0.0,clean,3,1,ok,2.6
0.7083,-0.05508,-0.1,-0.00124,-0.10124,-0.1,0.06,-0.00029,0.05971,0.06,0.26709,0.0,clean,2,1,ok,2.6
0.6042,-0.04055,0.0,-0.00178,-0.00178,-0.0,0.06,0.01174,0.07174,0.06,0.26727,0.0,clean,3,1,ok,2.6
0.5625,-0.03569,0.1,-0.00082,0.09918,0.1,0.06,0.02513,0.08513,0.06,0.26962,0.0,clean,3,1,ok,2.6
0.5625,-0.02199,-0.1,0.01453,-0.08547,-0.1,0.12,0.0001,0.1201,0.12,0.26645,0.0,clean,3,1,ok,2.6
0.4583,-0.02192,0.0,-0.0017,-0.0017,-0.0,0.12,-0.25518,-0.13518,0.12,0.26903,0.0,clean,3,1,ok,2.6
0.5,-0.01859,0.1,0.00044,0.10044,0.1,0.12,-0.24287,-0.12287,0.12,0.26794,0.0,clean,3,1,ok,2.6
0.5833,-0.01412,-0.1,-0.00743,-0.10743,-0.1,-0.06,-0.00709,-0.06709,-0.06,0.27158,0.0,clean,2,1,ok,2.8
0.6458,-0.01178,0.0,-0.00051,-0.00051,-0.0,-0.06,0.00702,-0.05298,-0.06,0.26948,0.0,clean,2,1,ok,2.8
0.7917,-0.05145,0.1,-0.0042,0.0958,0.1,-0.06,0.02105,-0.03895,-0.06,0.26829,0.0,clean,2,1,ok,2.8
0.7292,-0.04695,-0.1,-0.0032,-0.1032,-0.1,0.0,-0.00265,-0.00265,0.0,0.26779,0.0,clean,2,1,ok,2.8
0.75,-0.03371,0.0,-0.00204,-0.00204,-0.0,0.0,0.0097,0.0097,0.0,0.26795,0.0,clean,2,1,ok,2.8
0.75,-0.0383,0.1,0.00107,0.10107,0.1,0.0,0.02217,0.02217,0.0,0.26613,0.0,clean,3,1,ok,2.8
0.7083,-0.05483,-0.1,-0.00196,-0.10196,-0.1,0.06,-0.00033,0.05967,0.06,0.26668,0.0,clean,2,1,ok,2.8
0.625,-0.05055,0.0,-0.00273,-0.00273,-0.0,0.06,0.01253,0.07253,0.06,0.26919,0.0,clean,3,1,ok,2.8
0.5625,-0.02541,0.1,0.00319,0.10319,0.1,0.06,0.02408,0.08408,0.06,0.26537,0.0,clean,3,1,ok,2.8
0.5625,-0.02883,-0.1,0.01788,-0.08212,-0.1,0.12,0.00027,0.12027,0.12,0.26685,0.0,clean,3,1,ok,2.8
0.4792,-0.01757,0.0,-0.00153,-0.00153,0.0,0.12,-0.25487,-0.13487,0.12,0.26772,0.0,clean,3,1,ok,2.8
0.5,-0.01859,0.1,-0.00272,0.09728,0.1,0.12,-0.24274,-0.12274,0.12,0.26777,0.0,clean,3,1,ok,2.8
0.6042,-0.02336,-0.1,0.0144,-0.0856,-0.1,-0.06,-0.00669,-0.06669,-0.06,0.27353,0.0,clean,2,1,ok,3.0
0.6458,-0.01326,0.0,-0.00168,-0.00168,0.0,-0.06,0.00721,-0.05279,-0.06,0.26933,0.0,clean,2,1,ok,3.0
0.7708,-0.04527,0.1,-0.0023,0.0977,0.1,-0.06,0.02069,-0.03931,-0.06,0.26754,0.0,clean,2,1,ok,3.0
0.7292,-0.04036,-0.1,-0.00089,-0.10089,-0.1,0.0,-0.00283,-0.00283,0.0,0.26794,0.0,clean,2,1,ok,3.0
0.7292,-0.04373,0.0,-0.00305,-0.00305,0.0,0.0,0.01016,0.01016,0.0,0.26836,0.0,clean,2,1,ok,3.0
0.75,-0.0389,0.1,0.00023,0.10023,0.1,0.0,0.02227,0.02227,0.0,0.26637,0.0,clean,3,1,ok,3.0
0.7083,-0.05528,-0.1,-0.00136,-0.10136,-0.1,0.06,-0.00034,0.05966,0.06,0.26638,0.0,clean,2,1,ok,3.0
0.6042,-0.03976,0.0,-0.00251,-0.00251,0.0,0.06,0.01187,0.07187,0.06,0.26751,0.0,clean,3,1,ok,3.0
