episode,step,sim_time_s,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,raw_throttle,safe_throttle,throttle_correction,interventions,emergency,joint_envelope_violated,oscillation_persistent,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence,cv_curvature,cv_lane_width,cv_n_lines,cv_reason
0,1,8.040000,-2.829161,-1.618162,-0.226869,0.000859,0.037528,0.003019,0.054978,0.598157,0.598157,0.000000,1.000000,1.000000,0.000000,,0,0,0,1,1,0,0.013612,-0.212057,0.6667,0.2109,0.2500,2,ok
0,2,8.140000,-2.820794,-1.618520,-0.198430,0.002705,0.065967,0.011188,0.107502,-0.477619,0.448157,0.925777,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,0.016638,-0.187562,0.6667,0.1949,0.2520,2,ok
0,3,8.260000,-2.803826,-1.620478,-0.175273,0.005262,0.089124,0.028076,0.171562,-0.399364,0.298157,0.697521,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,0.021894,-0.154805,0.6667,0.1942,0.2519,2,ok
0,4,8.380000,-2.779627,-1.623962,-0.163219,0.008240,0.101178,0.052342,0.219317,-0.543084,0.148157,0.691242,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,0.022084,-0.130384,0.6667,0.3408,0.2626,2,ok
0,5,8.500000,-2.753576,-1.628203,-0.162690,0.009735,0.058986,0.079092,0.219993,-0.234236,-0.001843,0.232393,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,0.024402,-0.131240,0.6458,0.2971,0.2603,2,ok
0,6,8.620000,-2.727546,-1.632478,-0.173492,0.011167,0.048184,0.105431,0.219626,-0.191255,-0.151843,0.039412,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,0.021172,-0.143577,0.6875,0.3851,0.2634,2,ok
0,7,8.720000,-2.705879,-1.636268,-0.174176,0.011349,0.004960,0.127894,0.219989,-0.000490,-0.001843,-0.001352,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,0.021388,-0.163252,0.7500,0.2918,0.2653,2,ok
0,8,8.840000,-2.679896,-1.640836,-0.182127,0.011391,-0.002991,0.154275,0.219699,-0.110874,-0.110874,0.000000,1.000000,1.000000,0.000000,,0,0,0,1,1,0,0.020819,-0.167179,0.7292,0.2588,0.2632,2,ok
0,9,8.960000,-2.653928,-1.645616,-0.179665,0.010544,-0.039312,0.181108,0.220102,0.403580,0.039126,-0.364454,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,0.017502,-0.179920,0.7292,0.2284,0.2644,2,ok
0,10,9.080000,-2.630297,-1.649824,-0.166626,0.009584,-0.026273,0.205091,0.198298,0.740946,0.189126,-0.551820,0.755151,0.900000,0.144849,C-06,0,0,0,1,1,0,0.013582,-0.191967,0.7292,0.1969,0.2617,2,ok
