episode,step,sim_time_s,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,raw_throttle,safe_throttle,throttle_correction,interventions,emergency,joint_envelope_violated,oscillation_persistent,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence,cv_curvature,cv_lane_width,cv_n_lines,cv_reason
0,1,8.340000,-2.829496,-1.618171,-0.229398,0.000763,0.034999,0.002698,0.051850,0.592221,0.592221,0.000000,1.000000,1.000000,0.000000,,0,0,0,1,1,0,0.013768,-0.247455,0.6667,0.2028,0.2535,2,ok
0,2,8.460000,-2.819205,-1.618676,-0.195876,0.002971,0.068521,0.012762,0.114907,-0.360641,0.442221,0.802862,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,0.015872,-0.205153,0.6667,0.2086,0.2532,2,ok
0,3,8.580000,-2.801354,-1.620770,-0.173039,0.005628,0.091358,0.030538,0.179013,-0.369509,0.292221,0.661731,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,0.023589,-0.141017,0.6458,0.1867,0.2554,2,ok
0,4,8.700000,-2.776587,-1.624335,-0.161424,0.008676,0.102973,0.053053,0.219389,-0.513193,0.142221,0.655414,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,0.021955,-0.113876,0.6667,0.3425,0.2637,2,ok
0,5,8.800000,-2.754871,-1.627818,-0.161150,0.009832,0.060526,0.077744,0.219973,-0.242182,-0.007779,0.234403,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,0.031411,-0.099718,0.6042,0.1630,0.2505,2,ok
0,6,8.920000,-2.728822,-1.632033,-0.165444,0.011327,0.056232,0.104090,0.219828,-0.061382,-0.061382,0.000000,1.000000,1.000000,0.000000,,0,0,0,1,1,0,0.023784,-0.070458,0.7083,0.3368,0.2613,2,ok
0,7,9.040000,-2.702785,-1.636335,-0.166803,0.011824,0.012333,0.130951,0.219917,-0.014715,-0.014715,0.000000,1.000000,1.000000,0.000000,,0,0,0,1,1,0,0.022504,-0.147786,0.7500,0.2891,0.2670,2,ok
0,8,9.140000,-2.681102,-1.639939,-0.173531,0.012064,0.005605,0.152930,0.219687,-0.115467,-0.115467,0.000000,1.000000,1.000000,0.000000,,0,0,0,1,1,0,0.022337,-0.190415,0.7500,0.2314,0.2672,2,ok
0,9,9.260000,-2.655095,-1.644495,-0.171498,0.011496,-0.031145,0.179799,0.220086,0.180018,0.034533,-0.145485,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,0.018982,-0.204456,0.7500,0.2390,0.2657,2,ok
0,10,9.380000,-2.629346,-1.649065,-0.158404,0.010464,-0.018051,0.205931,0.217878,0.623924,0.184533,-0.439391,0.987575,0.987575,0.000000,C-06,0,0,0,1,1,0,0.015426,-0.233113,0.7083,0.2029,0.2639,2,ok
0,11,9.500000,-2.604237,-1.653646,-0.133722,0.008873,-0.027346,0.231743,0.212363,0.512102,0.334533,-0.177569,0.958266,0.958266,0.000000,C-06,0,0,0,1,1,0,0.015426,-0.233113,0.7083,0.2029,0.2639,2,ok
0,12,9.620000,-2.579850,-1.658099,-0.106248,0.006919,0.000128,0.256457,0.206124,0.352146,0.352146,0.000000,0.928599,0.928599,0.000000,,0,0,0,1,1,0,0.012708,-0.215972,0.6667,0.2088,0.2655,2,ok
0,13,9.720000,-2.558306,-1.661022,-0.092003,0.006019,-0.016197,0.278371,0.220848,-0.160266,0.202146,0.362412,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,0.013777,-0.178675,0.6458,0.1497,0.2663,2,ok
0,14,9.840000,-2.533660,-1.663818,-0.079758,0.004982,-0.003951,0.303154,0.205980,0.150510,0.150510,0.000000,0.933771,0.933771,0.000000,,0,0,0,1,1,0,0.015027,-0.186438,0.7083,0.0870,0.2637,2,ok
0,15,9.960000,-2.507637,-1.665919,-0.079012,0.004654,-0.029678,0.329373,0.219999,-0.130198,0.000510,0.130707,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,0.010963,-0.157286,0.6875,0.1545,0.2677,2,ok
0,16,10.080000,-2.481309,-1.668001,-0.067749,0.003817,-0.018415,0.355770,0.220172,0.241792,0.150510,-0.091283,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,0.008610,-0.159083,0.7292,0.1419,0.2685,2,ok
0,17,10.200000,-2.454952,-1.670083,-0.043881,0.002897,-0.017577,0.382269,0.220461,0.856386,0.300510,-0.555876,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,0.007090,-0.181271,0.7292,0.1613,0.2712,2,ok
0,18,10.300000,-2.432962,-1.671818,-0.013759,0.001663,0.012546,0.404292,0.220657,0.551766,0.450510,-0.101257,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,0.009426,-0.157471,0.7292,0.0861,0.2666,2,ok
