episode,step,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,raw_throttle,safe_throttle,throttle_correction,interventions,emergency,joint_envelope_violated,oscillation_persistent,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence,cv_curvature,cv_lane_width,cv_n_lines,cv_reason
0,1,-2.829401,-1.618180,-0.210308,0.000779,0.054089,0.002793,0.053614,0.902098,0.902098,0.000000,0.284150,0.284150,0.000000,,0,0,0,1,1,0,0.013557,-0.212127,0.6667,0.2100,0.2501,2,ok
0,2,-2.820104,-1.618068,-0.153237,0.003322,0.111160,0.011735,0.083494,-0.222175,0.752098,0.974274,0.740928,0.384150,-0.356778,C-06,0,0,0,1,1,0,0.017059,-0.183925,0.6667,0.2038,0.2508,2,ok
0,3,-2.808005,-1.617915,-0.105615,0.006640,0.158782,0.023372,0.105903,-0.953034,0.602098,1.555132,0.973691,0.484150,-0.489541,C-06,0,0,0,1,1,0,0.024249,-0.111780,0.6875,0.3230,0.2621,2,ok
0,4,-2.795738,-1.617755,-0.075029,0.010009,0.189368,0.035168,0.128146,-0.771904,0.452098,1.224002,0.968022,0.584150,-0.383873,C-06,0,0,0,1,1,0,0.030850,-0.072124,0.6667,0.3262,0.2631,2,ok
0,5,-2.778267,-1.617521,-0.049886,0.014812,0.214511,0.051968,0.150331,-0.710437,0.302098,1.012535,0.959842,0.684150,-0.275692,C-06,0,0,0,1,1,0,0.041409,-0.044547,0.6042,0.1688,0.2559,2,ok
0,6,-2.761609,-1.617642,-0.038782,0.018317,0.182894,0.068972,0.172386,-0.749991,0.152098,0.902089,0.940329,0.784150,-0.156179,C-06,0,0,0,1,1,0,0.040818,-0.035116,0.6250,0.3011,0.2661,2,ok
0,7,-2.738862,-1.618469,-0.037987,0.022409,0.183689,0.091364,0.194510,-0.969538,0.002098,0.971636,0.952282,0.884150,-0.068132,C-06,0,0,0,1,1,0,0.048007,-0.024455,0.5833,0.3260,0.2612,3,ok
0,8,-2.717991,-1.619340,-0.048969,0.025900,0.130167,0.113010,0.172464,-0.481954,-0.147902,0.334052,0.723733,0.784150,0.060417,C-06,0,0,0,1,1,0,0.052579,-0.037198,0.6042,0.2614,0.2687,3,ok
0,9,-2.699772,-1.620235,-0.049555,0.028202,0.129581,0.131105,0.150514,0.102674,0.002098,-0.100576,0.586200,0.684150,0.097950,C-06,0,0,0,1,1,0,0.052055,-0.041196,0.6875,0.2536,0.2668,3,ok
0,10,-2.686767,-1.620806,-0.040239,0.029913,0.138897,0.144010,0.128528,0.416267,0.152098,-0.264169,0.561418,0.584150,0.022731,C-06,0,0,0,1,1,0,0.051268,-0.046737,0.6875,0.2514,0.2674,2,ok
0,11,-2.670177,-1.621461,-0.030542,0.032167,0.148594,0.160459,0.139911,0.115050,0.115050,0.000000,0.635787,0.635787,0.000000,,0,0,0,1,1,0,0.051677,-0.045875,0.6667,0.2516,0.2656,2,ok
0,12,-2.651275,-1.622006,-0.033102,0.034296,0.107251,0.180531,0.161850,-0.749698,-0.034950,0.714749,0.805549,0.735787,-0.069762,C-06,0,0,0,1,1,0,0.052907,-0.030995,0.6667,0.2615,0.2671,3,ok
0,13,-2.634308,-1.622477,-0.024616,0.036132,0.115737,0.197405,0.139883,0.466306,0.115050,-0.351255,0.400739,0.635787,0.235048,C-06,0,0,0,1,1,0,0.054790,-0.042825,0.6875,0.2228,0.2657,3,ok
0,14,-2.618509,-1.622957,-0.003275,0.037802,0.137078,0.213122,0.131038,0.291936,0.265050,-0.026886,0.595356,0.595356,0.000000,C-06,0,0,0,1,1,0,0.057871,-0.047220,0.6250,0.1793,0.2675,3,ok
