step,sim_t,x,y,yaw,s,ey,epsi,raw_steer,safe_steer,rules_fired
0,0.0000,0.0000,0.0500,0.0000,7.9227,0.0499,0.0627,-0.6929,-0.6929,
1,0.0500,0.0100,0.0499,-0.0137,8.0232,0.0499,-0.0137,0.0314,-0.5429,C-06
2,0.1000,0.0200,0.0497,-0.0244,8.0232,0.0497,-0.0244,-0.4633,-0.4633,
3,0.1500,0.0300,0.0495,-0.0335,8.0232,0.0495,-0.0335,-0.4530,-0.4530,
4,0.2000,0.0400,0.0491,-0.0424,8.0232,0.0491,-0.0424,-0.4314,-0.4314,
5,0.2500,0.0500,0.0486,-0.0509,8.0232,0.0486,-0.0509,-0.4114,-0.4114,
6,0.3000,0.0600,0.0481,-0.0589,8.0232,0.0481,-0.0589,-0.3910,-0.3910,
7,0.3500,0.0699,0.0474,-0.0666,8.0232,0.0474,-0.0666,-0.3705,-0.3705,
8,0.4000,0.0799,0.0467,-0.0738,8.0232,0.0467,-0.0738,-0.3500,-0.3500,
9,0.4500,0.0899,0.0460,-0.0806,8.0232,0.0460,-0.0806,-0.3295,-0.3295,
10,0.5000,0.0999,0.0451,-0.0871,8.0232,0.0451,-0.0871,-0.3091,-0.3091,
11,0.5500,0.1098,0.0442,-0.0931,8.1232,0.0442,-0.0931,-0.2887,-0.2887,
12,0.6000,0.1198,0.0433,-0.0987,8.1232,0.0433,-0.0987,-0.2685,-0.2685,
13,0.6500,0.1297,0.0422,-0.1040,8.1232,0.0422,-0.1040,-0.2484,-0.2484,
14,0.7000,0.1397,0.0412,-0.1088,8.1232,0.0412,-0.1088,-0.2286,-0.2286,
15,0.7500,0.1496,0.0401,-0.1133,8.1232,0.0401,-0.1133,-0.2089,-0.2089,
16,0.8000,0.1595,0.0389,-0.1173,8.1232,0.0389,-0.1173,-0.1895,-0.1895,
17,0.8500,0.1695,0.0377,-0.1210,8.1232,0.0377,-0.1210,-0.1704,-0.1704,
18,0.9000,0.1794,0.0365,-0.1244,8.1232,0.0365,-0.1244,-0.1517,-0.1517,
19,0.9500,0.1893,0.0353,-0.1273,8.1232,0.0353,-0.1273,-0.1333,-0.1333,
20,1.0000,0.1992,0.0340,-0.1299,8.1232,0.0340,-0.1299,-0.1152,-0.1152,
21,1.0500,0.2091,0.0327,-0.1321,8.2232,0.0327,-0.1321,-0.0975,-0.0975,
22,1.1000,0.2190,0.0313,-0.1340,8.2232,0.0313,-0.1340,-0.0803,-0.0803,
23,1.1500,0.2290,0.0300,-0.1356,8.2232,0.0300,-0.1356,-0.0635,-0.0635,
24,1.2000,0.2389,0.0286,-0.1368,8.2232,0.0286,-0.1368,-0.0471,-0.0471,
25,1.2500,0.2488,0.0273,-0.1378,8.2232,0.0273,-0.1378,-0.0312,-0.0312,
26,1.3000,0.2587,0.0259,-0.1384,8.2232,0.0259,-0.1384,-0.0158,-0.0158,
27,1.3500,0.2686,0.0245,-0.1387,8.2232,0.0245,-0.1387,-0.0009,-0.0009,
28,1.4000,0.2785,0.0231,-0.1387,8.2232,0.0231,-0.1387,0.0135,0.0135,
29,1.4500,0.2884,0.0218,-0.1384,8.2232,0.0218,-0.1384,0.0274,0.0274,
30,1.5000,0.2983,0.0204,-0.1379,8.2232,0.0204,-0.1379,0.0407,0.0407,
31,1.5500,0.3082,0.0190,-0.1371,8.3232,0.0190,-0.1371,0.0535,0.0535,
32,1.6000,0.3181,0.0176,-0.1361,8.3232,0.0176,-0.1361,0.0657,0.0657,
33,1.6500,0.3280,0.0163,-0.1348,8.3232,0.0163,-0.1348,0.0774,0.0774,
34,1.7000,0.3379,0.0150,-0.1333,8.3232,0.0150,-0.1333,0.0885,0.0885,
35,1.7500,0.3478,0.0136,-0.1316,8.3232,0.0136,-0.1316,0.0991,0.0991,
36,1.8000,0.3578,0.0123,-0.1296,8.3232,0.0123,-0.1296,0.1091,0.1091,
37,1.8500,0.3677,0.0111,-0.1275,8.3232,0.0111,-0.1275,0.1186,0.1186,
38,1.9000,0.3776,0.0098,-0.1252,8.3232,0.0098,-0.1252,0.1274,0.1274,
39,1.9500,0.3875,0.0086,-0.1227,8.3232,0.0086,-0.1227,0.1357,0.1357,
40,2.0000,0.3974,0.0073,-0.1201,8.3232,0.0073,-0.1201,0.1435,0.1435,
41,2.0500,0.4074,0.0062,-0.1173,8.4232,0.0062,-0.1173,0.1507,0.1507,
42,2.1000,0.4173,0.0050,-0.1143,8.4232,0.0050,-0.1143,0.1573,0.1573,
43,2.1500,0.4272,0.0039,-0.1113,8.4232,0.0039,-0.1113,0.1634,0.1634,
44,2.2000,0.4372,0.0028,-0.1081,8.4232,0.0028,-0.1081,0.1690,0.1690,
45,2.2500,0.4471,0.0017,-0.1048,8.4232,0.0017,-0.1048,0.1740,0.1740,
