step,sim_t,x,y,yaw,s,ey,epsi,raw_steer,safe_steer,rules_fired
0,0.0000,-0.7500,0.9300,0.0000,0.0000,0.1800,0.0000,-1.0000,-0.0900,C-01
1,0.0500,-0.7400,0.9300,-0.0018,0.0000,0.1800,-0.0018,-1.0000,-0.0900,C-06;C-01
2,0.1000,-0.7300,0.9300,-0.0035,0.0000,0.1800,-0.0035,-1.0000,-0.0899,C-06;C-01
3,0.1500,-0.7200,0.9299,-0.0053,0.0000,0.1799,-0.0053,-1.0000,-0.0899,C-06;C-01
4,0.2000,-0.7100,0.9299,-0.0070,0.0000,0.1799,-0.0070,-1.0000,-0.0898,C-06;C-01
5,0.2500,-0.7000,0.9298,-0.0087,0.0000,0.1798,-0.0087,-1.0000,-0.0897,C-06;C-01
6,0.3000,-0.6900,0.9297,-0.0105,0.0000,0.1797,-0.0105,-1.0000,-0.0895,C-06;C-01
7,0.3500,-0.6800,0.9296,-0.0122,0.0000,0.1796,-0.0122,-1.0000,-0.0894,C-06;C-01
8,0.4000,-0.6700,0.9294,-0.0140,0.0000,0.1794,-0.0140,-1.0000,-0.0892,C-06;C-01
9,0.4500,-0.6600,0.9293,-0.0157,0.0000,0.1793,-0.0157,-1.0000,-0.0889,C-06;C-01
10,0.5000,-0.6500,0.9291,-0.0174,0.0000,0.1791,-0.0174,-1.0000,-0.0887,C-06;C-01
11,0.5500,-0.6400,0.9289,-0.0192,0.1000,0.1789,-0.0192,-1.0000,-0.0884,C-06;C-01
12,0.6000,-0.6300,0.9287,-0.0209,0.1000,0.1787,-0.0209,-1.0000,-0.0881,C-06;C-01
13,0.6500,-0.6200,0.9285,-0.0226,0.1000,0.1785,-0.0226,-1.0000,-0.0878,C-06;C-01
14,0.7000,-0.6100,0.9283,-0.0243,0.1000,0.1783,-0.0243,-1.0000,-0.0874,C-06;C-01
15,0.7500,-0.6000,0.9280,-0.0260,0.1000,0.1780,-0.0260,-1.0000,-0.0871,C-06;C-01
16,0.8000,-0.5900,0.9278,-0.0277,0.1000,0.1778,-0.0277,-1.0000,-0.0867,C-06;C-01
17,0.8500,-0.5800,0.9275,-0.0294,0.1000,0.1775,-0.0294,-1.0000,-0.0862,C-06;C-01
18,0.9000,-0.5700,0.9272,-0.0311,0.1000,0.1772,-0.0311,-1.0000,-0.0858,C-06;C-01
19,0.9500,-0.5600,0.9269,-0.0327,0.1000,0.1769,-0.0327,-1.0000,-0.0853,C-06;C-01
20,1.0000,-0.5500,0.9265,-0.0344,0.1000,0.1765,-0.0344,-1.0000,-0.0848,C-06;C-01
21,1.0500,-0.5400,0.9262,-0.0360,0.2000,0.1762,-0.0360,-1.0000,-0.0843,C-06;C-01
22,1.1000,-0.5301,0.9258,-0.0377,0.2000,0.1758,-0.0377,-1.0000,-0.0837,C-06;C-01
23,1.1500,-0.5201,0.9254,-0.0393,0.2000,0.1754,-0.0393,-1.0000,-0.0831,C-06;C-01
24,1.2000,-0.5101,0.9250,-0.0409,0.2000,0.1750,-0.0409,-1.0000,-0.0825,C-06;C-01
25,1.2500,-0.5001,0.9246,-0.0425,0.2000,0.1746,-0.0425,-1.0000,-0.0819,C-06;C-01
26,1.3000,-0.4901,0.9242,-0.0441,0.2000,0.1742,-0.0441,-1.0000,-0.0813,C-06;C-01
27,1.3500,-0.4801,0.9237,-0.0457,0.2000,0.1737,-0.0457,-1.0000,-0.0806,C-06;C-01
28,1.4000,-0.4701,0.9233,-0.0473,0.2000,0.1733,-0.0473,-1.0000,-0.0799,C-06;C-01
29,1.4500,-0.4601,0.9228,-0.0488,0.2000,0.1728,-0.0488,-1.0000,-0.0792,C-06;C-01
30,1.5000,-0.4501,0.9223,-0.0504,0.2000,0.1723,-0.0504,-1.0000,-0.0784,C-06;C-01
31,1.5500,-0.4401,0.9218,-0.0519,0.3000,0.1718,-0.0519,-1.0000,-0.0777,C-06;C-01
32,1.6000,-0.4302,0.9212,-0.0534,0.3000,0.1712,-0.0534,-1.0000,-0.0769,C-06;C-01
