step,sim_t,x,y,yaw,s,ey,epsi,raw_steer,safe_steer,rules_fired
0,0.0000,0.0000,0.0500,0.0000,7.9227,0.0499,0.1886,-0.5324,-0.5324,
1,0.0500,0.0100,0.0499,-0.0105,8.0232,0.0499,-0.0105,-0.2349,-0.3824,C-06
2,0.1000,0.0200,0.0498,-0.0180,8.0232,0.0498,-0.0180,-0.2193,-0.2324,C-06
3,0.1500,0.0300,0.0496,-0.0225,8.0232,0.0496,-0.0225,-0.2102,-0.2102,
4,0.2000,0.0400,0.0494,-0.0266,8.0232,0.0494,-0.0266,-0.2020,-0.2020,
5,0.2500,0.0500,0.0491,-0.0305,8.0232,0.0491,-0.0305,-0.1939,-0.1939,
6,0.3000,0.0600,0.0487,-0.0343,8.0232,0.0487,-0.0343,-0.1858,-0.1858,
7,0.3500,0.0700,0.0484,-0.0379,8.0232,0.0484,-0.0379,-0.1779,-0.1779,
8,0.4000,0.0800,0.0480,-0.0414,8.0232,0.0480,-0.0414,-0.1700,-0.1700,
9,0.4500,0.0900,0.0476,-0.0447,8.0232,0.0476,-0.0447,-0.1622,-0.1622,
10,0.5000,0.1000,0.0471,-0.0478,8.0232,0.0471,-0.0478,-0.1545,-0.1545,
11,0.5500,0.1099,0.0466,-0.0508,8.1232,0.0466,-0.0508,-0.1469,-0.1469,
12,0.6000,0.1199,0.0461,-0.0537,8.1232,0.0461,-0.0537,-0.1394,-0.1394,
13,0.6500,0.1299,0.0455,-0.0564,8.1232,0.0455,-0.0564,-0.1320,-0.1320,
14,0.7000,0.1399,0.0450,-0.0590,8.1232,0.0450,-0.0590,-0.1248,-0.1248,
15,0.7500,0.1499,0.0444,-0.0614,8.1232,0.0444,-0.0614,-0.1176,-0.1176,
16,0.8000,0.1599,0.0437,-0.0637,8.1232,0.0437,-0.0637,-0.1106,-0.1106,
17,0.8500,0.1698,0.0431,-0.0659,8.1232,0.0431,-0.0659,-0.1037,-0.1037,
18,0.9000,0.1798,0.0424,-0.0679,8.1232,0.0424,-0.0679,-0.0969,-0.0969,
19,0.9500,0.1898,0.0417,-0.0698,8.1232,0.0417,-0.0698,-0.0903,-0.0903,
20,1.0000,0.1998,0.0410,-0.0715,8.1232,0.0410,-0.0715,-0.0837,-0.0837,
21,1.0500,0.2097,0.0403,-0.0731,8.2232,0.0403,-0.0731,-0.0773,-0.0773,
22,1.1000,0.2197,0.0396,-0.0746,8.2232,0.0396,-0.0746,-0.0711,-0.0711,
23,1.1500,0.2297,0.0388,-0.0760,8.2232,0.0388,-0.0760,-0.0649,-0.0649,
24,1.2000,0.2397,0.0380,-0.0773,8.2232,0.0380,-0.0773,-0.0590,-0.0590,
25,1.2500,0.2496,0.0373,-0.0784,8.2232,0.0373,-0.0784,-0.0531,-0.0531,
26,1.3000,0.2596,0.0365,-0.0795,8.2232,0.0365,-0.0795,-0.0474,-0.0474,
27,1.3500,0.2696,0.0357,-0.0804,8.2232,0.0357,-0.0804,-0.0418,-0.0418,
28,1.4000,0.2795,0.0349,-0.0812,8.2232,0.0349,-0.0812,-0.0364,-0.0364,
29,1.4500,0.2895,0.0341,-0.0819,8.2232,0.0341,-0.0819,-0.0311,-0.0311,
30,1.5000,0.2995,0.0332,-0.0825,8.2232,0.0332,-0.0825,-0.0260,-0.0260,
31,1.5500,0.3094,0.0324,-0.0830,8.3232,0.0324,-0.0830,-0.0210,-0.0210,
32,1.6000,0.3194,0.0316,-0.0834,8.3232,0.0316,-0.0834,-0.0161,-0.0161,
33,1.6500,0.3294,0.0307,-0.0837,8.3232,0.0307,-0.0837,-0.0114,-0.0114,
34,1.7000,0.3393,0.0299,-0.0840,8.3232,0.0299,-0.0840,-0.0068,-0.0068,
35,1.7500,0.3493,0.0291,-0.0841,8.3232,0.0291,-0.0841,-0.0024,-0.0024,
36,1.8000,0.3592,0.0282,-0.0841,8.3232,0.0282,-0.0841,0.0019,0.0019,
37,1.8500,0.3692,0.0274,-0.0841,8.3232,0.0274,-0.0841,0.0060,0.0060,
38,1.9000,0.3792,0.0265,-0.0840,8.3232,0.0265,-0.0840,0.0100,0.0100,
39,1.9500,0.3891,0.0257,-0.0838,8.3232,0.0257,-0.0838,0.0139,0.0139,
40,2.0000,0.3991,0.0249,-0.0835,8.3232,0.0249,-0.0835,0.0176,0.0176,
41,2.0500,0.4091,0.0240,-0.0832,8.4232,0.0240,-0.0832,0.0212,0.0212,
42,2.1000,0.4190,0.0232,-0.0828,8.4232,0.0232,-0.0828,0.0247,0.0247,
43,2.1500,0.4290,0.0224,-0.0823,8.4232,0.0224,-0.0823,0.0280,0.0280,
44,2.2000,0.4390,0.0216,-0.0817,8.4232,0.0216,-0.0817,0.0312,0.0312,
45,2.2500,0.4489,0.0208,-0.0811,8.4232,0.0208,-0.0811,0.0342,0.0342,
46,2.3000,0.4589,0.0199,-0.0805,8.4232,0.0199,-0.0805,0.0371,0.0371,
47,2.3500,0.4689,0.0191,-0.0797,8.4232,0.0191,-0.0797,0.0399,0.0399,
48,2.4000,0.4788,0.0184,-0.0790,8.4232,0.0184,-0.0790,0.0426,0.0426,
49,2.4500,0.4888,0.0176,-0.0781,8.4232,0.0176,-0.0781,0.0451,0.0451,
50,2.5000,0.4988,0.0168,-0.0773,8.4232,0.0168,-0.0773,0.0475,0.0475,
51,2.5500,0.5088,0.0160,-0.0763,8.5232,0.0160,-0.0763,0.0497,0.0497,
52,2.6000,0.5187,0.0153,-0.0754,8.5232,0.0153,-0.0754,0.0519,0.0519,
53,2.6500,0.5287,0.0145,-0.0744,8.5232,0.0145,-0.0744,0.0539,0.0539,
54,2.7000,0.5387,0.0138,-0.0733,8.5232,0.0138,-0.0733,0.0558,0.0558,
55,2.7500,0.5486,0.0131,-0.0722,8.5232,0.0131,-0.0722,0.0576,0.0576,
56,2.8000,0.5586,0.0123,-0.0711,8.5232,0.0123,-0.0711,0.0593,0.0593,
57,2.8500,0.5686,0.0116,-0.0700,8.5232,0.0116,-0.0700,0.0609,0.0609,
58,2.9000,0.5786,0.0109,-0.0688,8.5232,0.0109,-0.0688,0.0623,0.0623,
59,2.9500,0.5885,0.0103,-0.0676,8.5232,0.0103,-0.0676,0.0637,0.0637,
60,3.0000,0.5985,0.0096,-0.0663,8.5232,0.0096,-0.0663,0.0649,0.0649,
61,3.0500,0.6085,0.0089,-0.0651,8.6232,0.0089,-0.0651,0.0661,0.0661,
62,3.1000,0.6185,0.0083,-0.0638,8.6232,0.0083,-0.0638,0.0671,0.0671,
63,3.1500,0.6285,0.0077,-0.0625,8.6232,0.0077,-0.0625,0.0680,0.0680,
64,3.2000,0.6384,0.0070,-0.0611,8.6232,0.0070,-0.0611,0.0689,0.0689,
65,3.2500,0.6484,0.0064,-0.0598,8.6232,0.0064,-0.0598,0.0696,0.0696,
66,3.3000,0.6584,0.0058,-0.0585,8.6232,0.0058,-0.0585,0.0703,0.0703,
67,3.3500,0.6684,0.0053,-0.0571,8.6232,0.0053,-0.0571,0.0708,0.0708,
68,3.4000,0.6784,0.0047,-0.0557,8.6232,0.0047,-0.0557,0.0713,0.0713,
69,3.4500,0.6884,0.0042,-0.0543,8.6232,0.0042,-0.0543,0.0717,0.0717,
70,3.5000,0.6983,0.0036,-0.0529,8.6232,0.0036,-0.0529,0.0720,0.0720,
71,3.5500,0.7083,0.0031,-0.0515,8.7232,0.0031,-0.0515,0.0723,0.0723,
72,3.6000,0.7183,0.0026,-0.0501,8.7232,0.0026,-0.0501,0.0724,0.0724,
73,3.6500,0.7283,0.0021,-0.0487,8.7232,0.0021,-0.0487,0.0725,0.0725,
74,3.7000,0.7383,0.0016,-0.0473,8.7232,0.0016,-0.0473,0.0725,0.0725,
75,3.7500,0.7483,0.0011,-0.0459,8.7232,0.0011,-0.0459,0.0724,0.0724,
76,3.8000,0.7583,0.0007,-0.0445,8.7232,0.0007,-0.0445,0.0723,0.0723,
77,3.8500,0.7683,0.0003,-0.0431,8.7232,0.0003,-0.0431,0.0721,0.0721,
78,3.9000,0.7783,-0.0002,-0.0417,8.7232,-0.0002,-0.0417,0.0718,0.0718,
79,3.9500,0.7882,-0.0006,-0.0403,8.7232,-0.0006,-0.0403,0.0715,0.0715,
80,4.0000,0.7982,-0.0010,-0.0389,8.7232,-0.0010,-0.0389,0.0711,0.0711,
81,4.0500,0.8082,-0.0014,-0.0375,8.8232,-0.0014,-0.0375,0.0707,0.0707,
82,4.1000,0.8182,-0.0017,-0.0361,8.8232,-0.0017,-0.0361,0.0702,0.0702,
83,4.1500,0.8282,-0.0021,-0.0348,8.8232,-0.0021,-0.0348,0.0696,0.0696,
84,4.2000,0.8382,-0.0024,-0.0334,8.8232,-0.0024,-0.0334,0.0690,0.0690,
85,4.2500,0.8482,-0.0027,-0.0321,8.8232,-0.0027,-0.0321,0.0684,0.0684,
86,4.3000,0.8582,-0.0031,-0.0307,8.8232,-0.0031,-0.0307,0.0677,0.0677,
87,4.3500,0.8682,-0.0034,-0.0294,8.8232,-0.0034,-0.0294,0.0670,0.0670,
88,4.4000,0.8782,-0.0036,-0.0281,8.8232,-0.0036,-0.0281,0.0662,0.0662,
89,4.4500,0.8882,-0.0039,-0.0268,8.8232,-0.0039,-0.0268,0.0654,0.0654,
90,4.5000,0.8982,-0.0042,-0.0256,8.8232,-0.0042,-0.0256,0.0645,0.0645,
91,4.5500,0.9082,-0.0044,-0.0243,8.9232,-0.0044,-0.0243,0.0636,0.0636,
92,4.6000,0.9182,-0.0047,-0.0231,8.9232,-0.0047,-0.0231,0.0627,0.0627,
93,4.6500,0.9282,-0.0049,-0.0219,8.9232,-0.0049,-0.0219,0.0617,0.0617,
94,4.7000,0.9382,-0.0051,-0.0207,8.9232,-0.0051,-0.0207,0.0608,0.0608,
95,4.7500,0.9482,-0.0053,-0.0195,8.9232,-0.0053,-0.0195,0.0598,0.0598,
96,4.8000,0.9582,-0.0055,-0.0183,8.9232,-0.0055,-0.0183,0.0587,0.0587,
97,4.8500,0.9682,-0.0057,-0.0172,8.9232,-0.0057,-0.0172,0.0577,0.0577,
98,4.9000,0.9782,-0.0058,-0.0160,8.9232,-0.0058,-0.0160,0.0566,0.0566,
99,4.9500,0.9882,-0.0060,-0.0149,8.9232,-0.0060,-0.0149,0.0555,0.0555,
100,5.0000,0.9982,-0.0061,-0.0139,8.9232,-0.0061,-0.0139,0.0544,0.0544,
101,5.0500,1.0082,-0.0063,-0.0128,9.0232,-0.0063,-0.0128,0.0532,0.0532,
102,5.1000,1.0182,-0.0064,-0.0118,9.0232,-0.0064,-0.0118,0.0521,0.0521,
103,5.1500,1.0282,-0.0065,-0.0108,9.0232,-0.0065,-0.0108,0.0509,0.0509,
104,5.2000,1.0382,-0.0066,-0.0098,9.0232,-0.0066,-0.0098,0.0498,0.0498,
105,5.2500,1.0482,-0.0067,-0.0088,9.0232,-0.0067,-0.0088,0.0486,0.0486,
106,5.3000,1.0582,-0.0068,-0.0079,9.0232,-0.0068,-0.0079,0.0474,0.0474,
107,5.3500,1.0682,-0.0069,-0.0069,9.0232,-0.0069,-0.0069,0.0462,0.0462,
108,5.4000,1.0782,-0.0069,-0.0060,9.0232,-0.0069,-0.0060,0.0450,0.0450,
109,5.4500,1.0882,-0.0070,-0.0052,9.0232,-0.0070,-0.0052,0.0438,0.0438,
110,5.5000,1.0982,-0.0070,-0.0043,9.0232,-0.0070,-0.0043,0.0426,0.0426,
111,5.5500,1.1082,-0.0071,-0.0035,9.1232,-0.0071,-0.0035,0.0413,0.0413,
112,5.6000,1.1182,-0.0071,-0.0027,9.1232,-0.0071,-0.0027,0.0401,0.0401,
113,5.6500,1.1282,-0.0071,-0.0019,9.1232,-0.0071,-0.0019,0.0389,0.0389,
114,5.7000,1.1382,-0.0071,-0.0011,9.1232,-0.0071,-0.0011,0.0377,0.0377,
115,5.7500,1.1482,-0.0071,-0.0004,9.1232,-0.0071,-0.0004,0.0365,0.0365,
116,5.8000,1.1582,-0.0071,0.0003,9.1232,-0.0071,0.0003,0.0353,0.0353,
117,5.8500,1.1682,-0.0071,0.0010,9.1232,-0.0071,0.0010,0.0341,0.0341,
118,5.9000,1.1782,-0.0071,0.0016,9.1232,-0.0071,0.0016,0.0329,0.0329,
119,5.9500,1.1882,-0.0071,0.0023,9.1232,-0.0071,0.0023,0.0317,0.0317,
120,6.0000,1.1982,-0.0071,0.0029,9.1232,-0.0071,0.0029,0.0305,0.0305,
121,6.0500,1.2082,-0.0070,0.0035,9.2232,-0.0070,0.0035,0.0294,0.0294,
122,6.1000,1.2182,-0.0070,0.0041,9.2232,-0.0070,0.0041,0.0282,0.0282,
123,6.1500,1.2282,-0.0070,0.0046,9.2232,-0.0070,0.0046,0.0270,0.0270,
124,6.2000,1.2382,-0.0069,0.0051,9.2232,-0.0069,0.0051,0.0259,0.0259,
125,6.2500,1.2482,-0.0069,0.0056,9.2232,-0.0069,0.0056,0.0248,0.0248,
126,6.3000,1.2582,-0.0068,0.0061,9.2232,-0.0068,0.0061,0.0237,0.0237,
