step,sim_t,x,y,yaw,s,ey,epsi,raw_steer,safe_steer,rules_fired
0,0.0000,0.0000,0.0500,1.5708,0.0000,0.0000,0.0000,-0.0000,-0.0000,
1,0.0500,0.0000,0.0600,1.5708,0.0000,-0.0000,0.0000,0.0000,0.0000,
2,0.1000,0.0000,0.0700,1.5708,0.0000,-0.0000,0.0000,0.0000,0.0000,
3,0.1500,0.0000,0.0800,1.5708,0.0000,-0.0000,0.0000,0.0000,0.0000,
4,0.2000,0.0000,0.0900,1.5708,0.0000,-0.0000,0.0000,0.0000,0.0000,
5,0.2500,0.0000,0.1000,1.5708,0.1000,-0.0000,0.0000,0.0000,0.0000,
6,0.3000,0.0000,0.1100,1.5708,0.1000,-0.0000,0.0000,0.0000,0.0000,
7,0.3500,0.0000,0.1200,1.5708,0.1000,-0.0000,0.0000,0.0000,0.0000,
8,0.4000,0.0000,0.1300,1.5708,0.1000,-0.0000,0.0000,0.0000,0.0000,
9,0.4500,0.0000,0.1400,1.5708,0.1000,-0.0000,0.0000,0.0000,0.0000,
10,0.5000,0.0000,0.1500,1.5708,0.1000,-0.0000,0.0000,0.0000,0.0000,
11,0.5500,0.0000,0.1600,1.5708,0.1000,-0.0000,0.0000,0.0000,0.0000,
12,0.6000,0.0000,0.1700,1.5708,0.1000,-0.0000,0.0000,0.0000,0.0000,
13,0.6500,0.0000,0.1800,1.5708,0.1000,-0.0000,0.0000,0.0000,0.0000,
14,0.7000,0.0000,0.1900,1.5708,0.1000,-0.0000,0.0000,0.0000,0.0000,
15,0.7500,0.0000,0.2000,1.5708,0.2000,-0.0000,0.0000,0.0000,0.0000,
16,0.8000,0.0000,0.2100,1.5708,0.2000,-0.0000,0.0000,0.0000,0.0000,
17,0.8500,0.0000,0.2200,1.5708,0.2000,-0.0000,0.0000,0.0000,0.0000,
18,0.9000,0.0000,0.2300,1.5708,0.2000,-0.0000,0.0000,0.0000,0.0000,
19,0.9500,0.0000,0.2400,1.5708,0.2000,-0.0000,0.0000,0.0000,0.0000,
20,1.0000,0.0000,0.2500,1.5708,0.2000,-0.0000,0.0000,0.0000,0.0000,
21,1.0500,0.0000,0.2600,1.5708,0.2000,-0.0000,0.0000,0.0000,0.0000,
22,1.1000,0.0000,0.2700,1.5708,0.2000,-0.0000,0.0000,0.0000,0.0000,
23,1.1500,0.0000,0.2800,1.5708,0.2000,-0.0000,0.0000,0.0000,0.0000,
24,1.2000,0.0000,0.2900,1.5708,0.2000,-0.0000,0.0000,0.0000,0.0000,
25,1.2500,0.0000,0.3000,1.5708,0.3000,-0.0000,0.0000,0.0000,0.0000,
26,1.3000,0.0000,0.3100,1.5708,0.3000,-0.0000,0.0000,0.0000,0.0000,
27,1.3500,0.0000,0.3200,1.5708,0.3000,-0.0000,0.0000,0.0000,0.0000,
28,1.4000,0.0000,0.3300,1.5708,0.3000,-0.0000,0.0000,0.0000,0.0000,
29,1.4500,0.0000,0.3400,1.5708,0.3000,-0.0000,0.0000,0.0000,0.0000,
30,1.5000,0.0000,0.3500,1.5708,0.3000,-0.0000,0.0000,0.0000,0.0000,
31,1.5500,0.0000,0.3600,1.5708,0.3000,-0.0000,0.0000,0.0000,0.0000,
32,1.6000,0.0000,0.3700,1.5708,0.3000,-0.0000,0.0000,0.0000,0.0000,
33,1.6500,0.0000,0.3800,1.5708,0.3000,-0.0000,0.0000,0.0000,0.0000,
34,1.7000,0.0000,0.3900,1.5708,0.3000,-0.0000,0.0000,0.0000,0.0000,
35,1.7500,0.0000,0.4000,1.5708,0.4000,-0.0000,0.0000,0.0000,0.0000,
36,1.8000,0.0000,0.4100,1.5708,0.4000,-0.0000,0.0000,0.0000,0.0000,
37,1.8500,0.0000,0.4200,1.5708,0.4000,-0.0000,0.0000,0.0000,0.0000,
38,1.9000,0.0000,0.4300,1.5708,0.4000,-0.0000,0.0000,0.0000,0.0000,
39,1.9500,0.0000,0.4400,1.5708,0.4000,-0.0000,0.0000,0.0000,0.0000,
40,2.0000,0.0000,0.4500,1.5708,0.4000,-0.0000,0.0000,0.0000,0.0000,
41,2.0500,0.0000,0.4600,1.5708,0.4000,-0.0000,0.0000,0.0000,0.0000,
42,2.1000,0.0000,0.4700,1.5708,0.4000,-0.0000,0.0000,0.0000,0.0000,
43,2.1500,0.0000,0.4800,1.5708,0.4000,-0.0000,0.0000,0.0000,0.0000,
44,2.2000,0.0000,0.4900,1.5708,0.4000,-0.0000,0.0000,0.0000,0.0000,
45,2.2500,0.0000,0.5000,1.5708,0.5000,-0.0000,0.0000,0.0000,0.0000,
46,2.3000,0.0000,0.5100,1.5708,0.5000,-0.0000,0.0000,0.0000,0.0000,
47,2.3500,0.0000,0.5200,1.5708,0.5000,-0.0000,0.0000,0.0000,0.0000,
48,2.4000,0.0000,0.5300,1.5708,0.5000,-0.0000,0.0000,0.0000,0.0000,
49,2.4500,0.0000,0.5400,1.5708,0.5000,-0.0000,0.0000,0.0000,0.0000,
50,2.5000,0.0000,0.5500,1.5708,0.5000,-0.0000,0.0000,0.0000,0.0000,
51,2.5500,0.0000,0.5600,1.5708,0.5000,-0.0000,0.0000,0.0000,0.0000,
52,2.6000,0.0000,0.5700,1.5708,0.5000,-0.0000,0.0000,0.0000,0.0000,
53,2.6500,0.0000,0.5800,1.5708,0.5000,-0.0000,0.0000,0.0000,0.0000,
54,2.7000,0.0000,0.5900,1.5708,0.5000,-0.0000,0.0000,0.0000,0.0000,
55,2.7500,0.0000,0.6000,1.5708,0.6000,-0.0000,0.0000,0.0000,0.0000,
56,2.8000,0.0000,0.6100,1.5708,0.6000,-0.0000,0.0000,0.0000,0.0000,
57,2.8500,0.0000,0.6200,1.5708,0.6000,-0.0000,0.0000,0.0000,0.0000,
58,2.9000,0.0000,0.6300,1.5708,0.6000,-0.0000,0.0000,0.0000,0.0000,
59,2.9500,0.0000,0.6400,1.5708,0.6000,-0.0000,0.0000,0.0000,0.0000,
60,3.0000,0.0000,0.6500,1.5708,0.6000,-0.0000,0.0000,0.0000,0.0000,
61,3.0500,0.0000,0.6600,1.5708,0.6000,-0.0000,0.0000,0.0000,0.0000,
62,3.1000,0.0000,0.6700,1.5708,0.6000,-0.0000,0.0000,0.0000,0.0000,
63,3.1500,0.0000,0.6800,1.5708,0.6000,-0.0000,0.0000,0.0000,0.0000,
64,3.2000,0.0000,0.6900,1.5708,0.6000,-0.0000,0.0000,0.0000,0.0000,
65,3.2500,0.0000,0.7000,1.5708,0.7000,-0.0000,0.0000,0.0000,0.0000,
66,3.3000,0.0000,0.7100,1.5708,0.7000,-0.0000,0.0000,0.0000,0.0000,
67,3.3500,0.0000,0.7200,1.5708,0.7000,-0.0000,0.0000,0.0000,0.0000,
68,3.4000,0.0000,0.7300,1.5708,0.7000,-0.0000,0.0000,0.0000,0.0000,
69,3.4500,0.0000,0.7400,1.5708,0.7000,-0.0000,0.0000,0.0000,0.0000,
70,3.5000,0.0000,0.7500,1.5708,0.7000,-0.0000,0.0000,0.0000,0.0000,
71,3.5500,0.0000,0.7600,1.5708,0.7000,-0.0000,0.0000,0.0000,0.0000,
72,3.6000,0.0000,0.7700,1.5708,0.7000,-0.0000,0.0000,0.0000,0.0000,
73,3.6500,0.0000,0.7800,1.5708,0.7000,-0.0000,0.0000,0.0000,0.0000,
74,3.7000,0.0000,0.7900,1.5708,0.7000,-0.0000,0.0000,0.0000,0.0000,
75,3.7500,0.0000,0.8000,1.5708,0.8000,-0.0000,0.0000,0.0000,0.0000,
76,3.8000,0.0000,0.8100,1.5708,0.8000,-0.0000,0.0000,0.0000,0.0000,
