timestep,raw_steer
10,0.100606
20,-1.000000
30,-0.222408
40,0.376948
50,-0.194454
60,1.000000
70,1.000000
80,1.000000
90,-0.688327
100,1.000000
110,0.016886
120,0.085738
130,-0.755937
140,-1.000000
150,-0.349470
160,1.000000
170,-1.000000
180,-1.000000
190,0.119135
200,0.416825
210,1.000000
220,1.000000
230,0.538320
240,-0.754165
250,-0.231583
260,-0.319889
270,-1.000000
280,-1.000000
290,1.000000
300,-0.163612
310,-1.000000
320,-0.448042
330,1.000000
340,-0.203016
350,-1.000000
360,-0.715561
370,-0.620786
380,0.656138
390,-0.446053
400,0.583140
410,-0.304578
420,1.000000
430,1.000000
440,-1.000000
450,-0.841459
460,0.728733
