timestep,ep_rew_mean,ep_len_mean,explained_variance,value_loss,entropy,approx_kl,clip_fraction,std,intervention_rate,emergency_rate,int_rate_C-01,int_rate_C-02,int_rate_C-03,int_rate_C-04,int_rate_C-05,int_rate_C-06
1024,37.136872,72.571,nan,nan,nan,nan,nan,nan,0.872070,0.008789,0.009766,0.041016,0.091797,0.000000,0.008789,0.854492
2048,30.823108,58.000,-0.004061,21.740639,1.411173,0.007565,0.098535,0.986153,0.890625,0.017578,0.011719,0.064453,0.082031,0.000000,0.015625,0.868164
3072,31.241766,57.491,0.445436,28.846870,1.403482,0.007591,0.086719,0.982356,0.892578,0.015625,0.005859,0.061523,0.062500,0.000000,0.012695,0.871094
4096,32.164201,58.809,0.426070,32.795512,1.396790,0.014692,0.122168,0.973347,0.889648,0.011719,0.002930,0.062500,0.068359,0.000000,0.011719,0.877930
5120,34.444280,61.823,0.547815,34.710093,1.391701,0.010957,0.106641,0.973649,0.903320,0.008789,0.009766,0.044922,0.069336,0.000000,0.007812,0.886719
6144,40.373658,68.830,0.565623,42.259812,1.388177,0.015152,0.164648,0.964807,0.880859,0.008789,0.008789,0.046875,0.021484,0.000000,0.007812,0.868164
7168,40.692107,70.230,0.156108,32.227676,1.376824,0.026209,0.160449,0.950969,0.905273,0.006836,0.015625,0.044922,0.071289,0.000000,0.005859,0.890625
8192,45.206613,75.950,0.463909,52.855547,1.363987,0.013217,0.145117,0.943573,0.910156,0.004883,0.004883,0.027344,0.042969,0.000000,0.003906,0.901367
9216,44.838757,77.670,0.574845,55.822440,1.355381,0.011989,0.149414,0.933191,0.912109,0.004883,0.026367,0.069336,0.125977,0.000000,0.004883,0.887695
10240,49.535842,86.180,0.471252,133.747142,1.348848,0.014242,0.207422,0.931693,0.890625,0.002930,0.012695,0.036133,0.096680,0.000000,0.002930,0.876953
11264,47.340578,85.490,0.487574,70.799189,1.346498,0.013112,0.138574,0.928877,0.902344,0.003906,0.020508,0.054688,0.091797,0.000000,0.002930,0.882812
12288,50.740397,91.960,0.371466,98.447919,1.344920,0.026660,0.195996,0.929017,0.899414,0.003906,0.014648,0.031250,0.082031,0.000000,0.002930,0.884766
13312,56.459564,99.670,0.597272,69.984861,1.344814,0.011987,0.144434,0.927569,0.866211,0.005859,0.002930,0.015625,0.011719,0.000000,0.005859,0.862305
14336,62.375028,107.620,0.619379,27.723220,1.338491,0.012746,0.121387,0.917991,0.879883,0.002930,0.000000,0.023438,0.003906,0.000000,0.002930,0.876953
15360,68.323732,115.520,0.710287,8.569802,1.329101,0.026964,0.327930,0.909581,0.879883,0.004883,0.006836,0.041992,0.027344,0.000000,0.004883,0.870117
16384,71.972596,120.730,0.603533,28.131946,1.320618,0.021247,0.215527,0.904433,0.905273,0.001953,0.007812,0.030273,0.019531,0.000000,0.001953,0.901367
17408,75.342693,124.960,0.565098,27.795150,1.312759,0.013342,0.127246,0.893449,0.899414,0.002930,0.002930,0.005859,0.012695,0.000000,0.002930,0.897461
18432,83.884513,135.060,0.624621,23.922036,1.303882,0.020720,0.169336,0.890106,0.875000,0.004883,0.002930,0.030273,0.008789,0.000000,0.004883,0.868164
19456,86.591872,137.870,0.560941,29.723562,1.301596,0.013906,0.170801,0.887794,0.884766,0.002930,0.003906,0.011719,0.012695,0.000000,0.002930,0.879883
20480,90.627278,141.440,0.884855,9.554393,1.294592,0.020955,0.177832,0.876387,0.852539,0.007812,0.000000,0.016602,0.017578,0.000000,0.006836,0.847656
