timestep,ep_rew_mean,ep_len_mean,explained_variance,value_loss,entropy,approx_kl,clip_fraction,std,intervention_rate,emergency_rate,int_rate_C-01,int_rate_C-02,int_rate_C-03,int_rate_C-04,int_rate_C-05,int_rate_C-06
1024,4.949180,11.356,nan,nan,nan,nan,nan,nan,0.924805,0.085938,0.021484,0.088867,0.110352,0.009766,0.068359,0.892578
2048,7.756667,13.450,-0.043167,1.475227,2.830220,0.011316,0.095996,0.991374,0.934570,0.065430,0.019531,0.073242,0.072266,0.014648,0.057617,0.915039
3072,11.981016,17.210,-0.417260,1.633240,2.819297,1.284880,0.113809,0.991227,0.937500,0.052734,0.011719,0.070312,0.086914,0.017578,0.047852,0.921875
4096,10.013945,15.180,-0.529536,0.506568,2.815808,0.205332,0.118164,0.985653,0.925781,0.079102,0.012695,0.144531,0.088867,0.018555,0.072266,0.909180
5120,8.161596,15.130,-0.569209,0.238281,2.813756,0.008030,0.100879,0.991577,0.938477,0.053711,0.027344,0.043945,0.089844,0.017578,0.046875,0.926758
6144,10.190981,15.640,0.371888,0.136851,2.822545,0.007886,0.108984,0.992099,0.934570,0.066406,0.027344,0.130859,0.123047,0.014648,0.054688,0.909180
7168,12.808342,18.690,0.421226,0.184423,2.816790,0.010087,0.051953,0.986820,0.953125,0.039062,0.008789,0.060547,0.080078,0.009766,0.033203,0.942383
8192,13.518902,19.740,0.564063,0.312096,2.808366,0.012941,0.135059,0.983022,0.948242,0.061523,0.010742,0.092773,0.069336,0.015625,0.051758,0.928711
9216,12.128847,19.340,0.567928,0.355372,2.801790,0.014490,0.142187,0.981269,0.951172,0.032227,0.015625,0.039062,0.067383,0.009766,0.031250,0.944336
10240,13.667276,20.440,0.571868,0.314476,2.801488,0.010130,0.099219,0.983070,0.936523,0.060547,0.010742,0.085938,0.077148,0.018555,0.054688,0.913086
11264,10.490282,17.440,0.737192,0.140294,2.797845,0.016390,0.134082,0.976931,0.948242,0.041016,0.026367,0.037109,0.124023,0.009766,0.035156,0.935547
12288,11.404225,20.740,0.673352,0.193910,2.787285,0.018098,0.154590,0.973419,0.947266,0.045898,0.022461,0.037109,0.060547,0.011719,0.042969,0.934570
13312,9.595279,18.750,0.798345,0.140488,2.782010,0.008738,0.120898,0.971824,0.947266,0.052734,0.048828,0.035156,0.075195,0.007812,0.041016,0.923828
14336,13.815511,21.780,0.859796,0.150904,2.778775,0.010182,0.128125,0.969772,0.952148,0.036133,0.010742,0.066406,0.029297,0.004883,0.032227,0.938477
15360,17.394674,24.880,0.875214,0.125523,2.774085,0.011651,0.146680,0.967544,0.947266,0.040039,0.028320,0.041016,0.040039,0.007812,0.034180,0.932617
16384,24.934477,31.440,0.609246,0.386207,2.772157,0.009028,0.109082,0.967967,0.974609,0.020508,0.000977,0.039062,0.021484,0.004883,0.019531,0.969727
17408,23.105822,30.200,0.720485,0.267589,2.772173,0.007017,0.066016,0.967621,0.958984,0.032227,0.004883,0.058594,0.032227,0.009766,0.027344,0.947266
18432,25.868246,34.520,0.771913,0.170428,2.772606,0.006328,0.060156,0.968476,0.960938,0.014648,0.006836,0.009766,0.021484,0.005859,0.014648,0.958984
19456,27.093177,35.350,0.833780,0.150551,2.773517,0.008940,0.067578,0.968373,0.944336,0.038086,0.017578,0.050781,0.046875,0.007812,0.029297,0.929688
20480,28.543511,35.580,0.853168,0.170192,2.773067,0.005293,0.028711,0.968140,0.960938,0.031250,0.002930,0.050781,0.016602,0.006836,0.028320,0.953125
