timestep,raw_steer,raw_throttle
10,-0.293168,0.275675
20,0.943684,1.000000
30,-0.856362,0.168337
40,-0.939168,0.171645
50,-0.136515,1.000000
60,-1.000000,0.797177
70,0.550259,0.651389
80,0.201819,0.939789
90,-0.151710,0.000000
100,0.121367,1.000000
110,-0.091002,0.358515
120,1.000000,0.177305
130,1.000000,0.064589
140,-1.000000,0.306671
150,-1.000000,0.153532
160,0.201468,0.274247
170,0.192165,1.000000
180,0.749726,0.668147
190,0.039492,0.350321
200,-0.706956,0.474875
210,1.000000,0.102879
220,-0.449140,0.543856
230,0.127732,0.546751
240,-0.435296,0.000000
250,1.000000,0.000000
260,1.000000,1.000000
270,0.229740,0.473868
280,-1.000000,0.207757
290,0.614145,0.714792
300,-0.198227,0.000000
310,0.003827,1.000000
320,0.452667,0.000000
330,1.000000,0.270938
340,-0.722478,0.988921
350,-1.000000,0.371968
360,0.162444,0.163947
370,-0.004603,1.000000
380,-1.000000,0.444280
390,-0.097898,1.000000
400,0.970860,0.000000
410,0.174497,0.372626
420,1.000000,0.017550
430,1.000000,0.000000
440,0.245700,0.294936
450,0.060736,0.468151
460,-0.221422,0.272262
470,1.000000,0.540139
480,-0.602804,0.557968
490,-0.105492,1.000000
500,1.000000,0.281411
510,1.000000,0.789488
520,-1.000000,1.000000
530,0.252657,0.000000
540,-1.000000,0.155146
550,1.000000,0.500150
560,1.000000,1.000000
570,-0.477854,0.844679
580,-0.033290,0.736684
590,1.000000,0.523378
600,0.946254,1.000000
610,0.669099,0.479196
620,1.000000,0.238677
630,-0.797152,0.325502
640,-0.125698,0.729731
650,-0.925040,0.555328
660,-0.454387,0.646787
670,-0.106249,1.000000
680,-0.016649,0.271527
690,-0.711744,1.000000
700,1.000000,0.000000
710,-1.000000,1.000000
720,-0.524009,1.000000
730,-1.000000,0.000000
740,0.357000,0.290594
750,-1.000000,0.026929
760,-1.000000,0.742383
770,0.228115,1.000000
780,0.893910,0.233314
790,1.000000,0.465849
800,-1.000000,1.000000
810,0.732946,0.598930
820,0.305475,0.600701
830,-0.218779,0.275497
840,0.370369,0.145840
850,0.698639,0.069992
860,0.114373,0.000000
870,1.000000,0.000000
880,-1.000000,0.956433
890,1.000000,0.865912
900,-0.545701,1.000000
910,-0.581582,0.102980
920,1.000000,0.466443
930,0.953915,1.000000
940,-1.000000,0.480806
950,-0.509890,0.387874
960,0.539651,0.000000
970,0.069846,0.687113
980,-0.599915,0.000000
990,0.045839,0.881928
1000,1.000000,1.000000
1010,1.000000,0.647642
1020,-0.533066,0.940605
1030,0.686824,0.504383
1040,-1.000000,0.771737
1050,-1.000000,0.562925
1060,-0.081684,0.420509
1070,-1.000000,0.425742
1080,0.335998,0.217295
1090,-1.000000,0.503236
1100,0.746097,0.000000
1110,-0.139499,0.133876
1120,-0.218156,0.362700
1130,-0.544429,0.044782
1140,-0.182910,0.613633
1150,0.916407,0.806886
1160,-0.203200,0.483708
1170,0.950126,0.640416
1180,0.955202,0.763156
1190,-0.483522,0.404828
1200,-0.500698,0.501654
1210,-0.727978,0.896222
1220,-0.542192,0.530610
1230,-1.000000,1.000000
1240,0.145791,0.000000
1250,1.000000,0.669947
1260,0.919843,1.000000
1270,-0.738490,1.000000
1280,1.000000,0.777448
1290,-0.374469,0.154849
1300,-1.000000,1.000000
1310,0.721515,0.270753
1320,1.000000,0.615335
1330,1.000000,0.000000
1340,-1.000000,0.450952
1350,-1.000000,0.113134
1360,-1.000000,0.206588
1370,1.000000,1.000000
1380,-0.457089,0.531663
1390,0.593459,0.877054
1400,-0.230220,0.556994
1410,-0.526860,1.000000
1420,-0.765968,0.621759
1430,1.000000,0.333790
1440,0.190395,0.163816
