timestep,ep_rew_mean,ep_len_mean,explained_variance,value_loss,entropy,approx_kl,clip_fraction,std,intervention_rate,emergency_rate,int_rate_C-01,int_rate_C-02,int_rate_C-03,int_rate_C-04,int_rate_C-05,int_rate_C-06
1024,13.117011,22.773,nan,nan,nan,nan,nan,nan,0.957031,0.041992,0.014648,0.151367,0.084961,0.000977,0.035156,0.937500
2048,10.889366,20.212,-0.022470,0.977557,2.827828,0.006225,0.085645,0.991066,0.956055,0.050781,0.017578,0.063477,0.067383,0.004883,0.039062,0.933594
3072,11.750680,20.870,-0.714473,0.374351,2.811432,0.006202,0.054199,0.983992,0.950195,0.040039,0.016602,0.044922,0.049805,0.006836,0.035156,0.935547
4096,11.255597,21.030,0.466687,0.232898,2.807126,0.012829,0.100586,0.985869,0.954102,0.041016,0.016602,0.052734,0.153320,0.001953,0.036133,0.936523
5120,17.307189,25.620,0.406006,0.198378,2.812172,0.010861,0.102539,0.989307,0.958984,0.029297,0.004883,0.016602,0.038086,0.007812,0.026367,0.950195
6144,18.550493,25.510,0.615245,0.294141,2.811693,0.008953,0.113574,0.985190,0.945312,0.041016,0.020508,0.042969,0.090820,0.007812,0.037109,0.929688
7168,19.911784,26.480,0.572934,0.334554,2.810605,0.016525,0.154297,0.986772,0.962891,0.033203,0.010742,0.050781,0.077148,0.007812,0.030273,0.950195
8192,18.442654,24.330,0.454287,0.253802,2.811519,0.015439,0.146777,0.987058,0.945312,0.036133,0.017578,0.024414,0.079102,0.006836,0.032227,0.933594
9216,8.911199,16.170,0.515357,0.433044,2.815961,0.016897,0.167676,0.990567,0.941406,0.064453,0.030273,0.072266,0.129883,0.009766,0.051758,0.908203
10240,9.793545,16.220,0.347785,0.195435,2.816564,0.011130,0.114746,0.987743,0.941406,0.050781,0.023438,0.052734,0.148438,0.008789,0.041992,0.919922
11264,14.919301,20.210,0.564553,0.103959,2.808040,0.012722,0.159863,0.983134,0.948242,0.040039,0.009766,0.044922,0.069336,0.007812,0.039062,0.938477
12288,16.574140,21.350,0.478178,0.161475,2.805797,0.012763,0.128711,0.985174,0.947266,0.043945,0.027344,0.050781,0.124023,0.009766,0.039062,0.934570
13312,14.081881,18.990,0.664007,0.162722,2.807183,0.018987,0.179883,0.984011,0.941406,0.057617,0.019531,0.080078,0.091797,0.011719,0.050781,0.917969
14336,13.973825,18.340,0.752548,0.108850,2.804294,0.012745,0.149414,0.982876,0.945312,0.040039,0.005859,0.038086,0.079102,0.009766,0.035156,0.931641
15360,12.927475,17.520,0.646541,0.155143,2.803889,0.013486,0.128320,0.983491,0.934570,0.069336,0.018555,0.096680,0.073242,0.019531,0.060547,0.904297
16384,11.154647,15.110,0.353757,0.285228,2.803351,0.011560,0.138086,0.982175,0.950195,0.041016,0.008789,0.037109,0.067383,0.011719,0.037109,0.932617
17408,15.476448,17.960,0.616258,0.198754,2.800922,0.009039,0.099219,0.981206,0.935547,0.063477,0.017578,0.084961,0.125977,0.018555,0.053711,0.911133
18432,12.649242,17.080,0.362842,0.290573,2.800093,0.010216,0.095508,0.981451,0.949219,0.047852,0.010742,0.054688,0.109375,0.019531,0.041992,0.925781
19456,13.893263,16.390,0.597941,0.295755,2.800734,0.007353,0.064941,0.981834,0.930664,0.071289,0.005859,0.064453,0.092773,0.016602,0.059570,0.900391
20480,13.585713,15.840,0.221718,0.252452,2.800960,0.007843,0.062598,0.981667,0.943359,0.051758,0.004883,0.096680,0.093750,0.015625,0.043945,0.917969
