timestep,ep_rew_mean,ep_len_mean,explained_variance,value_loss,entropy,approx_kl,clip_fraction,std,intervention_rate,emergency_rate,int_rate_C-01,int_rate_C-02,int_rate_C-03,int_rate_C-04,int_rate_C-05,int_rate_C-06
1024,14.636747,27.270,nan,nan,nan,nan,nan,nan,0.866211,0.033203,0.013672,0.053711,0.118164,0.000000,0.027344,0.840820
2048,21.368649,36.302,-0.036969,1.017554,1.413273,0.009229,0.051758,0.986599,0.885742,0.014648,0.000000,0.024414,0.055664,0.000000,0.012695,0.869141
3072,25.830850,42.314,-0.003474,0.786696,1.400994,0.024671,0.169141,0.975408,0.891602,0.014648,0.005859,0.041992,0.083984,0.000000,0.011719,0.877930
4096,28.052598,46.540,0.150581,0.204971,1.389566,0.045683,0.260937,0.961117,0.879883,0.010742,0.013672,0.029297,0.072266,0.000000,0.008789,0.867188
5120,28.498695,49.020,0.325402,0.659539,1.374359,0.059219,0.267578,0.946763,0.895508,0.010742,0.022461,0.027344,0.071289,0.000000,0.005859,0.883789
6144,34.327657,56.940,0.270454,0.605269,1.357964,0.046821,0.283594,0.930973,0.885742,0.008789,0.006836,0.033203,0.040039,0.000000,0.007812,0.880859
7168,40.438435,64.570,0.377477,0.330083,1.342017,0.063486,0.314063,0.915815,0.900391,0.006836,0.000977,0.011719,0.018555,0.000000,0.005859,0.897461
8192,43.597400,69.000,0.305802,0.296212,1.321868,0.080474,0.334668,0.895411,0.907227,0.006836,0.000000,0.021484,0.008789,0.000000,0.005859,0.899414
9216,48.898698,76.560,0.285318,0.229610,1.303889,0.080056,0.316406,0.884275,0.901367,0.008789,0.028320,0.036133,0.064453,0.000000,0.008789,0.898438
10240,49.457537,77.020,0.597886,0.380407,1.289641,0.077644,0.330371,0.869511,0.891602,0.009766,0.001953,0.043945,0.045898,0.000000,0.009766,0.883789
11264,54.149257,82.390,0.487464,0.219290,1.272855,0.073996,0.336426,0.854842,0.915039,0.004883,0.001953,0.019531,0.035156,0.000000,0.004883,0.912109
12288,63.938050,94.200,0.583623,0.196522,1.258218,0.062746,0.318262,0.845938,0.895508,0.002930,0.000000,0.017578,0.000000,0.000000,0.002930,0.893555
13312,70.383321,100.650,-0.411898,0.176269,1.248444,0.068495,0.300781,0.837632,0.905273,0.003906,0.000000,0.042969,0.000000,0.000000,0.002930,0.900391
14336,73.676851,103.690,0.067261,0.113922,1.238340,0.059398,0.289551,0.829066,0.898438,0.007812,0.000000,0.008789,0.029297,0.000000,0.006836,0.895508
15360,76.551315,106.920,0.662678,0.195525,1.228696,0.050837,0.263770,0.822080,0.901367,0.001953,0.001953,0.006836,0.023438,0.000000,0.001953,0.899414
16384,86.137339,116.600,0.565012,0.101467,1.219078,0.053750,0.283594,0.813550,0.895508,0.011719,0.000000,0.025391,0.037109,0.000000,0.008789,0.882812
17408,91.389720,120.850,0.415714,0.262879,1.209177,0.051418,0.263086,0.806284,0.883789,0.009766,0.000000,0.017578,0.007812,0.000000,0.004883,0.876953
18432,93.967045,123.260,0.408271,0.107395,1.201296,0.033896,0.233105,0.800925,0.910156,0.003906,0.000000,0.008789,0.028320,0.000000,0.002930,0.906250
19456,98.714394,129.420,0.464131,0.171041,1.194657,0.038071,0.251172,0.796139,0.898438,0.003906,0.003906,0.012695,0.019531,0.000000,0.002930,0.896484
20480,103.719761,133.180,0.397446,0.171867,1.189652,0.033631,0.248535,0.793129,0.907227,0.004883,0.000000,0.037109,0.004883,0.000000,0.003906,0.901367
21504,109.949880,139.650,0.533661,0.089488,1.186173,0.029250,0.207910,0.791080,0.917969,0.003906,0.000977,0.020508,0.000000,0.000000,0.003906,0.915039
22528,116.660784,146.870,0.454488,0.083066,1.183675,0.017149,0.161328,0.789234,0.911133,0.002930,0.000000,0.038086,0.008789,0.000000,0.002930,0.905273
23552,121.515441,151.490,0.426965,0.095431,1.181863,0.014618,0.122363,0.788581,0.924805,0.002930,0.000000,0.020508,0.000977,0.000000,0.002930,0.922852
24576,130.486273,161.150,0.331584,0.083124,1.181112,0.008828,0.079102,0.788034,0.916992,0.001953,0.000000,0.000000,0.006836,0.000000,0.001953,0.915039
25600,131.694850,161.970,0.654497,0.068575,1.180592,0.003285,0.020605,0.787823,0.900391,0.001953,0.003906,0.003906,0.006836,0.000000,0.001953,0.900391
