timestep,raw_steer
10,-0.305186
20,0.934595
30,-0.865222
40,-0.949565
50,-0.141367
60,-1.000000
70,0.540636
80,0.191841
90,-0.162186
100,0.109695
110,-0.099422
120,1.000000
130,1.000000
140,-1.000000
150,-1.000000
160,0.193846
170,0.181433
180,0.739403
190,0.028819
200,-0.719186
210,1.000000
220,-0.458905
230,0.118819
240,-0.446575
250,1.000000
260,1.000000
270,0.221390
280,-1.000000
290,0.609316
300,-0.209366
310,-0.006180
320,0.443619
330,1.000000
340,-0.736236
350,-1.000000
360,0.155965
370,-0.013012
380,-1.000000
390,-0.108400
400,0.960900
410,0.165047
420,1.000000
430,1.000000
440,0.234761
450,0.048557
460,-0.232992
470,1.000000
480,-0.611618
490,-0.113242
500,1.000000
510,1.000000
520,-1.000000
530,0.242878
540,-1.000000
550,1.000000
560,1.000000
570,-0.487525
580,-0.042010
590,1.000000
600,0.936048
610,0.660811
620,1.000000
630,-0.804538
640,-0.133259
650,-0.933939
660,-0.462576
670,-0.115719
680,-0.030012
690,-0.721874
700,1.000000
710,-1.000000
720,-0.531601
730,-1.000000
740,0.347521
750,-1.000000
760,-1.000000
770,0.221289
780,0.888036
790,0.991799
800,-1.000000
810,0.725132
820,0.294318
830,-0.225949
840,0.358942
850,0.689047
860,0.111942
870,1.000000
880,-1.000000
890,1.000000
900,-0.555229
910,-0.590262
920,1.000000
930,0.945013
940,-1.000000
950,-0.516544
960,0.530814
970,0.060891
980,-0.610233
990,0.042388
1000,1.000000
1010,1.000000
1020,-0.542765
1030,0.714706
1040,-1.000000
1050,-1.000000
1060,-0.350376
1070,-1.000000
1080,0.344690
1090,-1.000000
1100,0.742157
1110,-0.109519
1120,-0.219198
1130,-0.521246
1140,-0.097288
1150,0.752638
1160,-0.194747
1170,0.946504
1180,1.000000
1190,-0.413484
1200,-0.467011
1210,-0.719577
1220,-0.544838
1230,-1.000000
1240,0.368907
1250,1.000000
1260,0.899049
1270,-0.856552
1280,1.000000
1290,-0.341635
1300,-1.000000
1310,0.708626
1320,1.000000
1330,1.000000
1340,-0.891123
1350,-1.000000
1360,-1.000000
1370,1.000000
1380,-0.593652
1390,0.592436
1400,-0.143191
1410,-0.513942
1420,-0.731097
1430,1.000000
1440,0.312270
1450,1.000000
1460,-1.000000
1470,1.000000
1480,0.451181
1490,1.000000
1500,-1.000000
1510,-0.872300
1520,-0.175205
1530,0.049589
1540,-0.241721
1550,0.429474
1560,0.307257
1570,-0.721355
1580,-1.000000
1590,0.548691
1600,1.000000
1610,0.699357
1620,1.000000
1630,-1.000000
1640,0.909585
1650,-1.000000
1660,-1.000000
1670,0.133901
1680,0.379232
1690,-0.849142
1700,-0.232761
1710,0.235487
1720,0.433098
1730,-0.249373
1740,0.696408
1750,-0.556206
1760,-0.727881
1770,-0.722239
1780,-1.000000
1790,1.000000
1800,0.969033
1810,1.000000
1820,0.664251
1830,-0.549734
1840,0.070505
1850,0.383792
1860,0.202841
1870,-0.033742
1880,0.118774
1890,0.720645
1900,1.000000
1910,0.379681
1920,-0.614444
1930,0.956939
1940,1.000000
1950,0.719538
1960,-0.598359
1970,1.000000
1980,0.028302
1990,0.709051
2000,-1.000000
2010,1.000000
2020,0.532385
2030,-1.000000
2040,0.089746
2050,-0.391011
2060,-0.504809
2070,-0.874232
2080,-0.967499
2090,0.509705
2100,1.000000
2110,1.000000
2120,0.258551
2130,-0.568735
2140,0.786898
2150,-1.000000
2160,1.000000
2170,-0.230776
2180,1.000000
2190,-0.288093
2200,0.209382
2210,-1.000000
2220,0.568344
2230,0.918438
2240,-0.683432
2250,0.249660
2260,-0.334440
2270,-0.511311
2280,0.322521
2290,0.395432
2300,1.000000
2310,-1.000000
2320,0.381568
2330,1.000000
2340,-1.000000
2350,-0.878928
2360,0.448635
2370,-0.086610
2380,0.876102
2390,1.000000
2400,-1.000000
2410,-0.047530
2420,-0.463960
2430,-0.528411
2440,-0.714803
2450,-1.000000
2460,-0.650870
2470,0.211387
2480,1.000000
2490,-0.561427
2500,0.385298
2510,0.188056
2520,0.807314
2530,0.643326
2540,0.877828
2550,0.846932
2560,0.243980
2570,0.530908
2580,-0.204748
2590,-0.599865
2600,-0.915880
2610,-1.000000
2620,0.400216
2630,-0.421682
2640,-1.000000
2650,1.000000
2660,0.602989
2670,-0.632348
2680,-1.000000
2690,-0.248365
