timestep,ep_rew_mean,ep_len_mean,explained_variance,value_loss,entropy,approx_kl,clip_fraction,std,intervention_rate,emergency_rate,int_rate_C-01,int_rate_C-02,int_rate_C-03,int_rate_C-04,int_rate_C-05,int_rate_C-06
1024,15.165732,27.472,nan,nan,nan,nan,nan,nan,0.869141,0.035156,0.010742,0.058594,0.141602,0.000000,0.030273,0.845703
2048,16.699681,30.269,0.002495,6.199554,1.411353,0.007018,0.073047,0.986806,0.891602,0.030273,0.022461,0.054688,0.131836,0.000000,0.026367,0.869141
3072,19.341793,33.473,0.473848,8.692251,1.403443,0.015724,0.118359,0.982662,0.888672,0.023438,0.031250,0.036133,0.091797,0.000000,0.019531,0.867188
4096,22.875057,37.200,0.505321,15.870191,1.398767,0.012472,0.117773,0.976093,0.895508,0.018555,0.013672,0.019531,0.040039,0.000000,0.014648,0.882812
5120,28.356750,43.340,0.576956,15.369984,1.391352,0.009258,0.106348,0.969493,0.913086,0.014648,0.005859,0.033203,0.035156,0.000000,0.012695,0.902344
6144,34.544855,50.280,0.584662,24.297243,1.386303,0.010964,0.125977,0.966579,0.877930,0.010742,0.002930,0.037109,0.009766,0.000000,0.009766,0.871094
7168,42.013408,58.640,0.371590,34.644966,1.382470,0.011560,0.122754,0.961880,0.883789,0.007812,0.002930,0.015625,0.000000,0.000000,0.007812,0.882812
8192,49.648839,66.990,0.342348,52.164151,1.379364,0.021632,0.157520,0.961129,0.890625,0.005859,0.000000,0.017578,0.000977,0.000000,0.005859,0.885742
9216,56.283882,74.000,0.246382,37.518375,1.378141,0.013082,0.167578,0.958950,0.873047,0.005859,0.000977,0.006836,0.000000,0.000000,0.005859,0.873047
10240,61.751633,79.610,0.135110,59.300559,1.376531,0.017014,0.144141,0.958111,0.881836,0.005859,0.005859,0.004883,0.000000,0.000000,0.005859,0.880859
11264,71.410755,90.290,0.210836,44.836177,1.376750,0.017335,0.225488,0.958899,0.878906,0.001953,0.000000,0.003906,0.005859,0.000000,0.001953,0.876953
12288,78.903529,98.610,0.414159,19.473498,1.376620,0.018114,0.186133,0.958078,0.875000,0.000977,0.002930,0.006836,0.000000,0.000000,0.000977,0.875000
13312,86.747803,107.400,0.144455,26.516696,1.374101,0.014468,0.177539,0.952293,0.882812,0.004883,0.000000,0.015625,0.000000,0.000000,0.003906,0.877930
14336,96.120103,117.080,0.498813,43.061681,1.365946,0.034719,0.294141,0.944356,0.887695,0.002930,0.000000,0.004883,0.000977,0.000000,0.001953,0.884766
15360,104.276251,125.720,0.559428,27.413233,1.361211,0.015276,0.246973,0.943573,0.914062,0.000977,0.000000,0.027344,0.000000,0.000000,0.000977,0.910156
16384,111.833633,133.850,0.794792,7.398432,1.362781,0.084150,0.364160,0.948310,0.885742,0.002930,0.000000,0.017578,0.000000,0.000000,0.002930,0.884766
17408,122.226374,145.000,0.383127,58.129155,1.363199,0.033805,0.328516,0.944457,0.902344,0.000977,0.000000,0.005859,0.000000,0.000000,0.000977,0.902344
18432,123.202578,144.930,0.194160,19.767685,1.358985,0.033057,0.181445,0.938927,0.891602,0.017578,0.011719,0.012695,0.005859,0.000000,0.009766,0.882812
19456,127.549718,149.660,0.626826,94.966488,1.356240,0.023653,0.244727,0.940062,0.888672,0.000977,0.000000,0.007812,0.000000,0.000000,0.000977,0.888672
20480,137.745440,160.720,0.097263,18.256119,1.355787,0.087089,0.247754,0.937328,0.893555,0.002930,0.000000,0.011719,0.000000,0.000000,0.001953,0.889648
