timestep,ep_rew_mean,ep_len_mean,explained_variance,value_loss,entropy,approx_kl,clip_fraction,std,intervention_rate,emergency_rate,int_rate_C-01,int_rate_C-02,int_rate_C-03,int_rate_C-04,int_rate_C-05,int_rate_C-06
1024,24.124839,39.154,nan,nan,nan,nan,nan,nan,0.869141,0.025391,0.006836,0.037109,0.122070,0.000000,0.022461,0.858398
2048,23.074623,38.346,-0.006012,7.755386,1.403472,0.007305,0.060156,0.970394,0.882812,0.025391,0.017578,0.056641,0.147461,0.000000,0.021484,0.850586
3072,24.084274,40.093,0.497017,11.747484,1.386247,0.007108,0.087598,0.965083,0.887695,0.022461,0.000000,0.034180,0.185547,0.000000,0.019531,0.855469
4096,26.809116,43.478,0.337685,16.363783,1.381158,0.009733,0.086133,0.960844,0.896484,0.016602,0.014648,0.020508,0.075195,0.000000,0.013672,0.878906
5120,29.199795,46.630,0.639935,12.710189,1.375665,0.013694,0.133301,0.954078,0.916992,0.017578,0.023438,0.037109,0.127930,0.000000,0.013672,0.897461
6144,33.035285,51.420,0.532835,18.363232,1.367313,0.014225,0.148145,0.945044,0.878906,0.013672,0.011719,0.028320,0.041992,0.000000,0.011719,0.872070
7168,39.165894,59.140,0.531605,22.996435,1.358903,0.015427,0.156250,0.938082,0.875977,0.011719,0.083008,0.021484,0.039062,0.000000,0.010742,0.863281
8192,44.312515,65.880,0.507585,23.249325,1.353672,0.021830,0.194336,0.935984,0.879883,0.009766,0.053711,0.037109,0.071289,0.000000,0.009766,0.864258
9216,46.363838,67.600,0.450631,33.649212,1.351298,0.011874,0.178613,0.932819,0.894531,0.012695,0.035156,0.020508,0.072266,0.000000,0.012695,0.885742
10240,49.033780,70.690,0.638932,31.271093,1.349204,0.010088,0.140625,0.932972,0.884766,0.004883,0.119141,0.006836,0.033203,0.000000,0.004883,0.869141
