timestep,ep_rew_mean,ep_len_mean,explained_variance,value_loss,entropy,approx_kl,clip_fraction,std,intervention_rate,emergency_rate,int_rate_C-01,int_rate_C-02,int_rate_C-03,int_rate_C-04,int_rate_C-05,int_rate_C-06
11264,54.928479,77.880,nan,nan,nan,nan,nan,nan,0.879883,0.007812,0.034180,0.032227,0.035156,0.000000,0.006836,0.872070
12288,59.068112,82.730,0.656733,25.919138,1.340165,0.021325,0.138770,0.917045,0.899414,0.007812,0.054688,0.026367,0.038086,0.000000,0.006836,0.888672
13312,64.804417,89.850,0.614141,21.921855,1.329084,0.029302,0.157422,0.911872,0.892578,0.007812,0.064453,0.015625,0.007812,0.000000,0.006836,0.884766
14336,71.568408,98.320,0.651247,22.637992,1.324585,0.012447,0.143848,0.907314,0.891602,0.000977,0.037109,0.002930,0.000000,0.000000,0.000977,0.882812
15360,77.112887,105.170,0.404062,16.766551,1.319554,0.014904,0.191797,0.903179,0.889648,0.000977,0.046875,0.016602,0.004883,0.000000,0.000977,0.881836
16384,84.588308,113.680,0.331841,18.353558,1.314755,0.023841,0.292187,0.898871,0.865234,0.005859,0.000000,0.007812,0.008789,0.000000,0.003906,0.861328
17408,90.954606,120.650,0.431064,18.634990,1.310782,0.113259,0.269922,0.896944,0.880859,0.004883,0.044922,0.032227,0.003906,0.000000,0.004883,0.869141
18432,97.875246,128.060,0.484480,35.586935,1.311425,0.015462,0.225000,0.898665,0.900391,0.002930,0.000000,0.000000,0.011719,0.000000,0.000977,0.896484
19456,103.735219,134.050,0.158524,12.851709,1.307372,0.038394,0.247656,0.889437,0.870117,0.007812,0.000000,0.018555,0.025391,0.000000,0.007812,0.866211
20480,109.111944,139.120,0.548013,63.053716,1.301135,0.020392,0.269434,0.888428,0.880859,0.003906,0.000000,0.002930,0.011719,0.000000,0.002930,0.878906
