timestep,raw_steer
10,-0.304040
20,0.933221
30,-0.865511
40,-0.948708
50,-0.148973
60,-1.000000
70,0.541366
80,0.193081
90,-0.163270
100,0.109700
110,-0.100088
120,1.000000
130,1.000000
140,-1.000000
150,-1.000000
160,0.193327
170,0.181954
180,0.740054
190,0.030941
200,-0.717848
210,1.000000
220,-0.457411
230,0.121075
240,-0.445713
250,1.000000
260,1.000000
270,0.221064
280,-1.000000
290,0.601786
300,-0.210081
310,-0.005209
320,0.445101
330,1.000000
340,-0.731237
350,-1.000000
360,0.152609
370,-0.015179
380,-1.000000
390,-0.104753
400,0.962834
410,0.167158
420,1.000000
430,1.000000
440,0.237100
450,0.048866
460,-0.232408
470,1.000000
480,-0.612075
490,-0.115868
500,1.000000
510,1.000000
520,-1.000000
530,0.242701
540,-1.000000
550,1.000000
560,1.000000
570,-0.486924
580,-0.044791
590,1.000000
600,0.937664
610,0.659584
620,1.000000
630,-0.806269
640,-0.134542
650,-0.933315
660,-0.463778
670,-0.114602
680,-0.025252
690,-0.715403
700,1.000000
710,-1.000000
720,-0.531242
730,-1.000000
740,0.346728
750,-1.000000
760,-1.000000
770,0.219629
780,0.885246
790,0.991712
800,-1.000000
810,0.723134
820,0.296684
830,-0.229874
840,0.358006
850,0.689650
860,0.104877
870,1.000000
880,-1.000000
890,1.000000
900,-0.557647
910,-0.589803
920,1.000000
930,0.947096
940,-1.000000
950,-0.518546
960,0.529394
970,0.059723
980,-0.608856
990,0.035322
1000,1.000000
1010,1.000000
1020,-0.544052
1030,0.746710
1040,-0.879737
1050,-1.000000
1060,-0.510658
1070,-1.000000
1080,0.344372
1090,-1.000000
1100,0.627255
1110,-0.170648
1120,-0.214065
1130,-0.490203
1140,-0.184925
1150,0.770767
1160,-0.455235
1170,0.760078
1180,0.903151
1190,-0.420638
1200,-0.485642
1210,-0.679232
1220,-0.611156
1230,-1.000000
1240,0.433330
1250,1.000000
1260,0.653653
1270,-0.706080
1280,1.000000
1290,-0.284834
1300,-1.000000
1310,0.673668
1320,0.933908
1330,1.000000
1340,-1.000000
1350,-1.000000
1360,-1.000000
1370,1.000000
1380,-0.398909
1390,0.664472
1400,-0.365413
1410,-0.429885
1420,-0.670171
1430,1.000000
1440,0.415534
1450,1.000000
1460,-1.000000
1470,1.000000
1480,0.172421
1490,0.985058
1500,-1.000000
1510,-1.000000
1520,-0.272483
1530,0.023748
1540,-0.293093
1550,0.404369
1560,0.194847
1570,-0.958763
1580,-1.000000
1590,0.411898
1600,0.847282
1610,0.441429
1620,0.849946
1630,-1.000000
1640,0.820552
1650,-1.000000
1660,-1.000000
1670,0.105772
1680,0.452088
1690,-0.781334
1700,-0.266834
1710,0.257094
1720,0.332462
1730,-0.406922
1740,0.459653
1750,-0.440363
1760,-0.699038
1770,-0.846094
1780,-1.000000
1790,1.000000
1800,1.000000
1810,0.986288
1820,0.289061
1830,-0.891859
1840,-0.265144
1850,0.063558
1860,0.081528
1870,-0.195284
1880,-0.075315
1890,0.836770
1900,1.000000
1910,0.567910
1920,-0.502349
1930,1.000000
1940,1.000000
1950,0.684385
1960,-0.603746
1970,0.955517
1980,-0.209593
1990,0.630261
2000,-1.000000
2010,1.000000
2020,0.671536
2030,-1.000000
2040,0.101754
2050,-0.680957
2060,-0.461832
2070,-1.000000
2080,-1.000000
2090,0.394614
2100,1.000000
2110,1.000000
2120,0.203086
2130,-0.572498
2140,0.791955
2150,-1.000000
2160,1.000000
2170,-0.312783
2180,1.000000
2190,-0.262092
2200,-0.429526
2210,-1.000000
2220,0.450840
2230,0.325950
2240,-1.000000
2250,-0.188581
2260,-0.500129
2270,-0.619097
2280,0.549850
2290,0.744171
2300,1.000000
2310,-1.000000
2320,0.307313
2330,1.000000
2340,-1.000000
2350,-0.721725
2360,0.457872
2370,0.026128
2380,1.000000
2390,1.000000
2400,-1.000000
2410,0.013801
2420,-0.563510
2430,-0.097032
2440,-0.070724
2450,-0.930032
2460,-1.000000
2470,-0.148310
2480,1.000000
2490,-0.197670
2500,0.680079
2510,0.300097
2520,0.917213
2530,0.560275
2540,0.784324
2550,0.508626
2560,-0.449561
2570,0.181443
2580,-0.775925
2590,-0.858007
2600,-1.000000
2610,-1.000000
2620,0.104981
2630,-0.632027
2640,-1.000000
2650,1.000000
2660,0.514397
2670,-0.858104
2680,-0.613079
2690,-0.314517
2700,-0.073493
2710,1.000000
2720,-0.321403
2730,-1.000000
2740,-0.431590
2750,-0.033727
2760,-0.450538
2770,-0.534777
2780,-0.015118
2790,-1.000000
