timestep,ep_rew_mean,ep_len_mean,explained_variance,value_loss,entropy,approx_kl,clip_fraction,std,intervention_rate,emergency_rate,int_rate_C-01,int_rate_C-02,int_rate_C-03,int_rate_C-04,int_rate_C-05,int_rate_C-06
1024,17.955451,31.688,nan,nan,nan,nan,nan,nan,0.865234,0.031250,0.011719,0.049805,0.097656,0.000000,0.027344,0.842773
2048,19.293732,33.305,0.004982,6.885353,1.411100,0.010270,0.119531,0.986108,0.886719,0.026367,0.025391,0.041016,0.065430,0.000000,0.022461,0.869141
3072,21.062909,35.721,0.442018,13.167069,1.404836,0.006988,0.074707,0.986144,0.880859,0.026367,0.019531,0.036133,0.128906,0.000000,0.022461,0.863281
4096,22.274361,36.830,0.513347,14.668799,1.401132,0.009971,0.088965,0.976893,0.882812,0.024414,0.009766,0.024414,0.083984,0.000000,0.019531,0.860352
5120,24.623735,39.610,0.737016,13.889880,1.392728,0.008871,0.111133,0.971200,0.883789,0.023438,0.005859,0.040039,0.047852,0.000000,0.020508,0.869141
6144,28.239144,43.980,0.637205,22.144428,1.388035,0.008397,0.134473,0.968449,0.881836,0.012695,0.000000,0.038086,0.031250,0.000000,0.012695,0.877930
7168,34.292102,51.580,0.592837,18.674267,1.385021,0.013458,0.169531,0.964492,0.889648,0.008789,0.002930,0.024414,0.028320,0.000000,0.008789,0.881836
8192,40.945090,59.970,0.349062,27.929581,1.381159,0.015651,0.177637,0.962673,0.885742,0.006836,0.000000,0.023438,0.006836,0.000000,0.006836,0.883789
9216,43.350971,62.940,0.385123,28.311222,1.375670,0.071871,0.216895,0.952394,0.878906,0.016602,0.003906,0.041016,0.044922,0.000000,0.014648,0.861328
10240,41.564575,60.550,0.385303,31.824869,1.369053,0.020342,0.224805,0.950997,0.875000,0.031250,0.005859,0.052734,0.108398,0.000000,0.022461,0.852539
11264,43.637686,63.110,0.541653,43.078472,1.368274,0.016392,0.207422,0.950000,0.894531,0.016602,0.003906,0.057617,0.054688,0.000000,0.015625,0.879883
12288,44.201764,64.030,0.507744,22.786273,1.365693,0.013788,0.134082,0.945915,0.890625,0.013672,0.003906,0.048828,0.056641,0.000000,0.012695,0.876953
13312,35.736959,53.340,0.237057,34.359392,1.359410,0.010926,0.157129,0.936931,0.888672,0.016602,0.010742,0.045898,0.028320,0.000000,0.015625,0.879883
14336,35.193702,52.240,0.455856,25.413137,1.350094,0.017156,0.167969,0.930028,0.878906,0.018555,0.003906,0.023438,0.045898,0.000000,0.015625,0.864258
15360,38.437068,56.260,0.475440,21.720702,1.339742,0.017102,0.179395,0.916252,0.881836,0.013672,0.006836,0.049805,0.032227,0.000000,0.010742,0.873047
16384,44.107137,63.140,0.595914,14.656676,1.328994,0.016418,0.187891,0.912463,0.883789,0.014648,0.005859,0.039062,0.036133,0.000000,0.011719,0.872070
17408,47.301412,65.710,0.704247,16.989512,1.321824,0.014912,0.168164,0.903709,0.888672,0.014648,0.003906,0.052734,0.011719,0.000000,0.011719,0.876953
18432,43.615574,60.060,0.594847,25.221030,1.321412,0.038103,0.194043,0.910995,0.901367,0.020508,0.004883,0.034180,0.044922,0.000000,0.016602,0.888672
