timestep,raw_steer,raw_throttle
10,-0.297948,0.275490
20,0.939597,1.000000
30,-0.859043,0.169520
40,-0.943328,0.172698
50,-0.138871,1.000000
60,-1.000000,0.798211
70,0.548519,0.652083
80,0.198424,0.940015
90,-0.156899,0.000000
100,0.115154,1.000000
110,-0.089583,0.356920
120,1.000000,0.177602
130,1.000000,0.064873
140,-1.000000,0.307307
150,-1.000000,0.153252
160,0.200311,0.275880
170,0.188627,1.000000
180,0.749133,0.667550
190,0.037057,0.349698
200,-0.711625,0.474093
210,1.000000,0.103112
220,-0.450677,0.544178
230,0.126998,0.546691
240,-0.435873,0.000000
250,1.000000,0.000000
260,1.000000,1.000000
270,0.229542,0.473635
280,-1.000000,0.207729
290,0.610931,0.715484
300,-0.200443,0.000000
310,0.001960,1.000000
320,0.452194,0.000000
330,1.000000,0.271983
340,-0.725886,0.989306
350,-1.000000,0.372199
360,0.158907,0.163899
370,-0.007639,1.000000
380,-1.000000,0.444175
390,-0.099291,1.000000
400,0.968555,0.000000
410,0.172070,0.372813
420,1.000000,0.017692
430,1.000000,0.000000
440,0.242257,0.294774
450,0.056549,0.468349
460,-0.225219,0.272697
470,1.000000,0.539573
480,-0.605735,0.558497
490,-0.105688,1.000000
500,1.000000,0.280701
510,1.000000,0.789782
520,-1.000000,1.000000
530,0.251318,0.000000
540,-1.000000,0.155725
550,1.000000,0.500064
560,1.000000,1.000000
570,-0.481077,0.844911
580,-0.034886,0.736628
590,1.000000,0.522845
600,0.944400,1.000000
610,0.665890,0.478941
620,1.000000,0.239532
630,-0.798127,0.324637
640,-0.128492,0.729719
650,-0.927305,0.554687
660,-0.455521,0.646987
670,-0.107303,1.000000
680,-0.019160,0.271578
690,-0.712053,1.000000
700,1.000000,0.000000
710,-1.000000,1.000000
720,-0.524695,1.000000
730,-1.000000,0.000000
740,0.353835,0.290309
750,-1.000000,0.026755
760,-1.000000,0.742682
770,0.226436,1.000000
780,0.893855,0.233694
790,1.000000,0.465793
800,-1.000000,1.000000
810,0.730680,0.598030
820,0.304005,0.600578
830,-0.221759,0.276905
840,0.367034,0.147322
850,0.695524,0.070963
860,0.113699,0.000000
870,1.000000,0.000000
880,-1.000000,0.956360
890,1.000000,0.864578
900,-0.548502,1.000000
910,-0.581833,0.102645
920,1.000000,0.466757
930,0.952270,1.000000
940,-1.000000,0.480287
950,-0.511889,0.388305
960,0.536484,0.000000
970,0.066460,0.687652
980,-0.601941,0.000000
990,0.044428,0.882623
1000,1.000000,1.000000
1010,1.000000,0.649170
1020,-0.535296,0.940191
1030,0.641823,0.485915
1040,-0.897152,0.859061
1050,-1.000000,0.569543
1060,-0.370719,0.451524
1070,-1.000000,0.512394
1080,0.218113,0.313331
1090,-1.000000,0.504412
1100,0.592054,0.000000
1110,-0.284426,0.128439
1120,-0.394318,0.388206
1130,-0.704065,0.077861
1140,-0.245775,0.617171
1150,0.619480,0.675785
1160,-0.387078,0.477182
1170,0.799176,0.597642
1180,0.804559,0.815155
1190,-0.594912,0.444476
1200,-0.631150,0.560990
1210,-0.828659,0.938870
1220,-0.605980,0.589795
1230,-1.000000,1.000000
1240,0.164616,0.060147
1250,0.998490,0.765407
1260,0.857285,1.000000
1270,-0.796112,1.000000
1280,1.000000,0.766189
1290,-0.476156,0.222447
1300,-1.000000,1.000000
1310,0.524791,0.428851
1320,0.674559,0.657743
1330,1.000000,0.000000
1340,-1.000000,0.538399
1350,-1.000000,0.193656
1360,-1.000000,0.271266
1370,1.000000,1.000000
1380,-0.495590,0.616675
1390,0.219921,0.909648
1400,-0.211815,0.566145
1410,-0.393063,1.000000
1420,-0.932588,0.648451
1430,1.000000,0.371684
1440,0.400445,0.231732
1450,1.000000,0.722919
1460,-1.000000,0.028445
1470,1.000000,0.464007
1480,0.522804,0.720390
1490,1.000000,0.505789
1500,-1.000000,0.452135
1510,-0.900033,0.592905
1520,-0.390649,0.528780
1530,-0.077886,0.232723
1540,-0.455611,0.902422
1550,0.403771,1.000000
1560,0.001008,0.882653
1570,-0.983345,0.530910
1580,-1.000000,0.859969
1590,0.477876,0.606350
1600,0.971816,1.000000
1610,0.588756,0.618111
1620,0.868100,0.316090
1630,-1.000000,1.000000
1640,0.544417,0.415564
1650,-1.000000,0.746160
1660,-1.000000,0.351891
1670,0.051334,1.000000
1680,0.355606,0.811950
1690,-1.000000,0.914401
1700,-0.304880,1.000000
1710,0.168962,0.873250
1720,0.396677,0.323527
1730,-0.281591,1.000000
1740,0.443356,0.802254
1750,-0.548831,0.306170
1760,-0.807490,1.000000
1770,-1.000000,0.049643
1780,-1.000000,0.000000
1790,1.000000,0.000000
1800,0.782735,0.298855
1810,1.000000,1.000000
1820,0.201841,0.000000
1830,-0.770577,0.008278
1840,-0.157615,0.616157
1850,0.187224,0.608637
1860,0.169361,0.340523
1870,-0.168176,0.564431
1880,0.114736,0.000000
1890,0.864125,1.000000
1900,1.000000,0.611252
1910,0.201470,1.000000
1920,-0.717626,0.976120
1930,1.000000,1.000000
1940,1.000000,0.983964
1950,0.267472,0.000000
1960,-0.944493,1.000000
1970,0.894669,0.376721
1980,-0.178921,0.486916
1990,0.644692,0.339682
2000,-1.000000,0.000000
2010,1.000000,0.730262
