timestep,ep_rew_mean,ep_len_mean,explained_variance,value_loss,entropy,approx_kl,clip_fraction,std,intervention_rate,emergency_rate,int_rate_C-01,int_rate_C-02,int_rate_C-03,int_rate_C-04,int_rate_C-05,int_rate_C-06
1024,2.416574,43.565,nan,nan,nan,nan,nan,nan,0.951172,0.022461,0.010742,0.062500,0.014648,0.000000,0.019531,0.947266
2048,3.715082,35.839,-0.003441,0.570774,2.818727,0.028802,0.205273,0.981878,0.954102,0.029297,0.040039,0.061523,0.061523,0.000000,0.025391,0.948242
3072,5.591302,37.753,-0.223806,1.369439,2.805818,0.056217,0.255566,0.983838,0.963867,0.023438,0.004883,0.043945,0.020508,0.000000,0.019531,0.958984
4096,7.999273,40.847,0.146592,0.260886,2.788245,0.102502,0.360547,0.964293,0.969727,0.016602,0.000000,0.072266,0.005859,0.000000,0.013672,0.966797
5120,10.558302,44.720,0.121315,0.269283,2.757968,0.062532,0.346094,0.953248,0.974609,0.014648,0.000000,0.085938,0.014648,0.000000,0.011719,0.969727
6144,13.754255,48.890,0.010854,0.224340,2.730890,0.093560,0.417773,0.938412,0.969727,0.014648,0.000000,0.058594,0.008789,0.000000,0.012695,0.967773
7168,15.349674,54.440,0.542279,0.134299,2.697393,0.095264,0.431055,0.922039,0.977539,0.008789,0.000000,0.025391,0.002930,0.000000,0.006836,0.974609
8192,19.420309,66.080,0.323610,0.176488,2.662038,0.096638,0.448633,0.906965,0.980469,0.003906,0.000000,0.032227,0.000000,0.000000,0.003906,0.979492
9216,21.892281,71.390,0.511326,0.100818,2.631599,0.112716,0.487207,0.894032,0.984375,0.006836,0.003906,0.027344,0.010742,0.000000,0.005859,0.983398
10240,27.487043,81.280,0.194778,0.181337,2.598423,0.161849,0.538672,0.875707,0.975586,0.003906,0.011719,0.017578,0.007812,0.000000,0.002930,0.974609
11264,30.273331,87.850,0.205428,0.201845,2.555162,0.210934,0.558105,0.856940,0.975586,0.006836,0.002930,0.024414,0.000000,0.000000,0.005859,0.974609
12288,33.626734,93.720,0.706978,0.108502,2.515584,0.137268,0.475391,0.843926,0.979492,0.000977,0.000000,0.014648,0.000000,0.000000,0.000977,0.979492
13312,41.537363,106.160,-0.145856,0.137770,2.481674,0.157659,0.517969,0.825245,0.974609,0.004883,0.000000,0.016602,0.000000,0.000000,0.004883,0.974609
14336,45.388472,112.350,0.248311,0.202632,2.438826,0.205198,0.538184,0.809070,0.971680,0.002930,0.000000,0.019531,0.001953,0.000000,0.001953,0.970703
15360,52.204254,121.330,-0.085833,0.133048,2.396063,0.197747,0.571191,0.791145,0.959961,0.000977,0.000000,0.006836,0.000000,0.000000,0.000977,0.959961
16384,62.508730,134.510,0.085612,0.082849,2.352727,0.168127,0.527246,0.774008,0.970703,0.003906,0.000000,0.022461,0.000000,0.000000,0.003906,0.968750
17408,63.099547,135.480,0.345158,0.175096,2.308241,0.199923,0.540625,0.756668,0.970703,0.000000,0.000000,0.020508,0.000000,0.000000,0.000000,0.969727
18432,70.113958,145.780,-0.316252,0.043902,2.263725,0.217233,0.567090,0.741080,0.984375,0.000977,0.000000,0.006836,0.010742,0.000000,0.000977,0.984375
19456,70.113958,145.780,0.481449,0.028539,2.226001,0.235370,0.577925,0.728635,0.979492,0.000000,0.000000,0.020508,0.000000,0.000000,0.000000,0.979492
20480,90.872997,171.280,-0.884443,0.013455,2.194308,0.224981,0.574707,0.719126,0.980469,0.002930,0.000000,0.010742,0.011719,0.000000,0.001953,0.979492
21504,97.553068,179.670,0.689705,0.062637,2.157814,0.235835,0.541211,0.699905,0.975586,0.002930,0.000000,0.037109,0.001953,0.000000,0.002930,0.975586
22528,106.444233,189.050,0.584245,0.090695,2.104215,0.220844,0.524121,0.681594,0.977539,0.000977,0.000000,0.010742,0.000000,0.000000,0.000977,0.977539
23552,107.832734,190.090,-0.072255,0.066162,2.057553,0.214149,0.544336,0.669489,0.973633,0.000977,0.000000,0.016602,0.000000,0.000000,0.000977,0.972656
24576,118.053948,203.830,-0.031864,0.063307,2.023159,0.215694,0.569336,0.657181,0.971680,0.002930,0.004883,0.028320,0.002930,0.000000,0.002930,0.970703
25600,130.514494,217.830,0.502843,0.105711,1.976184,0.245202,0.528613,0.639807,0.966797,0.004883,0.005859,0.002930,0.001953,0.000000,0.002930,0.964844
26624,130.242923,217.630,0.331195,0.091533,1.925104,0.259950,0.571094,0.623246,0.962891,0.000977,0.000000,0.004883,0.000000,0.000000,0.000977,0.962891
27648,141.136746,229.000,0.862775,0.034478,1.878412,0.567486,0.535697,0.613174,0.957031,0.003906,0.000000,0.025391,0.014648,0.000000,0.003906,0.957031
28672,148.276812,236.560,0.413075,0.186650,1.853021,0.315974,0.451271,0.610135,0.962891,0.000977,0.000000,0.022461,0.002930,0.000000,0.000977,0.961914
29696,148.276812,236.560,0.183019,0.039357,1.842595,0.254879,0.589160,0.602374,0.964844,0.000000,0.000000,0.002930,0.000000,0.000000,0.000000,0.964844
30720,171.785301,262.540,-0.204308,0.009345,1.803731,0.316329,0.618750,0.585551,0.951172,0.001953,0.000977,0.033203,0.000000,0.000000,0.001953,0.951172
31744,172.346810,262.320,0.082541,0.051311,1.751176,0.237164,0.562891,0.572923,0.969727,0.000977,0.006836,0.007812,0.006836,0.000000,0.000977,0.966797
32768,182.061792,272.040,0.572640,0.018205,1.706501,0.345620,0.590332,0.560242,0.963867,0.000977,0.000000,0.004883,0.007812,0.000000,0.000977,0.962891
33792,198.737187,289.510,-0.106583,0.030966,1.666407,0.261036,0.612891,0.551644,0.959961,0.000977,0.000000,0.005859,0.013672,0.000000,0.000977,0.959961
34816,207.591802,298.160,0.126887,0.053488,1.630292,0.320216,0.591602,0.539096,0.956055,0.001953,0.000000,0.001953,0.000000,0.000000,0.000977,0.955078
35840,214.736100,305.550,0.231359,0.050149,1.577645,0.248583,0.558203,0.522616,0.958984,0.000977,0.000000,0.007812,0.000000,0.000000,0.000977,0.958984
36864,214.736100,305.550,0.269885,0.043035,1.527845,0.325603,0.621289,0.513470,0.961914,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.961914
37888,232.478278,324.950,-1.103012,0.007734,1.487430,0.369525,0.639746,0.500782,0.958984,0.000977,0.004883,0.000000,0.004883,0.000000,0.000977,0.958984
38912,234.900535,328.050,0.783923,0.016116,1.440053,0.347435,0.623437,0.490831,0.948242,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.948242
