timestep,raw_steer,raw_throttle
10,-0.298892,0.276224
20,0.937779,1.000000
30,-0.860071,0.167934
40,-0.942226,0.172673
50,-0.140606,1.000000
60,-1.000000,0.798224
70,0.546458,0.651210
80,0.196287,0.939062
90,-0.156319,0.000000
100,0.117216,1.000000
110,-0.091038,0.358204
120,1.000000,0.178349
130,1.000000,0.064697
140,-1.000000,0.307028
150,-1.000000,0.154720
160,0.200209,0.275187
170,0.189162,1.000000
180,0.747212,0.668417
190,0.037417,0.349521
200,-0.711126,0.474761
210,1.000000,0.104492
220,-0.451420,0.543845
230,0.124458,0.546316
240,-0.438224,0.000000
250,1.000000,0.000000
260,1.000000,1.000000
270,0.228979,0.473245
280,-1.000000,0.207707
290,0.611488,0.716104
300,-0.202857,0.000000
310,-0.001171,1.000000
320,0.450082,0.000000
330,1.000000,0.270911
340,-0.727454,0.989192
350,-1.000000,0.371668
360,0.159729,0.164428
370,-0.006870,1.000000
380,-1.000000,0.443737
390,-0.099284,1.000000
400,0.969686,0.000000
410,0.172797,0.373952
420,1.000000,0.018950
430,1.000000,0.000000
440,0.240610,0.294727
450,0.054804,0.468523
460,-0.227221,0.272289
470,1.000000,0.539541
480,-0.606730,0.558792
490,-0.107603,1.000000
500,1.000000,0.280818
510,1.000000,0.790203
520,-1.000000,1.000000
530,0.249609,0.000000
540,-1.000000,0.155078
550,1.000000,0.500504
560,1.000000,1.000000
570,-0.479519,0.844771
580,-0.035325,0.737823
590,1.000000,0.522274
600,0.944916,1.000000
610,0.665223,0.479894
620,1.000000,0.238024
630,-0.799936,0.324788
640,-0.127651,0.730097
650,-0.927841,0.555810
660,-0.458534,0.646384
670,-0.107707,1.000000
680,-0.019630,0.272235
690,-0.713317,1.000000
700,1.000000,0.000000
710,-1.000000,1.000000
720,-0.526921,1.000000
730,-1.000000,0.000000
740,0.353538,0.290257
750,-1.000000,0.026073
760,-1.000000,0.742245
770,0.227487,1.000000
780,0.892942,0.232930
790,0.999305,0.465815
800,-1.000000,1.000000
810,0.728310,0.598562
820,0.302119,0.601561
830,-0.222212,0.275360
840,0.365655,0.145405
850,0.695367,0.069864
860,0.116464,0.000000
870,1.000000,0.000000
880,-1.000000,0.957562
890,1.000000,0.863724
900,-0.547991,1.000000
910,-0.581683,0.103343
920,1.000000,0.465633
930,0.953133,1.000000
940,-1.000000,0.479771
950,-0.514565,0.388010
960,0.532850,0.000000
970,0.064561,0.687233
980,-0.599813,0.000000
990,0.043774,0.882857
1000,1.000000,1.000000
1010,1.000000,0.647971
1020,-0.537935,0.940596
1030,0.822934,0.450032
1040,-1.000000,0.775590
1050,-1.000000,0.381424
1060,-0.187972,0.282116
1070,-1.000000,0.319826
1080,0.531268,0.140013
1090,-1.000000,0.450667
1100,0.867594,0.000000
1110,-0.063419,0.026912
1120,-0.049490,0.363306
1130,-0.442940,0.070015
1140,0.155459,0.671537
1150,0.780629,0.599824
1160,-0.129852,0.410806
1170,1.000000,0.574370
1180,1.000000,0.723750
1190,-0.164000,0.353949
1200,-0.391894,0.474952
1210,-0.698537,0.886163
1220,-0.492216,0.465416
1230,-1.000000,1.000000
1240,0.584014,0.000000
1250,1.000000,0.699346
1260,0.839906,1.000000
1270,-0.789714,1.000000
1280,1.000000,0.685234
1290,-0.244280,0.113813
1300,-1.000000,1.000000
1310,0.869722,0.239637
1320,1.000000,0.514409
1330,1.000000,0.000000
1340,-0.821275,0.422893
1350,-1.000000,0.069697
1360,-0.919088,0.190282
1370,1.000000,1.000000
1380,-0.386207,0.426080
1390,0.743601,0.801546
1400,0.008774,0.573052
1410,-0.428275,1.000000
1420,-0.693007,0.492298
1430,1.000000,0.441482
1440,0.506700,0.175705
1450,1.000000,0.725097
1460,-0.919235,0.043399
1470,1.000000,0.304833
1480,0.433666,0.583280
1490,1.000000,0.418467
1500,-1.000000,0.387388
1510,-0.609776,0.398068
1520,-0.187837,0.566446
1530,0.055368,0.270204
1540,-0.353134,0.781835
1550,0.518291,1.000000
1560,0.383318,0.845679
1570,-0.541488,0.521471
1580,-1.000000,0.841550
1590,0.532101,0.438674
1600,1.000000,1.000000
1610,0.560021,0.540652
1620,1.000000,0.317682
1630,-1.000000,1.000000
1640,0.908402,0.369315
1650,-1.000000,0.608159
1660,-1.000000,0.342661
1670,0.267755,1.000000
1680,0.518323,0.675814
1690,-0.364773,0.947694
1700,0.027745,0.926579
1710,0.481496,0.798535
1720,0.642442,0.199275
1730,-0.291938,1.000000
1740,0.940735,0.722820
1750,-0.287564,0.230240
1760,-0.711880,1.000000
1770,-0.809881,0.000000
1780,-1.000000,0.000000
1790,1.000000,0.000000
1800,1.000000,0.272895
1810,1.000000,1.000000
1820,0.713568,0.000000
1830,-0.562724,0.000000
1840,0.023786,0.483655
1850,0.275310,0.533248
1860,0.432004,0.205864
1870,0.108227,0.581880
1880,0.267421,0.000000
1890,0.811498,1.000000
1900,1.000000,0.500994
1910,0.702228,1.000000
1920,-0.257465,0.878635
1930,1.000000,1.000000
1940,1.000000,0.984014
1950,0.970448,0.000000
1960,-0.456929,1.000000
1970,1.000000,0.350749
1980,0.224593,0.352702
1990,0.787864,0.338530
2000,-1.000000,0.000000
2010,1.000000,0.526335
2020,0.867011,0.325908
2030,-1.000000,0.670177
2040,0.013685,0.000000
2050,-0.302424,0.533955
2060,-0.160176,0.526578
2070,-1.000000,1.000000
2080,-0.661515,0.000000
2090,0.027969,0.000000
2100,0.669532,1.000000
2110,1.000000,0.686957
2120,0.952576,0.738676
2130,0.035324,0.000000
2140,1.000000,0.253677
2150,-1.000000,0.592780
2160,1.000000,0.970568
2170,0.229702,0.930750
2180,1.000000,0.000000
2190,0.399209,0.838361
2200,0.127907,0.000000
2210,-1.000000,0.000000
2220,0.702343,0.311672
2230,0.835766,1.000000
2240,-0.610164,0.078115
2250,0.451892,0.000000
2260,-0.044975,1.000000
2270,0.059209,0.639412
2280,1.000000,0.514698
2290,0.538711,1.000000
2300,1.000000,0.768787
2310,-1.000000,0.206680
2320,-0.122642,0.000000
2330,1.000000,0.256211
2340,-1.000000,0.494122
2350,-0.358877,0.000000
2360,0.273049,0.967455
2370,0.234667,0.000000
2380,1.000000,0.759822
2390,1.000000,1.000000
2400,-1.000000,0.266588
2410,-0.320090,0.829522
2420,-0.432963,0.085453
2430,-0.084497,0.737819
2440,-0.563801,0.178462
2450,-1.000000,0.451655
2460,-0.852553,0.834455
2470,-0.186526,1.000000
2480,1.000000,1.000000
2490,-0.064937,0.285141
2500,0.765460,0.171842
2510,0.193719,0.238962
2520,1.000000,1.000000
2530,0.277821,0.431882
2540,0.555157,0.118470
2550,0.992048,0.000000
