timestep,ep_rew_mean,ep_len_mean,explained_variance,value_loss,entropy,approx_kl,clip_fraction,std,intervention_rate,emergency_rate,int_rate_C-01,int_rate_C-02,int_rate_C-03,int_rate_C-04,int_rate_C-05,int_rate_C-06
1024,8.952011,19.692,nan,nan,nan,nan,nan,nan,0.944336,0.046875,0.013672,0.048828,0.084961,0.020508,0.040039,0.933594
2048,10.560532,18.930,-0.057243,0.829314,2.824691,0.019186,0.150195,0.986905,0.942383,0.052734,0.003906,0.037109,0.094727,0.023438,0.044922,0.932617
3072,13.187054,24.130,-0.119252,2.311577,2.803086,0.057342,0.299609,0.976907,0.965820,0.025391,0.006836,0.029297,0.052734,0.006836,0.021484,0.960938
4096,15.128240,27.750,-0.029083,0.205491,2.782053,0.083770,0.411328,0.963941,0.952148,0.037109,0.000000,0.028320,0.048828,0.017578,0.031250,0.944336
5120,17.241597,31.400,-0.077199,0.703487,2.750572,0.098728,0.428418,0.944452,0.958008,0.028320,0.009766,0.023438,0.066406,0.014648,0.025391,0.949219
6144,22.376758,34.770,-0.120752,0.326580,2.707260,0.140946,0.484473,0.923176,0.957031,0.023438,0.000000,0.016602,0.083984,0.015625,0.020508,0.952148
7168,23.400588,33.410,0.087880,0.575846,2.659529,0.134306,0.494434,0.900792,0.947266,0.037109,0.011719,0.028320,0.092773,0.020508,0.032227,0.937500
8192,20.964347,32.310,-0.093257,0.144143,2.612427,0.157581,0.503320,0.881641,0.954102,0.031250,0.004883,0.047852,0.061523,0.018555,0.029297,0.949219
9216,17.577725,31.640,0.035487,0.112457,2.568687,0.170645,0.532617,0.862615,0.960938,0.026367,0.000000,0.037109,0.051758,0.011719,0.022461,0.956055
10240,17.650747,33.460,0.272110,0.131691,2.524529,0.167962,0.569141,0.844401,0.962891,0.026367,0.001953,0.019531,0.035156,0.012695,0.020508,0.957031
11264,18.256354,35.050,0.210989,0.158261,2.493043,0.157815,0.515430,0.836686,0.958008,0.028320,0.004883,0.011719,0.018555,0.012695,0.025391,0.953125
12288,21.308651,41.100,0.433998,0.138782,2.465233,0.197457,0.551367,0.817537,0.965820,0.013672,0.000000,0.014648,0.024414,0.008789,0.010742,0.962891
13312,19.978017,38.820,0.200175,0.163548,2.419461,0.214509,0.548438,0.801479,0.955078,0.029297,0.001953,0.011719,0.068359,0.018555,0.027344,0.952148
14336,21.114475,38.790,0.195119,0.271689,2.380685,0.210226,0.574512,0.785976,0.954102,0.027344,0.009766,0.013672,0.025391,0.020508,0.025391,0.951172
15360,22.000032,37.130,0.301111,0.183540,2.339130,0.224640,0.575098,0.768273,0.955078,0.030273,0.000000,0.010742,0.032227,0.018555,0.026367,0.950195
16384,23.917751,37.060,0.544534,0.165888,2.294990,0.215476,0.555957,0.751751,0.965820,0.016602,0.029297,0.006836,0.016602,0.007812,0.014648,0.959961
17408,24.497152,38.630,0.579145,0.200889,2.249914,0.213698,0.567480,0.736139,0.962891,0.026367,0.000000,0.007812,0.023438,0.019531,0.021484,0.958008
18432,23.816506,38.560,0.521457,0.131070,2.211463,0.205872,0.542480,0.722363,0.959961,0.030273,0.002930,0.020508,0.035156,0.017578,0.023438,0.952148
19456,25.944072,42.940,0.575633,0.186064,2.171914,0.226094,0.573340,0.708232,0.959961,0.016602,0.000000,0.012695,0.013672,0.008789,0.016602,0.958008
20480,26.240287,41.560,0.643685,0.149064,2.125016,0.257904,0.597266,0.687293,0.959961,0.024414,0.000000,0.005859,0.020508,0.014648,0.021484,0.957031
21504,28.280911,41.020,0.554095,0.234639,2.077076,0.203963,0.541113,0.678627,0.969727,0.024414,0.000000,0.010742,0.033203,0.016602,0.019531,0.964844
22528,32.283962,46.460,0.610033,0.191398,2.042560,0.373117,0.597681,0.660288,0.966797,0.016602,0.000000,0.016602,0.015625,0.012695,0.013672,0.963867
23552,24.889683,35.050,0.482766,0.195218,1.985109,0.267638,0.580176,0.642363,0.948242,0.043945,0.000000,0.002930,0.040039,0.024414,0.036133,0.938477
24576,29.122185,41.800,0.428346,0.223456,1.938553,0.340754,0.627051,0.629276,0.966797,0.012695,0.003906,0.009766,0.019531,0.008789,0.011719,0.963867
25600,27.718439,43.590,0.620643,0.153873,1.896493,0.324725,0.604980,0.616734,0.958984,0.016602,0.000000,0.014648,0.012695,0.013672,0.015625,0.956055
26624,25.634793,43.090,0.646739,0.168276,1.861226,0.447290,0.588657,0.608857,0.964844,0.019531,0.003906,0.000977,0.005859,0.013672,0.015625,0.960938
27648,28.921108,48.480,0.785474,0.120985,1.831461,0.373280,0.636621,0.596074,0.960938,0.016602,0.005859,0.000977,0.012695,0.009766,0.014648,0.958984
28672,29.814622,51.660,0.869338,0.109020,1.788398,0.590580,0.569808,0.585255,0.959961,0.027344,0.000000,0.019531,0.014648,0.013672,0.018555,0.950195
29696,28.688684,50.180,0.778957,0.171022,1.750700,0.340055,0.617871,0.574206,0.971680,0.015625,0.000000,0.005859,0.000000,0.010742,0.010742,0.964844
