timestep,raw_steer,raw_throttle
10,-0.297839,0.275620
20,0.940050,1.000000
30,-0.858655,0.168528
40,-0.942439,0.172260
50,-0.139138,1.000000
60,-1.000000,0.797322
70,0.548003,0.651421
80,0.198895,0.941103
90,-0.154076,0.000000
100,0.117999,1.000000
110,-0.090515,0.358322
120,1.000000,0.177119
130,1.000000,0.065232
140,-1.000000,0.307072
150,-1.000000,0.154717
160,0.202493,0.274573
170,0.191398,1.000000
180,0.747387,0.668380
190,0.035273,0.350050
200,-0.713125,0.473937
210,1.000000,0.103467
220,-0.450235,0.543081
230,0.126372,0.548319
240,-0.437190,0.000000
250,1.000000,0.000000
260,1.000000,1.000000
270,0.229085,0.473806
280,-1.000000,0.208565
290,0.610433,0.714626
300,-0.203581,0.000000
310,0.000162,1.000000
320,0.451704,0.000000
330,1.000000,0.270926
340,-0.725999,0.988729
350,-1.000000,0.371911
360,0.160214,0.164011
370,-0.005357,1.000000
380,-1.000000,0.443525
390,-0.098913,1.000000
400,0.969018,0.000000
410,0.173567,0.372734
420,1.000000,0.017424
430,1.000000,0.000000
440,0.243498,0.294822
450,0.056988,0.468993
460,-0.223878,0.273054
470,1.000000,0.539051
480,-0.605650,0.558769
490,-0.105549,1.000000
500,1.000000,0.281846
510,1.000000,0.790785
520,-1.000000,1.000000
530,0.249495,0.000000
540,-1.000000,0.155855
550,1.000000,0.500977
560,1.000000,1.000000
570,-0.480758,0.845351
580,-0.035273,0.736538
590,1.000000,0.522192
600,0.944273,1.000000
610,0.667970,0.479644
620,1.000000,0.238442
630,-0.798968,0.325779
640,-0.128254,0.729734
650,-0.927712,0.555679
660,-0.457497,0.647165
670,-0.107787,1.000000
680,-0.018027,0.270875
690,-0.712752,1.000000
700,1.000000,0.000000
710,-1.000000,1.000000
720,-0.525881,1.000000
730,-1.000000,0.000000
740,0.353445,0.290460
750,-1.000000,0.026857
760,-1.000000,0.742436
770,0.226917,1.000000
780,0.893278,0.233405
790,1.000000,0.464960
800,-1.000000,1.000000
810,0.728226,0.596781
820,0.301732,0.600509
830,-0.221440,0.276118
840,0.364822,0.145528
850,0.693542,0.069396
860,0.112616,0.000000
870,1.000000,0.000000
