timestep,ep_rew_mean,ep_len_mean,explained_variance,value_loss,entropy,approx_kl,clip_fraction,std,intervention_rate,emergency_rate,int_rate_C-01,int_rate_C-02,int_rate_C-03,int_rate_C-04,int_rate_C-05,int_rate_C-06
1024,7.388758,17.086,nan,nan,nan,nan,nan,nan,0.933594,0.055664,0.005859,0.051758,0.129883,0.025391,0.048828,0.922852
2048,10.810514,17.810,0.012218,0.837012,2.815761,0.022819,0.140918,0.979462,0.940430,0.053711,0.000000,0.042969,0.092773,0.030273,0.043945,0.925781
3072,11.736657,18.160,-0.162679,1.817798,2.798493,0.063024,0.305469,0.977900,0.934570,0.053711,0.000000,0.029297,0.086914,0.028320,0.045898,0.923828
4096,13.832419,21.680,0.133672,0.207153,2.782173,0.092326,0.397266,0.964523,0.959961,0.032227,0.000977,0.020508,0.119141,0.022461,0.029297,0.955078
5120,16.590290,25.550,0.180375,0.464070,2.757100,0.109394,0.448242,0.950993,0.959961,0.035156,0.006836,0.017578,0.062500,0.020508,0.030273,0.950195
6144,18.087543,27.120,-0.004619,0.466595,2.725673,0.121328,0.470605,0.934894,0.950195,0.040039,0.004883,0.022461,0.069336,0.022461,0.035156,0.942383
7168,14.967587,23.760,0.160963,0.366766,2.692839,0.114788,0.435840,0.920723,0.952148,0.040039,0.010742,0.028320,0.059570,0.022461,0.036133,0.945312
8192,16.663760,25.340,0.427546,0.279941,2.652097,0.153240,0.522656,0.896776,0.958984,0.034180,0.005859,0.035156,0.072266,0.020508,0.028320,0.952148
9216,18.820404,26.380,0.472624,0.307941,2.605889,0.135483,0.508887,0.880568,0.949219,0.041992,0.005859,0.046875,0.101562,0.026367,0.036133,0.942383
10240,20.098288,26.880,0.365358,0.274563,2.565554,0.147808,0.499414,0.859920,0.950195,0.038086,0.000000,0.039062,0.067383,0.026367,0.035156,0.944336
11264,17.760123,25.410,0.241173,0.377132,2.518566,0.170433,0.509863,0.841213,0.952148,0.039062,0.002930,0.020508,0.048828,0.025391,0.034180,0.946289
12288,20.354921,29.360,0.270487,0.172419,2.481868,0.188351,0.538770,0.827483,0.958984,0.022461,0.000000,0.044922,0.037109,0.018555,0.019531,0.954102
13312,17.741995,26.150,0.579363,0.203031,2.439923,0.196372,0.525391,0.808696,0.942383,0.051758,0.005859,0.013672,0.038086,0.033203,0.041016,0.929688
14336,23.437893,32.720,0.434478,0.218344,2.399814,0.193942,0.543164,0.793329,0.965820,0.014648,0.000000,0.012695,0.038086,0.012695,0.014648,0.964844
15360,20.040786,26.700,0.426066,0.363893,2.356912,0.246962,0.582324,0.774235,0.943359,0.045898,0.000000,0.047852,0.082031,0.035156,0.038086,0.930664
16384,19.446218,24.670,0.261981,0.372638,2.314380,0.197478,0.551270,0.762375,0.951172,0.042969,0.005859,0.018555,0.045898,0.025391,0.035156,0.939453
17408,18.523435,23.550,0.389217,0.360699,2.283078,0.202484,0.557129,0.747895,0.947266,0.036133,0.000000,0.029297,0.086914,0.021484,0.031250,0.937500
18432,18.990437,25.510,0.603771,0.250089,2.243986,0.190329,0.559961,0.734417,0.946289,0.041016,0.009766,0.014648,0.084961,0.029297,0.035156,0.938477
19456,11.680115,19.210,0.606731,0.300426,2.201455,0.216332,0.575293,0.716997,0.936523,0.057617,0.013672,0.048828,0.084961,0.035156,0.044922,0.913086
20480,12.156131,18.860,0.414559,0.314820,2.155515,0.242252,0.585059,0.698979,0.946289,0.044922,0.035156,0.041992,0.113281,0.028320,0.037109,0.927734
21504,20.569385,26.560,0.536447,0.234537,2.106347,0.214901,0.575977,0.684639,0.957031,0.022461,0.000000,0.025391,0.068359,0.017578,0.018555,0.949219
22528,24.036927,30.290,0.483905,0.251221,2.062963,0.216468,0.551367,0.668396,0.954102,0.030273,0.006836,0.021484,0.080078,0.022461,0.027344,0.947266
23552,25.902252,33.880,0.665523,0.206677,2.017573,0.266792,0.605957,0.655069,0.964844,0.026367,0.000000,0.011719,0.039062,0.019531,0.021484,0.958984
24576,24.456122,34.870,0.720602,0.168870,1.983271,0.312361,0.620117,0.645841,0.957031,0.032227,0.004883,0.025391,0.027344,0.018555,0.024414,0.946289
25600,24.780151,36.840,0.788631,0.135286,1.944197,0.281294,0.636328,0.628953,0.960938,0.014648,0.000000,0.017578,0.013672,0.011719,0.013672,0.958984
26624,23.001064,40.150,0.909205,0.094608,1.899783,0.267088,0.606055,0.620869,0.949219,0.025391,0.016602,0.023438,0.039062,0.014648,0.020508,0.942383
27648,22.455157,41.950,0.605818,0.312431,1.864275,0.279905,0.582910,0.603800,0.958008,0.022461,0.000000,0.017578,0.027344,0.010742,0.015625,0.949219
