timestep,raw_steer,raw_throttle
10,-0.297506,0.276170
20,0.937945,1.000000
30,-0.859800,0.168878
40,-0.942581,0.172597
50,-0.139750,1.000000
60,-1.000000,0.797453
70,0.548753,0.651066
80,0.199572,0.940480
90,-0.156430,0.000000
100,0.116975,1.000000
110,-0.092297,0.356629
120,1.000000,0.176624
130,1.000000,0.063897
140,-1.000000,0.306447
150,-1.000000,0.153682
160,0.200097,0.274414
170,0.188040,1.000000
180,0.745781,0.668661
190,0.036155,0.350394
200,-0.710350,0.475031
210,1.000000,0.103820
220,-0.450853,0.544570
230,0.124948,0.547013
240,-0.437749,0.000000
250,1.000000,0.000000
260,1.000000,1.000000
270,0.229240,0.474124
280,-1.000000,0.207562
290,0.612832,0.716264
300,-0.200632,0.000000
310,0.001988,1.000000
320,0.450519,0.000000
330,1.000000,0.270471
340,-0.726826,0.989478
350,-1.000000,0.370822
360,0.159500,0.164795
370,-0.005016,1.000000
380,-1.000000,0.443445
390,-0.097670,1.000000
400,0.968902,0.000000
410,0.173030,0.373121
420,1.000000,0.016453
430,1.000000,0.000000
440,0.242882,0.295673
450,0.055689,0.469446
460,-0.226212,0.272892
470,1.000000,0.538644
480,-0.604854,0.557755
490,-0.107530,1.000000
500,1.000000,0.280714
510,1.000000,0.789196
520,-1.000000,1.000000
530,0.249594,0.000000
540,-1.000000,0.155268
550,1.000000,0.500034
560,1.000000,1.000000
570,-0.481432,0.845289
580,-0.035844,0.736816
590,1.000000,0.523065
600,0.942525,1.000000
610,0.667601,0.480476
620,1.000000,0.239363
630,-0.798545,0.325382
640,-0.127421,0.730177
650,-0.927541,0.555025
660,-0.454881,0.647350
670,-0.106818,1.000000
680,-0.020111,0.271716
690,-0.711834,1.000000
700,1.000000,0.000000
710,-1.000000,1.000000
720,-0.524160,1.000000
730,-1.000000,0.000000
740,0.354160,0.290312
750,-1.000000,0.027233
760,-1.000000,0.742928
770,0.227665,1.000000
780,0.893270,0.233146
790,1.000000,0.465667
800,-1.000000,1.000000
810,0.728831,0.597745
820,0.301553,0.601366
830,-0.220888,0.275497
840,0.366064,0.146170
850,0.695916,0.070435
860,0.112404,0.000000
870,1.000000,0.000000
880,-1.000000,0.956646
890,1.000000,0.864125
900,-0.547257,1.000000
910,-0.580350,0.101976
920,1.000000,0.465973
930,0.954949,1.000000
940,-1.000000,0.480383
950,-0.509025,0.388179
960,0.537905,0.000000
970,0.068023,0.686872
980,-0.599758,0.000000
990,0.044769,0.881915
1000,1.000000,1.000000
1010,1.000000,0.648718
1020,-0.535745,0.940671
1030,0.702614,0.541038
1040,-0.972596,0.786119
1050,-1.000000,0.369444
1060,-0.227645,0.242738
1070,-1.000000,0.402723
1080,0.344908,0.234004
1090,-1.000000,0.482962
1100,0.762234,0.000000
1110,-0.161018,0.106830
1120,-0.306485,0.403762
1130,-0.563812,0.042806
1140,-0.155514,0.629265
1150,0.788754,0.726879
1160,-0.257632,0.477814
1170,0.909498,0.682369
1180,0.930440,0.779411
1190,-0.458903,0.429171
1200,-0.487477,0.532415
1210,-0.532328,0.909484
1220,-0.500775,0.568071
1230,-1.000000,1.000000
1240,0.528048,0.078255
1250,1.000000,0.720957
1260,0.807933,1.000000
1270,-0.740646,1.000000
1280,1.000000,0.802524
1290,-0.287629,0.157382
1300,-1.000000,1.000000
1310,0.903410,0.318895
1320,1.000000,0.625972
1330,1.000000,0.000000
1340,-0.988064,0.433196
1350,-1.000000,0.126526
1360,-1.000000,0.228603
1370,1.000000,1.000000
1380,-0.517185,0.540767
1390,0.513725,0.862909
1400,-0.305512,0.634670
1410,-0.734209,1.000000
1420,-0.622691,0.655433
1430,1.000000,0.360212
1440,0.361477,0.149986
1450,1.000000,0.747405
1460,-0.945651,0.051675
