timestep,ep_rew_mean,ep_len_mean,explained_variance,value_loss,entropy,approx_kl,clip_fraction,std,intervention_rate,emergency_rate,int_rate_C-01,int_rate_C-02,int_rate_C-03,int_rate_C-04,int_rate_C-05,int_rate_C-06
1024,3.688200,33.467,nan,nan,nan,nan,nan,nan,0.955078,0.029297,0.007812,0.056641,0.012695,0.000000,0.024414,0.949219
2048,8.204194,38.365,0.011782,0.614541,2.820771,0.025110,0.161133,0.982086,0.965820,0.021484,0.002930,0.038086,0.011719,0.000000,0.019531,0.961914
3072,9.224460,43.514,-0.813823,0.992912,2.802112,0.271706,0.176847,0.982155,0.958984,0.017578,0.000000,0.087891,0.007812,0.000000,0.016602,0.955078
4096,9.836215,45.422,0.148138,0.471499,2.794960,0.467919,0.268348,0.973942,0.958008,0.019531,0.000000,0.067383,0.021484,0.000000,0.013672,0.950195
5120,11.296920,51.688,-0.385817,0.559417,2.784917,0.040281,0.283691,0.973557,0.979492,0.005859,0.000000,0.083984,0.006836,0.000000,0.005859,0.977539
6144,13.513807,57.286,0.186521,0.156836,2.771304,0.072129,0.363184,0.957456,0.980469,0.001953,0.004883,0.028320,0.009766,0.000000,0.001953,0.978516
7168,18.672693,67.350,0.374497,0.129988,2.741436,0.048861,0.325684,0.945443,0.963867,0.010742,0.003906,0.043945,0.000977,0.000000,0.009766,0.961914
8192,22.783261,75.570,0.348841,0.220815,2.719721,0.055430,0.354004,0.936109,0.969727,0.008789,0.011719,0.021484,0.001953,0.000000,0.005859,0.966797
9216,25.469526,78.770,0.466657,0.174636,2.701314,0.122486,0.361133,0.928871,0.967773,0.003906,0.000000,0.033203,0.005859,0.000000,0.003906,0.966797
10240,34.082389,89.460,0.341623,0.125688,2.682695,0.089108,0.366211,0.920233,0.953125,0.010742,0.000977,0.044922,0.011719,0.000000,0.008789,0.950195
11264,39.154701,96.680,0.290215,0.233789,2.661619,0.055139,0.345508,0.910532,0.971680,0.006836,0.000000,0.035156,0.002930,0.001953,0.005859,0.969727
12288,43.876973,102.130,0.540385,0.111579,2.642523,0.068379,0.350391,0.901855,0.957031,0.008789,0.000000,0.024414,0.007812,0.001953,0.007812,0.956055
13312,48.753648,106.710,0.261976,0.301188,2.621937,0.055762,0.331250,0.892593,0.958008,0.009766,0.000000,0.023438,0.000000,0.000977,0.007812,0.954102
14336,54.889903,112.770,0.642716,0.190384,2.603500,0.065917,0.380664,0.884713,0.958008,0.005859,0.003906,0.009766,0.003906,0.000977,0.005859,0.958008
15360,60.881220,118.300,0.416459,0.170735,2.588054,0.046683,0.301172,0.879576,0.962891,0.006836,0.000000,0.020508,0.000000,0.001953,0.005859,0.961914
16384,66.819668,124.640,0.268048,0.147671,2.577255,0.062723,0.345508,0.874745,0.961914,0.007812,0.000000,0.033203,0.004883,0.000977,0.006836,0.959961
17408,69.319177,126.410,0.533328,0.171788,2.567350,0.043823,0.310547,0.871674,0.965820,0.005859,0.000000,0.017578,0.000000,0.000977,0.005859,0.965820
18432,79.098338,133.210,0.662346,0.073621,2.558244,0.035376,0.260254,0.866695,0.974609,0.005859,0.000000,0.028320,0.000000,0.001953,0.003906,0.970703
19456,82.195624,130.580,0.291563,0.138737,2.547882,0.033967,0.280957,0.863223,0.960938,0.007812,0.003906,0.041016,0.002930,0.002930,0.007812,0.960938
20480,86.447746,133.180,0.492290,0.190024,2.540285,0.031714,0.256055,0.860708,0.955078,0.004883,0.011719,0.018555,0.004883,0.000977,0.004883,0.954102
21504,90.192534,136.310,0.414494,0.149090,2.536392,0.024479,0.191504,0.859661,0.968750,0.001953,0.000000,0.035156,0.004883,0.000977,0.000977,0.966797
22528,105.499077,153.330,0.114226,0.076136,2.533464,0.019453,0.186719,0.858698,0.958984,0.003906,0.000000,0.024414,0.000000,0.001953,0.003906,0.958008
23552,104.454795,150.830,0.545534,0.094114,2.531922,0.014981,0.157812,0.858434,0.972656,0.001953,0.000000,0.002930,0.001953,0.000977,0.001953,0.972656
24576,114.033195,157.640,0.580884,0.061806,2.531430,0.011162,0.099902,0.858323,0.964844,0.007812,0.005859,0.020508,0.008789,0.003906,0.005859,0.961914
25600,112.967453,154.550,0.378408,0.216074,2.531367,0.003759,0.031641,0.858589,0.957031,0.003906,0.000000,0.017578,0.000000,0.001953,0.003906,0.955078
