timestep,raw_steer,raw_throttle
550010,0.128310,0.778594
550020,0.243638,0.820292
550030,-0.036603,0.779269
550040,0.266483,0.773579
550050,0.166394,1.000000
550060,0.093916,1.000000
550070,0.410256,1.000000
550080,0.349743,1.000000
550090,0.250342,0.939674
550100,0.166120,0.955021
550110,0.348031,0.861846
550120,0.434288,0.992383
550130,0.460620,0.844689
550140,-0.035444,0.898246
550150,0.242220,0.958908
550160,0.377806,1.000000
550170,-0.170929,1.000000
550180,-0.052117,1.000000
550190,0.162008,0.972197
550200,-0.194840,1.000000
550210,0.231826,1.000000
550220,-0.383659,0.908899
550230,-0.079745,1.000000
550240,-0.040893,0.979466
550250,0.012466,1.000000
550260,-0.139076,1.000000
550270,-0.164870,0.957480
550280,-0.105508,1.000000
550290,-0.103514,1.000000
550300,-0.273459,1.000000
550310,0.032284,1.000000
550320,0.076285,0.976435
550330,0.247602,1.000000
550340,0.153944,1.000000
550350,-0.074111,0.947080
550360,-0.202115,1.000000
550370,0.138406,1.000000
550380,0.019824,1.000000
550390,-0.059430,1.000000
550400,0.240579,0.939719
550410,0.561863,0.877952
550420,0.428644,0.886974
550430,0.489285,0.947927
550440,0.691934,0.996740
550450,0.523704,0.925334
550460,-1.000000,1.000000
550470,0.456703,0.830907
550480,-0.196232,1.000000
550490,-0.179750,1.000000
550500,0.309429,0.975910
550510,-0.038555,1.000000
550520,0.045491,1.000000
550530,0.290257,1.000000
550540,0.274390,0.925641
550550,0.580544,0.927777
550560,0.377290,1.000000
550570,0.482199,1.000000
550580,-0.743891,1.000000
550590,0.364837,0.951868
550600,0.203917,1.000000
550610,0.001521,0.876302
550620,-0.318157,0.931837
550630,-0.120014,0.988308
550640,0.512285,1.000000
550650,-0.258811,1.000000
550660,-0.402821,1.000000
550670,-0.629648,1.000000
550680,-0.176576,1.000000
550690,0.142135,0.996692
550700,0.120317,0.964044
550710,0.401080,1.000000
550720,-0.604322,1.000000
550730,-0.266683,1.000000
550740,0.442751,1.000000
550750,-0.603831,0.936207
550760,-0.317839,1.000000
550770,0.130883,1.000000
550780,0.072931,0.987884
550790,0.097425,0.891196
550800,0.039465,0.979539
550810,0.785762,1.000000
550820,-0.385086,1.000000
550830,0.401195,0.805851
550840,0.322288,0.889872
550850,-0.144677,0.966719
550860,0.010831,0.940368
550870,0.319879,0.975166
550880,0.179627,1.000000
550890,0.200951,0.991662
550900,-0.043778,1.000000
550910,0.511019,0.892961
550920,0.090258,1.000000
550930,0.637945,1.000000
550940,0.268610,0.873943
550950,0.426083,0.982982
550960,0.379280,0.923624
550970,0.452761,0.885271
550980,0.105624,0.846797
