timestep,ep_rew_mean,ep_len_mean,explained_variance,value_loss,entropy,approx_kl,clip_fraction,std,intervention_rate,emergency_rate,int_rate_C-01,int_rate_C-02,int_rate_C-03,int_rate_C-04,int_rate_C-05,int_rate_C-06
551024,1712.937461,1517.460,nan,nan,nan,nan,nan,nan,0.597656,0.000977,0.000000,0.000977,0.000000,0.000000,0.000977,0.596680
552048,1712.937461,1517.460,0.923173,0.021385,-2.844905,0.415639,0.446405,0.058196,0.640625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.640625
553072,1693.984806,1499.740,-0.066149,0.002033,-2.853055,0.359414,0.601859,0.057847,0.323242,0.001953,0.000000,0.009766,0.016602,0.000000,0.001953,0.314453
554096,1693.984806,1499.740,0.897828,0.056188,-2.867623,0.120810,0.415039,0.057363,0.292969,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.292969
555120,1671.475592,1481.170,0.636492,0.004813,-2.888295,0.088316,0.428027,0.056638,0.226562,0.001953,0.005859,0.000000,0.000977,0.000000,0.000977,0.222656
556144,1657.310668,1469.860,0.918292,0.027456,-2.908507,0.080823,0.401855,0.056371,0.351562,0.000977,0.000000,0.003906,0.007812,0.000000,0.000977,0.346680
557168,1657.310668,1469.860,0.929917,0.026851,-2.922886,0.139522,0.464062,0.055604,0.382812,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.382812
558192,1656.099745,1469.860,0.480010,0.002193,-2.945956,0.178587,0.522656,0.055251,0.498047,0.001953,0.000000,0.000000,0.000000,0.000000,0.000000,0.496094
559216,1656.099745,1469.860,0.754431,0.009762,-2.960031,0.238166,0.569531,0.054771,0.521484,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.521484
560240,1633.791324,1450.760,0.049383,0.001616,-2.977647,0.350780,0.571691,0.054325,0.416992,0.000977,0.000000,0.001953,0.000000,0.000000,0.000977,0.416016
561264,1633.791324,1450.760,0.963951,0.019838,-2.991485,0.154129,0.473145,0.054091,0.392578,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.392578
562288,1634.689137,1452.020,0.381376,0.001416,-3.001670,0.188341,0.527051,0.053617,0.512695,0.000977,0.000000,0.000977,0.000000,0.000000,0.000977,0.511719
563312,1634.689137,1452.020,0.948813,0.038827,-3.015256,0.541422,0.404481,0.053598,0.802734,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.802734
564336,1568.944165,1393.690,-1.170021,0.002842,-3.014771,0.594747,0.515203,0.053607,0.759766,0.004883,0.000000,0.002930,0.000000,0.000000,0.001953,0.754883
565360,1568.944165,1393.690,0.943403,0.038936,-3.014516,0.205054,0.451562,0.053612,0.771484,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.771484
566384,1477.453444,1314.290,-1.720769,0.004782,-3.014354,0.482381,0.546094,0.053624,0.547852,0.002930,0.000000,0.000977,0.000000,0.000000,0.001953,0.544922
