timestep,raw_steer,raw_throttle
10,-0.295195,0.275659
20,0.941885,1.000000
30,-0.858925,0.168812
40,-0.941349,0.172311
50,-0.139022,1.000000
60,-1.000000,0.797304
70,0.549682,0.650747
80,0.199622,0.939274
90,-0.155510,0.000000
100,0.118338,1.000000
110,-0.090949,0.356871
120,1.000000,0.176679
130,1.000000,0.064384
140,-1.000000,0.306175
150,-1.000000,0.153620
160,0.200553,0.274671
170,0.189848,1.000000
180,0.746202,0.668294
190,0.037167,0.350455
200,-0.710614,0.474947
210,1.000000,0.103848
220,-0.448428,0.543643
230,0.127280,0.546811
240,-0.437699,0.000000
250,1.000000,0.000000
260,1.000000,1.000000
270,0.230747,0.474072
280,-1.000000,0.207447
290,0.609916,0.715673
300,-0.202370,0.000000
310,0.000021,1.000000
320,0.449496,0.000000
330,1.000000,0.269214
340,-0.724670,0.988637
350,-1.000000,0.370771
360,0.161478,0.163169
370,-0.006721,1.000000
380,-1.000000,0.443454
390,-0.098841,1.000000
400,0.970356,0.000000
410,0.173869,0.371916
420,1.000000,0.016218
430,1.000000,0.000000
440,0.243427,0.294002
450,0.056864,0.467995
460,-0.224633,0.272250
470,1.000000,0.538757
480,-0.607181,0.557556
490,-0.107729,1.000000
500,1.000000,0.280564
510,1.000000,0.790087
520,-1.000000,1.000000
530,0.252445,0.000000
540,-1.000000,0.154924
550,1.000000,0.500041
560,1.000000,1.000000
570,-0.478357,0.844334
580,-0.033819,0.735787
590,1.000000,0.523451
600,0.943932,1.000000
610,0.667830,0.479237
620,1.000000,0.239043
630,-0.798825,0.324638
640,-0.129077,0.729331
650,-0.926580,0.555623
660,-0.456233,0.647012
670,-0.106833,1.000000
680,-0.020440,0.272795
690,-0.710840,1.000000
700,1.000000,0.000000
710,-1.000000,1.000000
720,-0.522664,1.000000
730,-1.000000,0.000000
740,0.357374,0.291071
750,-1.000000,0.025861
760,-1.000000,0.741758
770,0.228099,1.000000
780,0.894003,0.232619
790,1.000000,0.464693
800,-1.000000,1.000000
810,0.731561,0.596787
820,0.302661,0.600360
830,-0.221444,0.275073
840,0.367720,0.145367
850,0.695974,0.069860
860,0.114440,0.000000
870,1.000000,0.000000
880,-1.000000,0.956076
890,1.000000,0.864499
900,-0.547101,1.000000
910,-0.581899,0.102607
920,1.000000,0.466810
930,0.952864,1.000000
940,-1.000000,0.481316
950,-0.514140,0.387491
960,0.534962,0.000000
970,0.068040,0.686806
980,-0.599271,0.000000
990,0.045572,0.881680
1000,1.000000,1.000000
1010,1.000000,0.647408
1020,-0.535610,0.940472
1030,0.730720,0.532337
1040,-0.961236,0.810591
1050,-1.000000,0.526754
1060,-0.186095,0.337356
1070,-1.000000,0.453570
1080,0.340943,0.259048
1090,-1.000000,0.537386
1100,0.725800,0.000000
1110,-0.045067,0.177626
1120,-0.225246,0.555798
1130,-0.550741,0.112319
1140,-0.087271,0.682974
1150,0.746322,0.736633
1160,-0.266571,0.470938
1170,0.869667,0.621474
1180,0.911066,0.778341
1190,-0.516970,0.459492
1200,-0.545224,0.510971
1210,-0.733748,0.908929
1220,-0.502387,0.595608
1230,-1.000000,1.000000
1240,0.335950,0.094437
1250,1.000000,0.686856
1260,1.000000,1.000000
1270,-0.744291,1.000000
1280,1.000000,0.820863
1290,-0.237355,0.211728
1300,-1.000000,1.000000
1310,0.785344,0.320487
1320,1.000000,0.601599
1330,1.000000,0.000000
1340,-0.915197,0.499188
1350,-1.000000,0.184677
1360,-1.000000,0.271545
1370,1.000000,1.000000
1380,-0.464426,0.553003
1390,0.539608,0.897988
1400,-0.261825,0.585380
1410,-0.494735,1.000000
1420,-0.772617,0.701338
1430,1.000000,0.341527
1440,0.392178,0.200152
1450,1.000000,0.766108
1460,-1.000000,0.091249
1470,1.000000,0.521626
1480,0.269698,0.726714
1490,1.000000,0.560234
1500,-1.000000,0.475490
1510,-0.857930,0.503898
1520,-0.215130,0.555601
1530,-0.031566,0.240321
1540,-0.405105,0.836273
1550,0.302739,1.000000
1560,0.323339,0.845484
1570,-0.716325,0.530379
1580,-1.000000,0.872578
1590,0.687697,0.578520
1600,1.000000,1.000000
1610,0.548602,0.576843
1620,1.000000,0.325603
1630,-1.000000,1.000000
1640,0.920235,0.302234
1650,-1.000000,0.634659
1660,-1.000000,0.268603
1670,0.135939,1.000000
1680,0.493432,0.761620
1690,-0.661817,0.884530
1700,-0.006975,1.000000
1710,0.344874,0.837849
1720,0.402717,0.255050
1730,-0.266132,1.000000
