timestep,ep_rew_mean,ep_len_mean,explained_variance,value_loss,entropy,approx_kl,clip_fraction,std,intervention_rate,emergency_rate,int_rate_C-01,int_rate_C-02,int_rate_C-03,int_rate_C-04,int_rate_C-05,int_rate_C-06,mirror_rate
1024,4.324055,38.923,nan,nan,nan,nan,nan,nan,0.964844,0.024414,0.019531,0.051758,0.010742,0.000000,0.019531,0.957031,0.582031
2048,6.195910,35.929,0.003259,0.969768,2.819669,0.016539,0.162305,0.982890,0.955078,0.029297,0.019531,0.057617,0.032227,0.000000,0.025391,0.946289,0.583008
3072,7.325249,34.534,-0.072497,0.378193,2.797850,0.028341,0.161719,0.976832,0.952148,0.031250,0.000000,0.051758,0.014648,0.000000,0.025391,0.943359,0.364258
4096,8.041733,31.240,-0.011773,0.485791,2.783851,0.043133,0.231934,0.968665,0.959961,0.031250,0.006836,0.036133,0.022461,0.000000,0.021484,0.950195,0.459961
5120,9.382045,31.780,0.208206,0.580304,2.773709,0.031198,0.224609,0.967139,0.957031,0.032227,0.002930,0.059570,0.030273,0.000000,0.025391,0.946289,0.504883
6144,11.726569,35.590,0.378290,0.265432,2.767660,0.054069,0.293555,0.962783,0.959961,0.017578,0.000000,0.035156,0.015625,0.000000,0.013672,0.956055,0.456055
7168,14.614265,38.150,0.187112,0.331548,2.759255,0.040765,0.310059,0.958122,0.961914,0.027344,0.003906,0.043945,0.035156,0.000000,0.023438,0.956055,0.474609
8192,18.843066,44.720,0.483297,0.277587,2.748430,0.047036,0.322852,0.953221,0.965820,0.018555,0.000000,0.028320,0.018555,0.000000,0.012695,0.958984,0.338867
9216,19.612013,44.010,0.477709,0.217517,2.734570,0.085491,0.351465,0.943456,0.965820,0.008789,0.000000,0.009766,0.008789,0.000000,0.006836,0.961914,0.897461
10240,26.970673,56.820,0.088380,0.320435,2.720749,0.122087,0.450391,0.939853,0.967773,0.003906,0.000000,0.010742,0.001953,0.000000,0.003906,0.967773,0.723633
11264,30.487566,63.550,0.442381,0.145879,2.703727,0.143666,0.431543,0.927066,0.978516,0.007812,0.000000,0.012695,0.005859,0.000000,0.004883,0.975586,0.242188
12288,33.701749,69.610,0.174088,0.092588,2.683214,0.065845,0.335840,0.922462,0.969727,0.008789,0.005859,0.016602,0.004883,0.000000,0.005859,0.963867,0.250000
13312,37.714052,73.690,0.616515,0.074659,2.673158,0.093394,0.378027,0.913009,0.962891,0.011719,0.014648,0.016602,0.011719,0.000000,0.008789,0.958008,0.349609
14336,41.732733,80.140,0.466189,0.115539,2.642251,0.193248,0.416113,0.897399,0.956055,0.012695,0.000000,0.021484,0.014648,0.000000,0.008789,0.951172,0.386719
15360,46.214605,86.760,0.357208,0.151073,2.611776,0.076321,0.381738,0.887457,0.957031,0.014648,0.000000,0.028320,0.002930,0.000000,0.010742,0.952148,0.070312
16384,50.415837,91.960,0.083719,0.148313,2.592007,0.169602,0.453711,0.876997,0.960938,0.008789,0.004883,0.016602,0.019531,0.000000,0.008789,0.958008,0.054688
17408,52.934637,93.920,0.375826,0.106942,2.570560,0.105847,0.440723,0.870344,0.958008,0.010742,0.000000,0.006836,0.004883,0.000000,0.007812,0.955078,0.237305
