iso,uptime_s,load1,mem_used_mb,mem_avail_mb,swap_used_mb,train_rss_mb,gz_rss_mb,n_gz,gpu_mem_mb,gpu_util,gpu_temp,disk_avail_gb,timestep
2026-08-20T11:48:43+02:00,87865,1.51,9540,21652,0,2069,1901,1,1269,3,49,355,1024
2026-08-20T11:49:43+02:00,87925,0.92,9428,21764,0,2077,1901,1,1265,5,49,355,1024
2026-08-20T11:50:43+02:00,87985,0.94,9436,21756,0,2078,1901,1,1264,3,50,355,1024
2026-08-20T11:51:43+02:00,88045,1.04,9447,21746,0,2078,1902,1,1264,3,50,355,2048
2026-08-20T11:52:43+02:00,88105,0.49,9458,21734,0,2081,1902,1,1264,3,51,355,2048
2026-08-20T11:53:43+02:00,88165,0.94,9454,21738,0,2088,1902,1,1264,4,52,355,3072
2026-08-20T11:54:43+02:00,88225,1.08,9563,21629,0,2088,1902,1,1254,2,52,355,3072
2026-08-20T11:55:43+02:00,88285,1.52,9738,21454,0,2088,1902,1,1265,3,52,355,3072
2026-08-20T11:56:43+02:00,88345,0.95,9530,21662,0,2088,1902,1,1249,2,52,355,4096
2026-08-20T11:57:43+02:00,88405,0.72,9621,21571,0,2088,1903,1,1249,3,53,355,4096
2026-08-20T11:58:43+02:00,88465,0.97,9583,21609,0,2095,1903,1,1249,2,54,355,5120
2026-08-20T11:59:43+02:00,88525,1.23,9498,21694,0,2107,1903,1,1249,3,53,355,5120
2026-08-20T12:00:43+02:00,88585,0.58,9520,21672,0,2117,1903,1,1248,2,54,355,6144
2026-08-20T12:01:43+02:00,88645,0.95,9525,21667,0,2117,1903,1,1248,2,54,355,6144
2026-08-20T12:02:43+02:00,88705,0.55,9495,21698,0,2117,1903,1,1248,3,54,355,7168
2026-08-20T12:03:43+02:00,88765,0.51,9500,21692,0,2117,1903,1,1248,3,54,355,7168
2026-08-20T12:04:43+02:00,88825,0.59,9524,21669,0,2117,1904,1,1248,2,54,355,7168
2026-08-20T12:05:43+02:00,88885,0.33,9511,21681,0,2117,1904,1,1248,4,54,355,8192
2026-08-20T12:06:43+02:00,88945,0.77,9511,21681,0,2118,1904,1,1248,3,54,355,8192
2026-08-20T12:07:43+02:00,89005,0.85,9456,21736,0,2069,1904,1,1248,3,54,355,9216
2026-08-20T12:08:43+02:00,89065,1.47,9446,21746,0,2069,1904,1,1248,3,54,355,9216
2026-08-20T12:09:43+02:00,89125,0.71,9439,21753,0,2072,1904,1,1248,3,54,355,10240
