timestep,raw_steer,raw_throttle
600010,-0.143736,0.834517
600020,-0.051987,0.884249
600030,-0.053080,0.817380
600040,-0.089456,0.945454
600050,0.014334,1.000000
600060,0.034864,0.817838
600070,-0.120675,0.852576
600080,0.963875,0.000000
600090,-0.276861,0.779195
600100,-0.142661,0.817889
600110,-0.281156,0.719220
600120,-0.168854,0.724197
600130,-0.081589,0.777662
600140,-0.190454,0.758377
600150,-0.315018,0.746077
600160,-0.156733,0.817972
600170,-0.162935,0.869371
600180,-0.123420,0.755668
600190,-0.266438,0.735297
600200,-0.106383,0.811935
600210,0.052854,0.934340
600220,-0.028381,1.000000
600230,0.121097,0.900019
600240,0.021032,0.950203
600250,-0.091453,0.776334
600260,0.368848,0.412721
600270,-0.163455,0.792053
600280,-0.283559,0.835525
600290,-0.200269,0.819603
600300,-0.189544,0.805612
600310,-0.140298,0.883015
600320,-0.140383,0.820877
600330,-0.129289,0.830328
600340,-0.098563,0.858599
600350,-0.124080,1.000000
600360,0.097967,0.936961
600370,0.202747,0.921513
600380,-0.024559,1.000000
600390,-0.212061,0.904075
600400,-0.101092,0.782890
600410,-0.008294,0.806718
600420,0.078461,0.985809
600430,0.162075,0.960025
600440,0.258567,0.843013
600450,0.125649,0.827812
600460,0.023488,1.000000
600470,-0.014544,0.858597
600480,-0.054959,1.000000
600490,-0.122710,1.000000
600500,0.093743,1.000000
600510,0.091097,0.739942
600520,-0.299332,0.796562
600530,-0.167089,0.781208
600540,-0.162813,0.804636
600550,-0.033377,0.828357
600560,-0.175751,0.904465
600570,-0.198524,0.845874
600580,-0.234531,0.686716
600590,-0.235918,0.762911
600600,-0.352107,0.881660
600610,-0.310172,0.788883
600620,-0.202045,0.788119
600630,-0.304999,0.769464
600640,-0.226449,0.768058
600650,-0.297398,0.881694
600660,-0.172394,0.775051
600670,-0.217962,1.000000
600680,-0.087908,0.894874
600690,-0.235742,0.990561
600700,-0.237676,0.519257
600710,-0.245764,0.940189
600720,-0.108641,0.825317
600730,-0.214069,0.825151
600740,-0.015733,0.827810
600750,-0.343354,0.666580
600760,-0.378363,0.763791
600770,-0.143637,0.901695
600780,-0.066706,0.790357
600790,-0.004436,0.872302
600800,-0.180796,0.840219
600810,0.148316,0.966087
600820,0.031562,0.945531
600830,-0.021924,0.914269
600840,0.084262,0.951267
600850,0.039235,0.867680
600860,-0.024445,0.773620
600870,0.121684,0.982286
600880,-0.125048,1.000000
600890,0.015445,1.000000
600900,0.095597,1.000000
600910,0.086148,1.000000
600920,0.018888,1.000000
600930,0.047284,0.980323
600940,-0.036615,0.968811
600950,-0.082915,1.000000
600960,0.151972,1.000000
600970,-0.021284,1.000000
600980,-0.070265,0.995042
600990,0.131806,1.000000
601000,0.157338,0.860492
601010,-0.317126,0.727077
601020,-0.280290,0.853690
601030,-0.216539,0.812497
601040,-0.252488,0.782964
601050,-0.274296,0.745624
601060,-0.160469,0.707628
601070,-0.327798,0.733725
601080,-0.171826,0.810318
601090,-0.384877,0.800280
601100,-0.113579,0.812769
601110,-0.214204,0.878020
601120,-0.186853,0.778448
601130,-0.190917,0.728555
601140,-0.136817,0.815581
601150,-0.252477,0.765083
601160,-0.153270,0.770673
601170,-0.250081,0.826446
601180,-0.245865,0.773683
601190,-0.365054,0.733611
601200,-0.304189,0.727826
