timestep,ep_rew_mean,ep_len_mean,explained_variance,value_loss,entropy,approx_kl,clip_fraction,std,intervention_rate,emergency_rate,int_rate_C-01,int_rate_C-02,int_rate_C-03,int_rate_C-04,int_rate_C-05,int_rate_C-06,mirror_rate
601024,141.930325,160.340,nan,nan,nan,nan,nan,nan,0.223633,0.008789,0.009766,0.003906,0.026367,0.000000,0.005859,0.209961,0.732422
602048,131.577290,149.940,0.910799,0.080572,-3.316694,0.489045,0.458432,0.046955,0.233398,0.001953,0.005859,0.000977,0.011719,0.000000,0.001953,0.224609,1.000000
603072,131.577290,149.940,0.860746,0.039961,-3.314947,0.343097,0.458912,0.046958,0.245117,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.245117,1.000000
604096,152.488262,171.650,0.479465,0.017814,-3.314281,0.328559,0.420455,0.047004,0.200195,0.003906,0.005859,0.010742,0.007812,0.000000,0.003906,0.192383,0.833008
605120,152.488262,171.650,0.826469,0.107779,-3.308619,0.309111,0.535657,0.047196,0.263672,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.263672,1.000000
606144,171.716560,191.860,0.610526,0.009800,-3.304751,0.476114,0.564645,0.047167,0.230469,0.000000,0.000000,0.002930,0.000000,0.000000,0.000000,0.230469,0.835938
607168,179.519561,199.590,0.896944,0.015773,-3.304033,0.585145,0.535937,0.047254,0.166992,0.002930,0.000000,0.009766,0.021484,0.000000,0.001953,0.160156,0.967773
608192,163.989682,183.100,0.897391,0.047344,-3.299815,0.239179,0.424154,0.047327,0.193359,0.003906,0.004883,0.001953,0.022461,0.000000,0.002930,0.184570,0.899414
609216,163.989682,183.100,0.588424,0.225576,-3.295682,0.626678,0.395000,0.047445,0.109375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.109375,1.000000
610240,178.120550,197.260,0.775205,0.006624,-3.299958,0.256557,0.585840,0.046772,0.210938,0.010742,0.004883,0.006836,0.013672,0.000000,0.008789,0.197266,0.665039
611264,178.120550,197.260,0.734702,0.292417,-3.321804,0.147156,0.251202,0.046735,0.242188,0.000000,0.000000,0.002930,0.000000,0.000000,0.000000,0.241211,1.000000
612288,197.557865,217.730,0.642501,0.009611,-3.321115,0.447070,0.508721,0.046768,0.215820,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.215820,1.000000
613312,193.208927,212.060,0.649292,0.010334,-3.318572,0.393613,0.556184,0.046855,0.168945,0.001953,0.000000,0.003906,0.016602,0.000000,0.000977,0.166016,0.999023
614336,200.947270,220.210,0.755160,0.034692,-3.320205,0.318270,0.542500,0.046455,0.257812,0.006836,0.006836,0.021484,0.047852,0.000000,0.006836,0.243164,0.639648
615360,199.660653,218.470,0.785019,0.188158,-3.337677,0.344835,0.255469,0.046355,0.145508,0.001953,0.000000,0.005859,0.009766,0.000000,0.000977,0.139648,1.000000
616384,195.535908,214.750,0.823022,0.055895,-3.339118,0.139992,0.401042,0.046360,0.215820,0.004883,0.000000,0.021484,0.030273,0.000000,0.004883,0.208008,0.797852
617408,179.196483,196.760,0.841477,0.153919,-3.338418,0.094889,0.362305,0.046393,0.176758,0.012695,0.000000,0.025391,0.017578,0.000000,0.009766,0.165039,0.491211
618432,186.589017,204.520,0.733277,0.220140,-3.335014,0.669052,0.435202,0.046523,0.211914,0.009766,0.006836,0.009766,0.028320,0.000000,0.007812,0.196289,0.519531
619456,188.595732,206.650,0.701524,0.244312,-3.330870,0.185641,0.327009,0.046563,0.231445,0.002930,0.000000,0.001953,0.017578,0.000000,0.002930,0.224609,0.740234
620480,188.595732,206.650,0.922060,0.039970,-3.328825,0.376614,0.502292,0.046587,0.250977,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250977,1.000000
621504,208.980623,227.120,0.477375,0.010928,-3.330971,0.565759,0.518125,0.046470,0.295898,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.295898,1.000000
622528,208.980623,227.120,-0.069735,0.015501,-3.334323,0.360770,0.525799,0.046459,0.288086,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.288086,1.000000
623552,225.785373,242.580,0.266515,0.007971,-3.331850,0.411135,0.546875,0.046559,0.279297,0.006836,0.000000,0.005859,0.004883,0.000000,0.004883,0.272461,0.794922
624576,225.399855,242.190,0.779559,0.148920,-3.327799,0.514835,0.511418,0.046646,0.207031,0.004883,0.000000,0.013672,0.027344,0.000000,0.004883,0.194336,0.913086
625600,238.514927,255.010,0.824387,0.108754,-3.326380,0.750448,0.309743,0.046647,0.181641,0.008789,0.003906,0.004883,0.021484,0.000000,0.005859,0.168945,0.819336
626624,191.081157,203.900,0.873019,0.112510,-3.324633,0.207917,0.407670,0.046715,0.226562,0.013672,0.008789,0.021484,0.021484,0.000000,0.007812,0.207031,0.595703
627648,160.485471,173.190,0.844232,0.168458,-3.322048,0.169975,0.331055,0.046779,0.320312,0.014648,0.012695,0.018555,0.053711,0.000000,0.011719,0.286133,0.758789
628672,118.319946,127.820,0.836238,0.220162,-3.318301,0.434582,0.367746,0.046883,0.292969,0.015625,0.000000,0.039062,0.015625,0.000000,0.011719,0.279297,0.689453
629696,112.993277,121.890,0.836849,0.178118,-3.315592,0.515183,0.406250,0.046903,0.292969,0.010742,0.004883,0.008789,0.017578,0.000000,0.007812,0.279297,0.729492
630720,118.333978,126.800,0.866076,0.123893,-3.315085,0.337097,0.093750,0.046903,0.246094,0.006836,0.000000,0.009766,0.000977,0.000000,0.005859,0.240234,0.890625
631744,52.938301,62.260,0.796662,0.181547,-3.314843,0.186786,0.211648,0.046917,0.338867,0.025391,0.007812,0.051758,0.041016,0.000000,0.021484,0.308594,0.211914
632768,55.241694,64.430,0.759222,0.227976,-3.314340,0.518157,0.363839,0.046905,0.211914,0.013672,0.000000,0.012695,0.006836,0.000000,0.009766,0.201172,0.645508
633792,55.061934,63.800,0.655026,0.392962,-3.314754,1.306204,0.082031,0.046899,0.278320,0.016602,0.009766,0.023438,0.022461,0.000000,0.012695,0.257812,0.565430
634816,55.061934,63.800,0.680655,0.342333,-3.314935,0.570452,0.065625,0.046894,0.205078,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.205078,1.000000
635840,72.977362,82.210,0.466204,0.042146,-3.312929,0.290335,0.557227,0.046920,0.249023,0.006836,0.000000,0.016602,0.002930,0.000000,0.005859,0.242188,0.829102
636864,73.201100,82.630,0.690976,0.172148,-3.313962,0.172418,0.291667,0.046903,0.192383,0.003906,0.003906,0.004883,0.026367,0.000000,0.001953,0.176758,0.646484
637888,73.201100,82.630,0.891053,0.098864,-3.314469,0.454718,0.131250,0.046898,0.172852,0.000000,0.000000,0.000000,0.004883,0.000000,0.000000,0.168945,1.000000
638912,86.136571,95.210,0.660303,0.010964,-3.319839,0.267782,0.586426,0.046362,0.218750,0.017578,0.000000,0.016602,0.013672,0.000000,0.012695,0.207031,0.389648
639936,76.709898,86.250,0.527235,0.770533,-3.338057,0.643501,0.067708,0.046349,0.359375,0.025391,0.007812,0.039062,0.044922,0.000000,0.017578,0.325195,0.285156
640960,76.158503,86.040,0.579298,0.773241,-3.338540,1.118533,0.083333,0.046339,0.268555,0.018555,0.006836,0.026367,0.041016,0.000000,0.016602,0.244141,0.027344
641984,72.252225,82.260,0.653425,0.333929,-3.338985,0.541149,0.090625,0.046329,0.244141,0.008789,0.000000,0.018555,0.039062,0.000000,0.004883,0.230469,0.915039
643008,72.252225,82.260,0.884584,0.108941,-3.339373,0.548222,0.066406,0.046320,0.167969,0.000000,0.000000,0.001953,0.000000,0.000000,0.000000,0.166992,1.000000
644032,92.462125,102.190,0.554953,0.008298,-3.339172,0.202968,0.449074,0.046357,0.238281,0.012695,0.005859,0.025391,0.032227,0.000000,0.009766,0.217773,0.450195
645056,78.254420,86.970,0.744004,0.267328,-3.337026,0.519395,0.377604,0.046408,0.291992,0.012695,0.000000,0.011719,0.014648,0.000000,0.009766,0.284180,0.394531
646080,56.076157,64.510,0.771003,0.240980,-3.335396,0.205432,0.340144,0.046421,0.359375,0.039062,0.000000,0.050781,0.056641,0.000000,0.032227,0.326172,0.442383
647104,56.178283,64.560,0.545195,0.427969,-3.334622,0.224060,0.243056,0.046444,0.260742,0.003906,0.000000,0.008789,0.000000,0.000000,0.001953,0.255859,0.756836
648128,56.178283,64.560,0.853085,0.080914,-3.333523,0.442333,0.143750,0.046471,0.243164,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.243164,1.000000
649152,48.814936,55.820,0.503692,0.010625,-3.329140,0.465854,0.595197,0.046629,0.350586,0.032227,0.007812,0.030273,0.029297,0.000000,0.021484,0.319336,0.514648
650176,49.348626,56.060,0.748704,0.367473,-3.325647,0.221608,0.303977,0.046647,0.263672,0.009766,0.004883,0.008789,0.009766,0.000000,0.005859,0.253906,0.613281
651200,55.533054,62.270,0.841309,0.128031,-3.324790,0.317433,0.274306,0.046669,0.209961,0.011719,0.005859,0.014648,0.010742,0.000000,0.009766,0.196289,0.750000
652224,55.533054,62.270,0.754003,0.239225,-3.323677,0.162020,0.234375,0.046698,0.129883,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.129883,1.000000
653248,73.509547,79.660,0.536145,0.011299,-3.317699,0.173345,0.546289,0.046745,0.122070,0.002930,0.000000,0.000000,0.003906,0.000000,0.000000,0.118164,0.930664
654272,81.668921,87.370,0.918299,0.024428,-3.324593,0.646901,0.381740,0.046671,0.187500,0.013672,0.000000,0.014648,0.006836,0.000000,0.011719,0.178711,0.851562
655296,79.685339,85.060,0.731782,0.269968,-3.326300,0.174400,0.354911,0.046669,0.322266,0.006836,0.000000,0.003906,0.015625,0.000000,0.004883,0.318359,0.978516
656320,79.685339,85.060,0.868055,0.076888,-3.325707,0.532657,0.298520,0.046711,0.290039,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.290039,1.000000
657344,83.657004,89.660,0.824062,0.008840,-3.323480,0.564809,0.472862,0.046783,0.247070,0.018555,0.009766,0.025391,0.032227,0.000000,0.013672,0.227539,0.172852
