iso,uptime_s,load1,mem_used_mb,mem_avail_mb,swap_used_mb,train_rss_mb,gz_rss_mb,n_gz,gpu_mem_mb,gpu_util,gpu_temp,disk_avail_gb,timestep
2026-08-21T08:16:45+02:00,161547,0.45,8996,22196,0,1552,0,0,1171,3,46,354,
2026-08-21T08:17:20+02:00,161582,0.38,9488,21705,0,2044,1900,1,1231,3,47,354,601024
2026-08-21T08:18:20+02:00,161642,1.29,9536,21656,0,2061,1900,1,1231,3,48,354,601024
2026-08-21T08:19:20+02:00,161702,1.09,9590,21603,0,2070,1900,1,1231,3,48,354,602048
2026-08-21T08:20:20+02:00,161762,0.40,9603,21589,0,2085,1900,1,1231,3,49,354,602048
2026-08-21T08:21:20+02:00,161822,2.74,9625,21568,0,2089,1900,1,1231,3,50,354,603072
2026-08-21T08:22:20+02:00,161882,1.56,9595,21597,0,2089,1900,1,1231,3,50,354,603072
2026-08-21T08:23:20+02:00,161942,0.63,9607,21586,0,2089,1900,1,1231,3,50,354,604096
2026-08-21T08:24:20+02:00,162002,0.43,9613,21579,0,2089,1900,1,1231,3,51,354,604096
2026-08-21T08:25:20+02:00,162062,0.46,9590,21602,0,2089,1900,1,1228,3,51,354,605120
2026-08-21T08:26:20+02:00,162122,1.54,9610,21582,0,2089,1900,1,1228,2,52,354,605120
2026-08-21T08:27:20+02:00,162182,0.61,9632,21561,0,2089,1900,1,1228,2,52,354,606144
2026-08-21T08:28:20+02:00,162242,0.53,9630,21563,0,2089,1900,1,1228,1,52,354,607168
2026-08-21T08:29:20+02:00,162302,0.86,9604,21588,0,2089,1900,1,1228,3,52,354,607168
2026-08-21T08:30:20+02:00,162362,0.95,9644,21548,0,2089,1900,1,1228,3,53,354,608192
2026-08-21T08:31:20+02:00,162422,1.12,9609,21583,0,2089,1900,1,1228,3,53,354,608192
2026-08-21T08:32:20+02:00,162482,1.35,9617,21575,0,2089,1900,1,1228,3,53,354,609216
2026-08-21T08:33:20+02:00,162542,0.66,9601,21592,0,2089,1900,1,1228,2,53,354,609216
2026-08-21T08:34:20+02:00,162602,0.28,9613,21580,0,2089,1901,1,1228,3,53,354,610240
2026-08-21T08:35:20+02:00,162662,0.66,9610,21582,0,2089,1901,1,1228,3,53,354,610240
2026-08-21T08:36:20+02:00,162722,1.64,9606,21586,0,2092,1901,1,1228,3,54,354,611264
2026-08-21T08:37:21+02:00,162783,1.64,9629,21563,0,2106,1901,1,1228,3,54,354,611264
2026-08-21T08:38:21+02:00,162843,0.88,9585,21607,0,2067,1901,1,1228,3,54,354,612288
2026-08-21T08:39:21+02:00,162903,0.40,9579,21613,0,2067,1901,1,1228,3,54,354,612288
2026-08-21T08:40:21+02:00,162963,0.34,9587,21606,0,2070,1901,1,1234,3,54,354,613312
2026-08-21T08:41:21+02:00,163023,0.86,9605,21587,0,2080,1901,1,1235,3,54,354,613312
2026-08-21T08:42:21+02:00,163083,0.35,9596,21596,0,2089,1901,1,1235,3,54,354,614336
2026-08-21T08:43:21+02:00,163143,0.19,9605,21587,0,2089,1901,1,1235,2,54,354,614336
2026-08-21T08:44:21+02:00,163203,0.07,9629,21563,0,2089,1901,1,1235,2,54,354,615360
2026-08-21T08:45:21+02:00,163263,1.34,9589,21603,0,2089,1901,1,1235,3,54,354,615360
2026-08-21T08:46:21+02:00,163323,1.95,9633,21559,0,2089,1901,1,1235,3,54,354,616384
2026-08-21T08:47:21+02:00,163383,1.02,9628,21565,0,2089,1901,1,1235,3,54,354,616384
2026-08-21T08:48:21+02:00,163443,0.74,9619,21573,0,2089,1901,1,1230,3,54,354,617408
2026-08-21T08:49:21+02:00,163503,0.73,9627,21566,0,2089,1901,1,1230,3,54,354,617408
2026-08-21T08:50:21+02:00,163563,1.06,9631,21562,0,2093,1901,1,1230,3,54,354,618432
2026-08-21T08:51:21+02:00,163623,0.68,9631,21561,0,2107,1901,1,1230,3,54,354,618432
2026-08-21T08:52:21+02:00,163683,0.69,9585,21607,0,2074,1901,1,1230,3,54,354,619456
2026-08-21T08:53:21+02:00,163743,0.53,9607,21586,0,2074,1901,1,1230,2,54,354,619456
2026-08-21T08:54:21+02:00,163803,0.55,9590,21602,0,2074,1901,1,1230,2,54,354,620480
2026-08-21T08:55:21+02:00,163863,0.82,9610,21582,0,2080,1901,1,1230,3,55,354,620480
2026-08-21T08:56:21+02:00,163923,1.47,9625,21568,0,2089,1901,1,1230,3,54,354,621504
2026-08-21T08:57:21+02:00,163983,1.56,9606,21586,0,2089,1901,1,1230,3,55,354,621504
2026-08-21T08:58:21+02:00,164043,1.42,9610,21583,0,2089,1901,1,1230,3,55,354,622528
2026-08-21T08:59:21+02:00,164103,1.19,9613,21579,0,2089,1901,1,1230,3,55,354,622528
2026-08-21T09:00:21+02:00,164163,1.28,9630,21562,0,2089,1901,1,1230,3,54,354,623552
2026-08-21T09:01:21+02:00,164223,0.84,9629,21563,0,2089,1901,1,1230,3,55,354,623552
2026-08-21T09:02:21+02:00,164283,0.86,9609,21583,0,2089,1901,1,1230,3,54,354,624576
2026-08-21T09:03:21+02:00,164343,0.78,9625,21568,0,2089,1901,1,1230,3,54,354,624576
2026-08-21T09:04:21+02:00,164403,0.62,9619,21574,0,2091,1901,1,1230,2,54,354,625600
2026-08-21T09:05:21+02:00,164463,0.56,9642,21550,0,2105,1901,1,1230,3,54,354,625600
2026-08-21T09:06:21+02:00,164523,1.39,9634,21559,0,2115,1902,1,1230,3,54,354,625600
2026-08-21T09:07:21+02:00,164583,0.69,9596,21597,0,2075,1902,1,1230,3,54,354,626624
2026-08-21T09:08:21+02:00,164643,0.69,9615,21577,0,2075,1902,1,1230,3,54,354,626624
2026-08-21T09:09:22+02:00,164704,2.11,9588,21604,0,2075,1902,1,1230,3,54,354,627648
2026-08-21T09:10:22+02:00,164764,1.25,9617,21576,0,2082,1902,1,1230,3,54,354,627648
2026-08-21T09:11:22+02:00,164824,0.94,9605,21587,0,2089,1902,1,1230,3,54,354,628672
2026-08-21T09:12:22+02:00,164884,1.00,9634,21558,0,2089,1902,1,1230,2,54,354,628672
2026-08-21T09:13:22+02:00,164944,0.77,9630,21563,0,2089,1902,1,1230,2,54,354,629696
2026-08-21T09:14:22+02:00,165004,0.64,9628,21564,0,2089,1902,1,1230,3,54,354,629696
2026-08-21T09:15:22+02:00,165064,0.88,9620,21572,0,2089,1902,1,1230,3,54,354,630720
2026-08-21T09:16:22+02:00,165124,1.33,9614,21578,0,2089,1902,1,1230,3,54,354,630720
2026-08-21T09:17:22+02:00,165184,1.16,9633,21559,0,2089,1903,1,1230,3,54,354,630720
