timestep,raw_steer,raw_throttle
10,-0.293435,0.275747
20,0.941058,1.000000
30,-0.855916,0.168149
40,-0.939872,0.171850
50,-0.136974,1.000000
60,-1.000000,0.798450
70,0.548429,0.651153
80,0.200769,0.939254
90,-0.154492,0.000000
100,0.121998,1.000000
110,-0.087447,0.357135
120,1.000000,0.177292
130,1.000000,0.065616
140,-1.000000,0.308002
150,-1.000000,0.153403
160,0.200766,0.276498
170,0.191894,1.000000
180,0.748820,0.668267
190,0.037937,0.351780
200,-0.708540,0.474717
210,1.000000,0.104169
220,-0.448672,0.543777
230,0.128688,0.547583
240,-0.435066,0.000000
250,1.000000,0.000000
260,1.000000,1.000000
270,0.231217,0.473606
280,-1.000000,0.208378
290,0.613895,0.715050
300,-0.199582,0.000000
310,0.003079,1.000000
320,0.453461,0.000000
330,1.000000,0.270498
340,-0.722062,0.989395
350,-1.000000,0.371652
360,0.161672,0.163875
370,-0.003859,1.000000
380,-1.000000,0.443811
390,-0.097152,1.000000
400,0.970493,0.000000
410,0.175755,0.372333
420,1.000000,0.017475
430,1.000000,0.000000
440,0.245798,0.295014
450,0.060172,0.468399
460,-0.221823,0.272844
470,1.000000,0.538683
480,-0.605218,0.560077
490,-0.106412,1.000000
500,1.000000,0.281000
510,1.000000,0.790604
520,-1.000000,1.000000
530,0.253225,0.000000
540,-1.000000,0.154658
550,1.000000,0.500204
560,1.000000,1.000000
570,-0.476442,0.844395
580,-0.032699,0.736487
590,1.000000,0.524691
600,0.946196,1.000000
610,0.669946,0.478981
620,1.000000,0.238684
630,-0.795498,0.324964
640,-0.124813,0.729040
650,-0.924135,0.555449
660,-0.455362,0.648135
670,-0.105024,1.000000
680,-0.019155,0.273431
690,-0.711816,1.000000
700,1.000000,0.000000
710,-1.000000,1.000000
720,-0.522187,1.000000
730,-1.000000,0.000000
740,0.355804,0.290441
750,-1.000000,0.027120
760,-1.000000,0.742510
770,0.228135,1.000000
780,0.896257,0.233010
790,1.000000,0.465943
800,-1.000000,1.000000
810,0.732423,0.597543
820,0.305813,0.600757
830,-0.217956,0.275873
840,0.370433,0.145937
850,0.699203,0.069843
860,0.114814,0.000000
870,1.000000,0.000000
880,-1.000000,0.956102
890,1.000000,0.863547
900,-0.545581,1.000000
910,-0.579216,0.102489
920,1.000000,0.466666
930,0.955630,1.000000
940,-1.000000,0.480385
950,-0.510478,0.387573
960,0.537089,0.000000
970,0.068329,0.686837
980,-0.600148,0.000000
990,0.044679,0.881462
1000,1.000000,1.000000
1010,1.000000,0.649868
1020,-0.533181,0.940130
1030,0.638833,0.500886
1040,-1.000000,0.777075
1050,-1.000000,0.487579
1060,-0.323384,0.300648
1070,-1.000000,0.413810
1080,0.298988,0.203567
1090,-1.000000,0.494876
1100,0.706043,0.000000
1110,-0.120512,0.168556
1120,-0.242723,0.378706
1130,-0.558043,0.064031
1140,-0.156210,0.685046
1150,0.697590,0.703858
1160,-0.250295,0.475953
1170,0.886854,0.625093
1180,0.892787,0.763091
1190,-0.487300,0.462332
1200,-0.542239,0.516535
1210,-0.764439,0.909449
1220,-0.535614,0.590013
1230,-1.000000,1.000000
1240,0.320559,0.023604
1250,1.000000,0.678928
1260,0.882104,1.000000
1270,-0.765356,1.000000
1280,1.000000,0.784228
1290,-0.411157,0.176646
1300,-1.000000,1.000000
1310,0.675156,0.279689
1320,1.000000,0.599946
1330,1.000000,0.000000
1340,-1.000000,0.437834
1350,-1.000000,0.109237
1360,-1.000000,0.203833
1370,1.000000,1.000000
1380,-0.486965,0.532129
1390,0.559087,0.881212
1400,-0.260452,0.559239
1410,-0.550651,1.000000
1420,-0.801021,0.609343
1430,1.000000,0.311133
1440,0.300645,0.201023
1450,0.991314,0.681080
1460,-1.000000,0.002177
1470,1.000000,0.434069
1480,0.369219,0.684295
1490,1.000000,0.448740
1500,-1.000000,0.384731
1510,-0.801021,0.499996
1520,-0.331244,0.488227
1530,-0.099537,0.209357
1540,-0.404913,0.829896
1550,0.331974,1.000000
1560,0.291114,0.849678
1570,-0.755075,0.479325
1580,-1.000000,0.867797
1590,0.578662,0.561624
1600,0.987197,1.000000
1610,0.568108,0.577340
1620,1.000000,0.306584
1630,-1.000000,1.000000
1640,0.789482,0.391749
1650,-1.000000,0.702680
1660,-1.000000,0.318370
1670,0.097708,1.000000
1680,0.382326,0.729261
1690,-0.671258,0.943629
1700,-0.072544,0.944418
1710,0.235969,0.779614
1720,0.333085,0.180108
1730,-0.323164,1.000000
1740,0.668625,0.727961
1750,-0.484477,0.337664
1760,-0.811029,1.000000
1770,-0.891051,0.000000
1780,-1.000000,0.000000
1790,1.000000,0.000000
1800,0.909005,0.315892
1810,1.000000,1.000000
1820,0.506951,0.000000
1830,-0.672982,0.000000
1840,-0.049467,0.546105
1850,0.314083,0.608473
1860,0.306161,0.270415
1870,-0.002265,0.622567
1880,0.191567,0.000000
1890,0.742988,1.000000
1900,1.000000,0.562326
1910,0.472212,1.000000
1920,-0.576254,0.988741
1930,1.000000,1.000000
1940,1.000000,0.977366
1950,0.535656,0.000000
1960,-0.706198,1.000000
1970,1.000000,0.369062
1980,-0.019721,0.384069
1990,0.760723,0.397653
2000,-1.000000,0.000000
2010,1.000000,0.581461
2020,0.661921,0.386207
2030,-1.000000,0.641890
2040,0.053788,0.000000
2050,-0.579828,0.509385
2060,-0.739454,0.595578
2070,-1.000000,1.000000
2080,-1.000000,0.000000
2090,0.249949,0.031512
2100,1.000000,1.000000
2110,1.000000,0.841770
2120,0.640896,0.806901
2130,-0.154565,0.000000
2140,1.000000,0.381002
2150,-1.000000,0.795544
2160,1.000000,1.000000
2170,-0.197854,0.982196
2180,0.728988,0.000000
2190,-0.327756,1.000000
2200,-0.048495,0.000000
2210,-1.000000,0.132982
2220,0.492525,0.421934
2230,0.816207,1.000000
2240,-0.877271,0.340623
2250,0.221691,0.000000
2260,-0.028648,1.000000
2270,-0.299069,0.745222
2280,0.659571,0.715418
2290,0.507549,1.000000
2300,1.000000,0.866706
2310,-1.000000,0.374896
2320,0.171875,0.024958
2330,1.000000,0.502265
2340,-1.000000,0.761907
2350,-0.402601,0.112055
2360,0.708346,1.000000
2370,0.293164,0.000000
2380,1.000000,0.763797
2390,1.000000,1.000000
2400,-1.000000,0.365510
2410,-0.220956,0.868149
2420,-0.517544,0.139520
2430,-0.293052,0.907996
2440,-0.348272,0.156522
2450,-1.000000,0.586380
2460,-0.954385,0.926804
