timestep,ep_rew_mean,ep_len_mean,explained_variance,value_loss,entropy,approx_kl,clip_fraction,std,intervention_rate,emergency_rate,int_rate_C-01,int_rate_C-02,int_rate_C-03,int_rate_C-04,int_rate_C-05,int_rate_C-06
1024,8.038047,17.085,nan,nan,nan,nan,nan,nan,0.940430,0.053711,0.015625,0.120117,0.083984,0.001953,0.044922,0.921875
2048,9.640274,18.670,-0.018620,1.650734,2.830429,0.005440,0.064551,0.992602,0.943359,0.045898,0.015625,0.059570,0.074219,0.006836,0.036133,0.931641
3072,10.840098,20.530,-0.361856,0.602421,2.833467,0.005464,0.048340,1.002589,0.950195,0.041992,0.022461,0.041992,0.082031,0.005859,0.036133,0.934570
4096,12.091465,22.900,0.306774,0.307143,2.846821,0.014655,0.075293,1.005593,0.949219,0.041992,0.008789,0.050781,0.113281,0.007812,0.037109,0.935547
5120,10.586597,21.440,0.574884,0.330832,2.853465,0.008555,0.099512,1.010651,0.945312,0.039062,0.018555,0.042969,0.052734,0.009766,0.035156,0.933594
6144,12.854459,21.510,0.371642,0.227933,2.850504,0.004804,0.080273,1.002816,0.944336,0.041016,0.021484,0.040039,0.092773,0.006836,0.038086,0.931641
7168,19.402940,25.730,0.466215,0.165891,2.839979,0.008379,0.087695,1.000425,0.952148,0.025391,0.012695,0.017578,0.070312,0.004883,0.021484,0.946289
8192,18.986669,24.330,0.592549,0.233827,2.835364,0.011135,0.099707,0.997334,0.963867,0.038086,0.011719,0.046875,0.084961,0.001953,0.031250,0.943359
9216,12.408344,20.730,0.724367,0.119652,2.834903,0.015319,0.150488,1.000222,0.951172,0.047852,0.038086,0.067383,0.127930,0.001953,0.040039,0.931641
10240,8.255816,16.690,-0.605613,0.348369,2.834812,0.017363,0.159082,0.995473,0.943359,0.055664,0.035156,0.047852,0.156250,0.007812,0.046875,0.925781
11264,13.544880,20.420,0.382673,0.136361,2.828361,0.015571,0.130273,0.995102,0.953125,0.034180,0.006836,0.056641,0.050781,0.010742,0.033203,0.943359
12288,14.741496,21.140,0.647727,0.134333,2.832524,0.015405,0.160254,1.000464,0.942383,0.054688,0.035156,0.069336,0.150391,0.007812,0.046875,0.922852
13312,10.476697,18.590,0.167059,0.148124,2.837169,0.022227,0.205859,0.996080,0.945312,0.045898,0.025391,0.051758,0.072266,0.006836,0.041992,0.927734
14336,10.950258,21.290,0.388442,0.167448,2.823043,0.019124,0.174316,0.988489,0.955078,0.039062,0.026367,0.056641,0.127930,0.001953,0.034180,0.943359
15360,14.090906,24.380,0.450589,0.075848,2.807883,0.041158,0.206836,0.981728,0.953125,0.034180,0.027344,0.066406,0.110352,0.003906,0.032227,0.944336
16384,11.527941,16.990,0.723988,0.087897,2.793919,0.029811,0.236816,0.974920,0.939453,0.066406,0.030273,0.104492,0.121094,0.014648,0.055664,0.912109
17408,8.193656,14.570,0.408757,0.171938,2.787389,0.028020,0.213672,0.975262,0.938477,0.065430,0.032227,0.102539,0.115234,0.008789,0.055664,0.909180
18432,10.664499,16.900,0.399755,0.133485,2.781206,0.034404,0.261621,0.967805,0.940430,0.047852,0.022461,0.102539,0.129883,0.006836,0.042969,0.925781
19456,9.547382,16.440,0.211460,0.151325,2.769270,0.039928,0.269434,0.964049,0.933594,0.059570,0.017578,0.066406,0.145508,0.012695,0.049805,0.908203
20480,10.281729,16.080,0.449281,0.121918,2.757946,0.043642,0.245508,0.954449,0.939453,0.063477,0.014648,0.110352,0.138672,0.014648,0.055664,0.915039
21504,5.887120,12.720,0.446546,0.134655,2.745189,0.050766,0.312988,0.954589,0.941406,0.073242,0.052734,0.080078,0.108398,0.006836,0.059570,0.904297
22528,9.738263,15.440,0.563144,0.087657,2.744764,0.040596,0.251465,0.953327,0.932617,0.056641,0.018555,0.044922,0.081055,0.013672,0.048828,0.914062
23552,16.443976,20.620,0.497299,0.152254,2.731437,0.046624,0.265820,0.941822,0.956055,0.039062,0.004883,0.074219,0.076172,0.006836,0.036133,0.938477
24576,18.131884,23.220,0.752301,0.118576,2.712040,0.038027,0.307715,0.935062,0.943359,0.036133,0.000977,0.049805,0.051758,0.006836,0.031250,0.928711
25600,12.819728,18.350,0.681354,0.174631,2.710994,0.027451,0.258008,0.941429,0.941406,0.062500,0.021484,0.036133,0.107422,0.011719,0.050781,0.916992
26624,9.669071,15.450,0.354873,0.288830,2.713573,0.051215,0.278027,0.935063,0.938477,0.058594,0.017578,0.081055,0.113281,0.011719,0.052734,0.916016
27648,11.470557,16.510,-0.022382,0.148240,2.698208,0.077286,0.315918,0.926824,0.941406,0.045898,0.013672,0.044922,0.088867,0.008789,0.041016,0.926758
28672,13.591650,19.530,0.662118,0.148655,2.686425,0.050911,0.333008,0.925766,0.933594,0.049805,0.010742,0.032227,0.110352,0.010742,0.038086,0.912109
29696,18.948418,25.060,0.669834,0.158153,2.679050,0.089035,0.315625,0.921168,0.948242,0.034180,0.013672,0.022461,0.066406,0.005859,0.031250,0.939453
30720,15.802319,21.140,0.643220,0.191203,2.665604,0.049491,0.347461,0.912300,0.932617,0.057617,0.029297,0.065430,0.085938,0.016602,0.045898,0.907227
31744,14.402841,19.090,0.433975,0.327484,2.653106,0.076074,0.351367,0.909116,0.938477,0.040039,0.019531,0.066406,0.106445,0.010742,0.035156,0.919922
32768,18.412007,22.980,0.511174,0.168726,2.647524,0.063240,0.343652,0.907344,0.946289,0.035156,0.001953,0.039062,0.059570,0.008789,0.026367,0.934570
33792,23.087906,27.670,0.530947,0.244753,2.644720,0.046065,0.318164,0.906763,0.952148,0.032227,0.015625,0.036133,0.129883,0.004883,0.027344,0.940430
34816,24.951510,28.700,0.672635,0.088329,2.630527,0.112020,0.362402,0.892410,0.929688,0.041016,0.011719,0.033203,0.104492,0.011719,0.035156,0.917969
35840,15.660350,18.650,0.710280,0.104928,2.608828,0.059109,0.334570,0.887277,0.923828,0.059570,0.016602,0.041992,0.089844,0.018555,0.048828,0.903320
36864,14.564771,17.240,0.568655,0.173405,2.592126,0.083669,0.398340,0.878757,0.932617,0.050781,0.013672,0.049805,0.057617,0.017578,0.046875,0.912109
37888,15.890310,17.470,0.543831,0.237482,2.580789,0.053846,0.338867,0.878019,0.916016,0.055664,0.002930,0.064453,0.083008,0.018555,0.047852,0.897461
38912,14.164408,17.370,0.662679,0.203097,2.567291,0.096622,0.379004,0.865733,0.936523,0.059570,0.004883,0.026367,0.091797,0.014648,0.043945,0.908203
