timestep,raw_steer,raw_throttle
10,-0.295363,0.275554
20,0.941583,1.000000
30,-0.857739,0.169043
40,-0.940859,0.172725
50,-0.138528,1.000000
60,-1.000000,0.797383
70,0.546901,0.652132
80,0.201272,0.939460
90,-0.153852,0.000000
100,0.119685,1.000000
110,-0.090335,0.357907
120,1.000000,0.177636
130,1.000000,0.064505
140,-1.000000,0.306255
150,-1.000000,0.152669
160,0.201195,0.273837
170,0.189291,1.000000
180,0.744956,0.666916
190,0.038120,0.350119
200,-0.710436,0.474606
210,1.000000,0.102852
220,-0.448480,0.543008
230,0.127931,0.546683
240,-0.437482,0.000000
250,1.000000,0.000000
260,1.000000,1.000000
270,0.228444,0.474681
280,-1.000000,0.208487
290,0.611313,0.714959
300,-0.202281,0.000000
310,0.003726,1.000000
320,0.450812,0.000000
330,1.000000,0.270269
340,-0.727151,0.988788
350,-1.000000,0.372625
360,0.160389,0.164194
370,-0.005055,1.000000
380,-1.000000,0.444545
390,-0.098656,1.000000
400,0.969600,0.000000
410,0.173663,0.371769
420,1.000000,0.017173
430,1.000000,0.000000
440,0.244267,0.295096
450,0.057876,0.469030
460,-0.223874,0.273366
470,1.000000,0.539387
480,-0.606788,0.558930
490,-0.106938,1.000000
500,1.000000,0.280373
510,1.000000,0.789583
520,-1.000000,1.000000
530,0.253247,0.000000
540,-1.000000,0.156101
550,1.000000,0.500690
560,1.000000,1.000000
570,-0.478656,0.845053
580,-0.034351,0.737129
590,1.000000,0.523017
600,0.946673,1.000000
610,0.668674,0.478679
620,1.000000,0.239427
630,-0.798504,0.325953
640,-0.125949,0.729235
650,-0.926016,0.555177
660,-0.455270,0.647044
670,-0.106235,1.000000
680,-0.017107,0.270887
690,-0.711215,1.000000
700,1.000000,0.000000
710,-1.000000,1.000000
720,-0.525524,1.000000
730,-1.000000,0.000000
740,0.356974,0.289666
750,-1.000000,0.027529
760,-1.000000,0.743188
770,0.226877,1.000000
780,0.891225,0.234034
790,1.000000,0.465699
800,-1.000000,1.000000
810,0.728566,0.598875
820,0.302560,0.600807
