timestep,ep_rew_mean,ep_len_mean,explained_variance,value_loss,entropy,approx_kl,clip_fraction,std,intervention_rate,emergency_rate,int_rate_C-01,int_rate_C-02,int_rate_C-03,int_rate_C-04,int_rate_C-05,int_rate_C-06
1024,11.593442,24.439,nan,nan,nan,nan,nan,nan,0.940430,0.035156,0.026367,0.028320,0.090820,0.025391,0.035156,0.937500
2048,16.942819,27.280,-0.007579,0.950215,2.824765,0.014676,0.075977,0.989190,0.951172,0.031250,0.007812,0.001953,0.153320,0.022461,0.031250,0.949219
3072,16.657240,25.940,0.191773,0.424444,2.816643,0.012033,0.089648,0.990458,0.951172,0.036133,0.008789,0.016602,0.087891,0.023438,0.036133,0.945312
4096,18.368028,28.100,0.500985,0.255162,2.813125,0.021027,0.131055,0.984969,0.957031,0.026367,0.010742,0.013672,0.063477,0.017578,0.026367,0.954102
5120,17.604581,27.890,0.695733,0.275771,2.805713,0.021967,0.198730,0.983722,0.939453,0.039062,0.004883,0.015625,0.076172,0.027344,0.039062,0.933594
6144,18.865796,29.330,0.360452,0.169647,2.794306,0.028209,0.228516,0.970075,0.949219,0.032227,0.010742,0.010742,0.061523,0.025391,0.032227,0.948242
7168,18.164454,27.880,0.638631,0.138570,2.773046,0.045006,0.273340,0.966145,0.951172,0.033203,0.005859,0.001953,0.084961,0.025391,0.033203,0.948242
8192,19.673114,33.460,0.780990,0.086449,2.761138,0.046653,0.298535,0.956135,0.965820,0.016602,0.000000,0.003906,0.062500,0.012695,0.016602,0.964844
9216,21.850537,38.300,0.741591,0.094194,2.741737,0.037904,0.310254,0.948474,0.952148,0.019531,0.000000,0.007812,0.060547,0.014648,0.019531,0.946289
10240,24.637447,42.200,0.823350,0.098976,2.724285,0.046555,0.338086,0.940421,0.949219,0.019531,0.008789,0.012695,0.038086,0.012695,0.019531,0.948242
11264,24.374075,46.380,0.755944,0.131880,2.710639,0.056769,0.334375,0.934476,0.960938,0.019531,0.007812,0.004883,0.035156,0.014648,0.019531,0.959961
12288,25.752767,50.750,0.857457,0.091343,2.684039,0.042098,0.343164,0.914854,0.950195,0.019531,0.011719,0.002930,0.041016,0.012695,0.019531,0.948242
13312,25.009076,45.630,0.833431,0.115219,2.657295,0.051925,0.292187,0.910930,0.944336,0.024414,0.000000,0.011719,0.055664,0.016602,0.024414,0.943359
14336,25.299152,45.600,0.855484,0.125636,2.641417,0.057655,0.334180,0.898167,0.963867,0.018555,0.006836,0.001953,0.007812,0.016602,0.018555,0.962891
15360,25.153656,45.120,0.764450,0.183208,2.605236,0.067039,0.375977,0.879360,0.949219,0.023438,0.004883,0.010742,0.039062,0.022461,0.023438,0.948242
16384,27.897443,46.070,0.895468,0.071075,2.574564,0.061828,0.370898,0.872010,0.954102,0.020508,0.007812,0.001953,0.033203,0.015625,0.020508,0.952148
17408,24.835657,44.860,0.868274,0.115491,2.558473,0.057117,0.358008,0.866719,0.943359,0.020508,0.000000,0.006836,0.031250,0.017578,0.020508,0.941406
18432,27.655701,49.600,0.886010,0.074929,2.538073,0.070479,0.366699,0.852815,0.945312,0.014648,0.000000,0.003906,0.000977,0.013672,0.014648,0.945312
19456,24.335921,50.290,0.530344,0.056627,2.513859,0.079059,0.376270,0.845114,0.935547,0.017578,0.000000,0.005859,0.003906,0.013672,0.017578,0.934570
20480,26.335401,53.680,0.701057,0.025023,2.494910,0.068521,0.360254,0.838455,0.957031,0.016602,0.000000,0.002930,0.054688,0.011719,0.016602,0.955078
21504,24.423353,52.600,0.819357,0.037288,2.481803,0.106410,0.440918,0.830156,0.945312,0.019531,0.000000,0.007812,0.008789,0.015625,0.019531,0.944336
22528,28.255537,60.320,0.851825,0.030849,2.465339,0.082621,0.394727,0.828403,0.947266,0.012695,0.001953,0.016602,0.006836,0.008789,0.012695,0.946289
23552,28.094717,60.510,0.896269,0.038651,2.457441,0.075623,0.387207,0.822776,0.957031,0.018555,0.000977,0.002930,0.053711,0.012695,0.018555,0.957031
24576,28.871958,56.340,0.870325,0.046159,2.451247,0.087279,0.406250,0.822634,0.954102,0.019531,0.000977,0.006836,0.020508,0.014648,0.019531,0.954102
25600,30.894003,59.570,0.808825,0.044890,2.441636,0.087730,0.401270,0.816167,0.957031,0.011719,0.000000,0.000000,0.029297,0.008789,0.011719,0.957031
26624,30.972962,58.430,0.881290,0.053354,2.423860,0.075129,0.388867,0.806326,0.948242,0.019531,0.000000,0.034180,0.082031,0.008789,0.019531,0.946289
27648,33.362478,61.860,0.828641,0.035445,2.405919,0.212300,0.510156,0.801468,0.950195,0.013672,0.001953,0.000977,0.059570,0.006836,0.013672,0.950195
28672,33.868663,60.060,0.780779,0.064015,2.392225,0.149470,0.475098,0.794216,0.948242,0.015625,0.000000,0.000000,0.038086,0.013672,0.015625,0.947266
29696,33.068366,58.990,0.795568,0.072025,2.367115,0.110170,0.465625,0.783191,0.916992,0.023438,0.000000,0.008789,0.019531,0.018555,0.023438,0.916016
30720,30.980803,57.450,0.793512,0.029246,2.341097,0.123046,0.451465,0.773537,0.935547,0.017578,0.000977,0.006836,0.011719,0.015625,0.017578,0.933594
31744,31.467426,59.350,0.750849,0.038188,2.308580,0.104031,0.470996,0.759061,0.948242,0.010742,0.000000,0.007812,0.020508,0.009766,0.010742,0.948242
32768,32.666607,58.380,0.825811,0.061504,2.283469,0.122507,0.442773,0.754068,0.944336,0.014648,0.029297,0.001953,0.140625,0.004883,0.014648,0.937500
33792,33.186922,57.590,0.799192,0.071144,2.268227,0.167088,0.487695,0.747716,0.947266,0.015625,0.011719,0.000977,0.052734,0.010742,0.015625,0.944336
34816,33.685778,59.090,0.856196,0.074666,2.240286,0.158601,0.499805,0.733498,0.921875,0.018555,0.001953,0.003906,0.025391,0.012695,0.018555,0.919922
35840,37.032599,62.590,0.839930,0.088264,2.208091,0.187128,0.477734,0.724995,0.939453,0.011719,0.000000,0.000977,0.017578,0.009766,0.011719,0.939453
36864,39.122622,64.900,0.860083,0.131779,2.192279,0.131249,0.482324,0.722625,0.929688,0.016602,0.000000,0.000000,0.020508,0.015625,0.016602,0.926758
37888,36.832382,55.810,0.847745,0.078525,2.186014,0.193036,0.482129,0.718208,0.932617,0.023438,0.003906,0.007812,0.039062,0.019531,0.023438,0.927734
