timestep,raw_steer,raw_throttle
10,-0.293837,0.275978
20,0.941654,1.000000
30,-0.857376,0.168276
40,-0.939628,0.173045
50,-0.137065,1.000000
60,-1.000000,0.796875
70,0.548892,0.651256
80,0.201068,0.939810
90,-0.154432,0.000000
100,0.120968,1.000000
110,-0.087440,0.357185
120,1.000000,0.177856
130,1.000000,0.064396
140,-1.000000,0.306546
150,-1.000000,0.153329
160,0.200616,0.274985
170,0.190825,1.000000
180,0.745164,0.668487
190,0.039634,0.349867
200,-0.712207,0.474808
210,1.000000,0.103865
220,-0.452210,0.544295
230,0.127760,0.547280
240,-0.434518,0.000000
250,1.000000,0.000000
260,1.000000,1.000000
270,0.229639,0.473347
280,-1.000000,0.208370
290,0.611989,0.715243
300,-0.200585,0.000000
310,0.002337,1.000000
320,0.452391,0.000000
330,1.000000,0.270895
340,-0.725133,0.988843
350,-1.000000,0.371385
360,0.159146,0.163068
370,-0.007121,1.000000
380,-1.000000,0.443216
390,-0.098625,1.000000
400,0.969336,0.000000
410,0.172642,0.371745
420,1.000000,0.016920
430,1.000000,0.000000
440,0.243298,0.294602
450,0.058164,0.468349
460,-0.225278,0.273353
470,1.000000,0.538126
480,-0.607782,0.558660
490,-0.106538,1.000000
500,1.000000,0.282125
510,1.000000,0.789669
520,-1.000000,1.000000
530,0.253920,0.000000
540,-1.000000,0.155723
550,1.000000,0.499956
560,1.000000,1.000000
570,-0.477732,0.844025
580,-0.032674,0.736315
590,1.000000,0.523001
600,0.944436,1.000000
610,0.668863,0.478178
620,1.000000,0.237941
630,-0.797871,0.324782
640,-0.129459,0.729598
650,-0.925929,0.554682
660,-0.455269,0.647013
670,-0.104468,1.000000
680,-0.018131,0.272645
690,-0.713588,1.000000
700,1.000000,0.000000
710,-1.000000,1.000000
720,-0.521576,1.000000
730,-1.000000,0.000000
740,0.354406,0.290430
750,-1.000000,0.026115
760,-1.000000,0.741839
770,0.227460,1.000000
780,0.895710,0.232974
790,1.000000,0.465928
800,-1.000000,1.000000
810,0.730593,0.597385
820,0.303226,0.600699
830,-0.222754,0.276547
840,0.367728,0.146224
850,0.696454,0.070639
860,0.113933,0.000000
870,1.000000,0.000000
880,-1.000000,0.957814
890,1.000000,0.865523
900,-0.548487,1.000000
910,-0.581129,0.102785
920,1.000000,0.466485
930,0.953052,1.000000
940,-1.000000,0.480867
950,-0.511403,0.388562
960,0.537324,0.000000
970,0.068016,0.688012
980,-0.601210,0.000000
990,0.044851,0.881160
1000,1.000000,1.000000
1010,1.000000,0.647124
1020,-0.535029,0.939777
1030,0.682324,0.509121
1040,-0.929532,0.824811
1050,-1.000000,0.428498
1060,-0.279504,0.320898
1070,-1.000000,0.425948
1080,0.368249,0.230548
1090,-1.000000,0.547333
1100,0.776652,0.000000
1110,-0.038002,0.121034
1120,-0.036713,0.359386
1130,-0.519203,0.076835
1140,-0.166142,0.653677
1150,0.728262,0.693635
1160,-0.194807,0.476289
1170,0.948501,0.621999
1180,0.959592,0.807940
1190,-0.472054,0.440935
1200,-0.486285,0.539717
1210,-0.712575,0.937275
1220,-0.535805,0.568740
1230,-1.000000,1.000000
1240,0.366087,0.046560
1250,1.000000,0.703486
1260,0.922984,1.000000
1270,-0.740810,1.000000
1280,1.000000,0.804041
1290,-0.377754,0.198470
1300,-1.000000,1.000000
1310,0.705025,0.301407
1320,1.000000,0.617044
1330,1.000000,0.000000
1340,-0.987412,0.467581
1350,-1.000000,0.130429
1360,-1.000000,0.232771
1370,1.000000,1.000000
1380,-0.389687,0.588215
1390,0.660411,0.922513
1400,-0.049980,0.535439
1410,-0.472975,1.000000
1420,-0.720556,0.670686
1430,1.000000,0.342898
1440,0.503782,0.168072
1450,1.000000,0.716291
1460,-0.951825,0.022639
1470,1.000000,0.539175
1480,0.428640,0.719111
1490,1.000000,0.477706
1500,-1.000000,0.410270
1510,-0.732659,0.533826
1520,-0.224584,0.522231
1530,-0.018488,0.253538
1540,-0.313035,0.894615
1550,0.432862,1.000000
1560,0.491597,0.804497
1570,-0.687247,0.490385
1580,-1.000000,0.894464
1590,0.677464,0.589222
1600,1.000000,0.973197
1610,0.617692,0.599319
1620,1.000000,0.307841
1630,-1.000000,1.000000
1640,1.000000,0.306188
1650,-1.000000,0.712334
1660,-1.000000,0.336519
1670,0.190087,1.000000
1680,0.391307,0.714775
1690,-0.706845,0.887178
1700,-0.042925,0.949559
1710,0.258569,0.782208
1720,0.391532,0.208582
1730,-0.258616,1.000000
1740,0.700861,0.737709
1750,-0.457408,0.351358
1760,-0.756415,1.000000
1770,-0.871020,0.000000
1780,-1.000000,0.000000
1790,1.000000,0.000000
1800,0.945328,0.349209
1810,1.000000,1.000000
1820,0.555092,0.000000
1830,-0.596532,0.000000
1840,0.035009,0.582523
1850,0.489445,0.588302
1860,0.327800,0.267143
1870,0.025155,0.650708
1880,0.231879,0.000000
1890,0.788999,1.000000
1900,1.000000,0.613530
1910,0.514662,1.000000
1920,-0.541004,1.000000
1930,1.000000,1.000000
1940,1.000000,0.996300
1950,0.584327,0.000000
1960,-0.663951,1.000000
1970,1.000000,0.339979
1980,0.040629,0.407345
1990,0.822669,0.424041
2000,-1.000000,0.000000
2010,1.000000,0.617422
2020,0.721810,0.419972
2030,-1.000000,0.665359
2040,0.111716,0.000000
2050,-0.573231,0.555109
2060,-0.758749,0.669562
2070,-1.000000,1.000000
2080,-1.000000,0.000000
2090,0.281440,0.044067
2100,1.000000,0.975742
2110,1.000000,0.894171
2120,0.745152,0.756274
2130,0.022679,0.000000
2140,1.000000,0.383487
2150,-1.000000,0.786001
2160,1.000000,1.000000
2170,-0.064480,0.946603
2180,0.940867,0.000000
2190,-0.196841,1.000000
2200,-0.039130,0.000000
2210,-1.000000,0.118061
2220,0.578443,0.480112
2230,0.794170,1.000000
2240,-0.793213,0.347375
2250,0.385944,0.000000
2260,0.154131,1.000000
2270,-0.203152,0.718966
2280,0.795627,0.685448
2290,0.553905,1.000000
2300,1.000000,0.802330
2310,-1.000000,0.420905
2320,0.154911,0.074327
2330,1.000000,0.481115
2340,-1.000000,0.732176
2350,-0.490210,0.222247
2360,0.663400,1.000000
2370,0.283098,0.000000
2380,1.000000,0.808139
2390,1.000000,1.000000
2400,-1.000000,0.335069
2410,-0.092493,0.933173
2420,-0.403467,0.076050
2430,-0.104274,0.957003
2440,-0.326164,0.189098
2450,-1.000000,0.586975
2460,-0.949885,0.905164
2470,0.089006,1.000000
2480,1.000000,1.000000
2490,-0.371561,0.546371
2500,0.546486,0.349574
2510,0.282208,0.223184
2520,0.801830,1.000000
2530,0.431385,0.529368
2540,0.821766,0.262798
2550,0.922580,0.000000
2560,0.019902,0.769513
2570,0.313552,1.000000
2580,-0.393735,0.179984
2590,-0.399552,0.980705
2600,-0.738324,1.000000
2610,-1.000000,0.383040
2620,0.183110,0.434425
2630,-0.677319,1.000000
2640,-1.000000,0.235362
2650,1.000000,0.203986
2660,0.535313,0.307251
2670,-0.274693,0.000000
2680,-0.733178,1.000000
2690,-0.509107,0.621021
2700,0.017605,0.269970
2710,1.000000,0.632886
2720,-0.288247,1.000000
2730,-1.000000,0.334200
2740,-0.281181,0.000000
2750,-0.125548,0.826894
2760,-0.362181,0.669480
2770,-0.347635,0.847093
2780,0.195907,0.495087
2790,-1.000000,1.000000
2800,0.686144,0.635114
2810,-1.000000,1.000000
2820,0.544451,0.465783
2830,-0.725755,0.757257
2840,-0.293605,0.391659
2850,1.000000,0.291846
2860,-0.320760,0.000000
2870,0.818282,0.339542
2880,-1.000000,0.390532
2890,0.662004,0.000000
2900,-0.035029,0.081942
2910,1.000000,0.000000
2920,-0.967288,0.444717
2930,1.000000,0.373900
2940,0.421509,0.000000
2950,-0.452674,0.280251
2960,0.648173,0.320291
2970,-1.000000,0.471032
2980,0.423255,0.263783
2990,1.000000,0.708854
3000,0.164006,0.827460
3010,-0.171846,0.117403
3020,-0.150276,0.456370
3030,0.779673,0.091806
3040,-0.883267,0.528463
3050,1.000000,0.511376
3060,0.565079,0.274555
3070,-0.138930,1.000000
3080,-0.532233,0.568784
3090,-0.571919,0.700699
3100,0.118719,0.738523
