timestep,ep_rew_mean,ep_len_mean,explained_variance,value_loss,entropy,approx_kl,clip_fraction,std,intervention_rate,emergency_rate,int_rate_C-01,int_rate_C-02,int_rate_C-03,int_rate_C-04,int_rate_C-05,int_rate_C-06
1024,10.226974,24.594,nan,nan,nan,nan,nan,nan,0.956055,0.029297,0.044922,0.068359,0.117188,0.000977,0.023438,0.945312
2048,18.595988,33.459,-0.019438,1.048365,2.834139,0.005120,0.064355,0.994520,0.958008,0.025391,0.035156,0.026367,0.125000,0.002930,0.022461,0.951172
3072,16.759845,31.740,0.475004,0.406119,2.818118,0.013355,0.100977,0.985420,0.956055,0.028320,0.038086,0.028320,0.129883,0.004883,0.020508,0.948242
4096,17.455208,32.960,0.073619,0.339712,2.813988,0.010398,0.109668,0.989396,0.957031,0.026367,0.027344,0.055664,0.133789,0.004883,0.023438,0.953125
5120,17.686718,34.260,0.247701,0.277249,2.815815,0.037096,0.195117,0.986679,0.959961,0.020508,0.016602,0.012695,0.060547,0.003906,0.015625,0.953125
6144,18.925961,37.090,0.381351,0.205003,2.804196,0.028672,0.216113,0.979303,0.959961,0.022461,0.032227,0.015625,0.136719,0.000000,0.020508,0.953125
7168,19.745966,36.550,0.557602,0.104206,2.785926,0.040336,0.235840,0.968133,0.957031,0.024414,0.020508,0.023438,0.065430,0.003906,0.021484,0.951172
8192,24.217463,41.920,0.321024,0.293059,2.772261,0.033453,0.251465,0.966590,0.971680,0.011719,0.035156,0.001953,0.027344,0.005859,0.010742,0.969727
9216,26.415567,41.860,0.565910,0.225635,2.776302,0.039164,0.258203,0.970745,0.964844,0.019531,0.025391,0.034180,0.088867,0.001953,0.016602,0.956055
10240,27.362849,41.870,0.653357,0.217094,2.773477,0.045656,0.315723,0.962071,0.970703,0.016602,0.033203,0.012695,0.107422,0.004883,0.014648,0.965820
11264,32.403558,47.210,0.755647,0.204138,2.759603,0.040834,0.296777,0.961172,0.967773,0.016602,0.002930,0.034180,0.073242,0.001953,0.015625,0.965820
12288,32.054806,45.710,0.327012,0.396153,2.758551,0.136085,0.192383,0.960925,0.963867,0.019531,0.008789,0.021484,0.056641,0.004883,0.017578,0.959961
13312,33.934704,44.630,0.742698,0.152670,2.757473,0.240459,0.169859,0.960559,0.952148,0.021484,0.020508,0.002930,0.084961,0.001953,0.017578,0.948242
14336,33.971168,44.270,0.684833,0.152446,2.759207,0.131611,0.300781,0.959393,0.951172,0.025391,0.034180,0.022461,0.106445,0.004883,0.021484,0.944336
15360,31.410469,40.910,0.618854,0.356843,2.755414,0.340303,0.150240,0.960101,0.962891,0.021484,0.016602,0.067383,0.082031,0.003906,0.020508,0.957031
16384,32.034218,42.000,-0.248594,0.748441,2.757746,0.560321,0.166071,0.961349,0.955078,0.018555,0.003906,0.020508,0.031250,0.003906,0.013672,0.949219
17408,32.204194,43.030,0.518767,0.232621,2.759452,0.328899,0.130952,0.961498,0.959961,0.019531,0.016602,0.031250,0.064453,0.006836,0.016602,0.955078
18432,34.710659,43.900,0.377969,0.396746,2.762710,0.042280,0.245410,0.964338,0.953125,0.024414,0.024414,0.014648,0.081055,0.006836,0.020508,0.945312
19456,33.883050,43.830,0.597106,0.305630,2.766324,0.935296,0.244101,0.965405,0.956055,0.025391,0.021484,0.019531,0.113281,0.002930,0.018555,0.945312
20480,32.137672,42.480,0.292386,0.315415,2.767513,0.203853,0.055398,0.965400,0.958984,0.018555,0.018555,0.014648,0.065430,0.003906,0.018555,0.956055
21504,33.649727,45.740,0.693116,0.182192,2.768015,0.380527,0.247225,0.965961,0.969727,0.006836,0.009766,0.004883,0.024414,0.001953,0.005859,0.968750
22528,34.387152,46.990,0.625562,0.144290,2.769779,0.141135,0.212859,0.967510,0.957031,0.015625,0.018555,0.009766,0.070312,0.002930,0.011719,0.951172
23552,37.260922,50.600,0.592836,0.312779,2.773521,0.455500,0.166903,0.969491,0.944336,0.015625,0.022461,0.001953,0.076172,0.003906,0.014648,0.942383
24576,42.934896,55.180,0.582714,0.213566,2.777119,0.035623,0.300488,0.967604,0.966797,0.011719,0.002930,0.002930,0.024414,0.004883,0.010742,0.965820
25600,48.630875,61.940,0.613541,0.156276,2.768321,0.039514,0.268164,0.962763,0.969727,0.012695,0.000000,0.001953,0.016602,0.004883,0.008789,0.964844
26624,57.059057,69.520,0.474421,0.191424,2.756469,0.191765,0.269873,0.956032,0.967773,0.009766,0.005859,0.000977,0.019531,0.005859,0.008789,0.964844
27648,59.902589,71.740,0.707899,0.099016,2.742361,0.034524,0.280762,0.948494,0.957031,0.012695,0.014648,0.007812,0.043945,0.006836,0.010742,0.954102
28672,58.369157,69.360,0.562048,0.247781,2.733311,0.150331,0.287500,0.947503,0.957031,0.013672,0.002930,0.012695,0.033203,0.005859,0.012695,0.953125
29696,63.911486,75.890,0.578608,0.252730,2.737462,0.040021,0.264453,0.954191,0.966797,0.010742,0.051758,0.018555,0.065430,0.003906,0.010742,0.961914
