timestep,raw_steer,raw_throttle
1000458,1.000000,0.460988
1000468,0.659094,0.413959
1000478,-0.190824,0.291909
1000488,0.386809,0.436011
1000498,-0.005798,0.380941
1000508,0.305224,0.440933
1000518,1.000000,0.282062
1000528,0.822547,0.417149
1000538,1.000000,0.339299
1000548,0.557586,0.344585
1000558,1.000000,0.233009
1000568,1.000000,0.418171
1000578,0.534189,0.652556
1000588,0.360469,0.495483
1000598,-1.000000,0.383176
1000608,0.172446,0.833226
1000618,-0.971433,0.851003
1000628,0.642924,0.673198
1000638,-0.076042,0.536331
1000648,-0.082339,0.640534
1000658,0.760723,0.386651
1000668,-0.357878,0.544283
1000678,-0.281807,0.509136
1000688,-0.063597,0.588396
1000698,0.020871,0.377970
1000708,-1.000000,0.640004
1000718,0.187628,0.424127
1000728,-0.579989,0.199900
1000738,-0.008679,0.343646
1000748,0.813419,0.330050
1000758,0.734206,0.049969
1000768,-0.021803,0.313844
1000778,1.000000,0.375262
1000788,-0.014797,0.155174
1000798,0.348084,0.223560
1000808,-0.145008,0.098159
1000818,0.475882,0.067879
1000828,0.558113,0.100049
1000838,0.658148,0.441182
1000848,-0.371054,0.243254
1000858,0.517763,0.274267
1000868,1.000000,0.275575
1000878,1.000000,0.447576
1000888,0.598062,0.104382
1000898,0.295886,0.152073
1000908,0.564665,0.150825
1000918,1.000000,0.183410
1000928,-0.175972,0.305165
1000938,0.626202,0.173576
1000948,-0.227153,0.278555
1000958,0.701876,0.089061
1000968,0.824605,0.410763
1000978,-0.242927,0.199795
1000988,0.728119,0.424432
1000998,0.176204,0.303979
1001008,0.854370,0.367380
1001018,1.000000,0.283979
1001028,0.533213,0.321516
1001038,1.000000,0.405996
1001048,1.000000,0.110531
1001058,1.000000,0.011330
1001068,0.273989,1.000000
1001078,1.000000,0.773383
1001088,-0.268775,0.559017
1001098,-0.676681,0.384625
1001108,-0.099721,0.511856
1001118,-0.425794,0.617494
1001128,1.000000,0.373045
1001138,-0.555313,0.932080
1001148,0.658616,0.318881
1001158,-0.974349,1.000000
1001168,1.000000,0.487574
1001178,-0.646916,0.606977
1001188,0.062178,0.444597
1001198,-0.823979,0.445627
1001208,-0.030518,0.494916
1001218,0.761549,0.406623
1001228,0.107577,0.364063
1001238,1.000000,0.099994
1001248,0.023564,0.261687
1001258,0.419058,0.309088
1001268,0.203951,0.430351
1001278,0.989131,0.236622
1001288,1.000000,0.413301
1001298,1.000000,0.000000
1001308,1.000000,0.000000
1001318,1.000000,0.199620
1001328,1.000000,0.266162
1001338,0.581911,0.230208
1001348,1.000000,0.143564
1001358,-0.463897,0.000000
1001368,0.022817,0.146209
1001378,1.000000,0.234506
