timestep,ep_rew_mean,ep_len_mean,explained_variance,value_loss,entropy,approx_kl,clip_fraction,std,intervention_rate,emergency_rate,int_rate_C-01,int_rate_C-02,int_rate_C-03,int_rate_C-04,int_rate_C-05,int_rate_C-06
1001472,185.381664,269.570,nan,nan,nan,nan,nan,nan,0.723633,0.004883,0.002930,0.055664,0.005859,0.000977,0.004883,0.712891
1002496,176.377318,253.020,0.723553,0.336715,-3.956139,0.294607,0.558594,0.034046,0.733398,0.001953,0.023438,0.017578,0.000000,0.000000,0.000977,0.721680
1003520,183.549910,268.610,0.976636,0.016093,-3.956326,0.286909,0.518973,0.034044,0.651367,0.000977,0.001953,0.014648,0.000000,0.000000,0.000977,0.650391
1004544,186.541194,274.770,0.984914,0.014967,-3.955752,0.328897,0.522837,0.034065,0.746094,0.001953,0.000000,0.030273,0.005859,0.000000,0.001953,0.745117
1005568,185.925615,273.700,0.978116,0.022179,-3.954211,0.405280,0.588542,0.034089,0.662109,0.000977,0.000000,0.000977,0.000000,0.000000,0.000977,0.662109
1006592,190.763222,281.800,0.984973,0.012249,-3.952933,0.236728,0.496875,0.034104,0.724609,0.002930,0.000000,0.008789,0.007812,0.000977,0.002930,0.720703
1007616,186.326368,272.630,0.965001,0.044426,-3.952066,0.403018,0.558333,0.034124,0.658203,0.003906,0.000000,0.016602,0.000000,0.000977,0.002930,0.654297
1008640,185.611120,275.150,0.964746,0.035175,-3.950687,0.473545,0.572266,0.034149,0.686523,0.003906,0.015625,0.041992,0.000977,0.000977,0.002930,0.679688
1009664,169.287231,255.650,0.978501,0.033410,-3.949823,0.267662,0.388021,0.034153,0.681641,0.008789,0.003906,0.014648,0.011719,0.000000,0.005859,0.673828
1010688,169.354814,256.660,0.962970,0.047148,-3.949313,0.222310,0.479167,0.034173,0.567383,0.001953,0.000000,0.000000,0.003906,0.000000,0.001953,0.566406
1011712,176.924985,267.360,0.912138,0.030918,-3.947706,0.873182,0.601103,0.034205,0.701172,0.001953,0.000000,0.004883,0.000000,0.000977,0.001953,0.700195
1012736,184.349367,280.280,0.981802,0.019017,-3.946089,0.651776,0.576480,0.034230,0.723633,0.006836,0.002930,0.020508,0.013672,0.001953,0.005859,0.717773
1013760,181.787522,274.450,0.934251,0.118819,-3.944334,0.264656,0.528846,0.034261,0.771484,0.004883,0.000000,0.000977,0.000000,0.002930,0.003906,0.769531
1014784,175.306003,268.570,0.856455,0.208067,-3.942775,0.237819,0.479167,0.034283,0.350586,0.003906,0.000000,0.018555,0.004883,0.000000,0.002930,0.346680
1015808,161.564605,255.150,0.979587,0.029126,-3.941761,0.448506,0.526989,0.034299,0.547852,0.009766,0.002930,0.006836,0.016602,0.002930,0.007812,0.539062
1016832,153.481750,244.200,0.843585,0.313018,-3.940832,0.367127,0.508929,0.034313,0.706055,0.003906,0.000000,0.025391,0.005859,0.000977,0.002930,0.699219
1017856,152.448298,243.520,0.805331,0.222674,-3.939585,0.219057,0.506510,0.034345,0.652344,0.000977,0.000000,0.002930,0.000000,0.000000,0.000977,0.652344
1018880,149.697182,238.350,0.975215,0.019160,-3.937557,0.208187,0.495536,0.034378,0.675781,0.002930,0.000977,0.001953,0.008789,0.000977,0.001953,0.671875
1019904,154.064708,248.580,0.836728,0.169409,-3.935537,0.761645,0.541667,0.034424,0.512695,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.512695
1020928,154.600477,257.870,0.974579,0.016089,-3.933579,0.273567,0.441964,0.034440,0.191406,0.001953,0.000000,0.044922,0.000000,0.000977,0.000977,0.189453
1021952,150.667115,255.800,0.980705,0.025405,-3.931568,0.238907,0.526367,0.034491,0.724609,0.003906,0.000000,0.008789,0.000000,0.001953,0.001953,0.718750
1022976,154.124822,263.440,0.830179,0.129626,-3.928915,0.315077,0.540625,0.034531,0.750977,0.000977,0.000000,0.035156,0.000000,0.000000,0.000977,0.747070
1024000,155.592636,264.740,0.803114,0.116072,-3.926935,0.380415,0.525568,0.034556,0.692383,0.005859,0.000977,0.003906,0.006836,0.000977,0.004883,0.688477
1025024,147.985604,254.100,0.930204,0.046485,-3.925712,1.314485,0.561581,0.034583,0.608398,0.004883,0.000000,0.006836,0.000977,0.001953,0.004883,0.603516
1026048,146.641823,255.050,0.974921,0.016630,-3.923793,0.722516,0.537829,0.034603,0.672852,0.005859,0.002930,0.001953,0.005859,0.000977,0.003906,0.668945
1027072,149.123972,260.020,0.814527,0.145767,-3.923041,0.256334,0.531250,0.034608,0.727539,0.000977,0.000977,0.000977,0.000977,0.000000,0.000977,0.726562
1028096,142.366724,245.670,0.958403,0.022424,-3.922273,0.287809,0.478125,0.034623,0.708008,0.004883,0.002930,0.024414,0.024414,0.000977,0.004883,0.701172
1029120,136.516731,228.780,0.957225,0.047991,-3.921171,0.191988,0.417614,0.034641,0.785156,0.003906,0.000000,0.002930,0.004883,0.001953,0.003906,0.784180
1030144,138.525980,233.520,0.970562,0.027273,-3.920007,0.276070,0.572266,0.034664,0.657227,0.002930,0.002930,0.000000,0.000000,0.000977,0.002930,0.655273
1031168,137.326038,229.460,0.959755,0.035611,-3.918765,0.185563,0.466518,0.034680,0.723633,0.006836,0.000000,0.033203,0.021484,0.000977,0.006836,0.711914
1032192,142.176843,234.580,0.973913,0.019162,-3.917952,0.286979,0.512153,0.034695,0.756836,0.002930,0.000000,0.008789,0.000000,0.001953,0.002930,0.755859
1033216,146.137454,240.240,0.967363,0.034313,-3.917086,0.285699,0.575521,0.034712,0.769531,0.002930,0.000000,0.025391,0.000000,0.000000,0.001953,0.764648
1034240,131.131449,217.640,0.965550,0.027686,-3.916062,0.257089,0.492188,0.034725,0.782227,0.010742,0.000000,0.001953,0.012695,0.003906,0.007812,0.776367
1035264,137.703319,227.790,0.550403,0.281570,-3.915410,0.222823,0.468750,0.034738,0.690430,0.001953,0.000000,0.009766,0.000000,0.000977,0.001953,0.690430
1036288,142.172498,235.280,0.976165,0.019709,-3.914938,0.378189,0.478693,0.034746,0.743164,0.002930,0.000000,0.025391,0.005859,0.000000,0.002930,0.742188
1037312,141.727430,238.850,0.917250,0.051776,-3.914271,0.312629,0.608333,0.034761,0.751953,0.002930,0.000977,0.006836,0.008789,0.000000,0.001953,0.750000
1038336,143.175581,231.240,0.959333,0.026562,-3.912985,0.314751,0.565848,0.034784,0.672852,0.006836,0.000000,0.002930,0.004883,0.000977,0.005859,0.668945
1039360,146.907678,238.310,0.882601,0.124260,-3.911674,0.304228,0.447917,0.034801,0.679688,0.000977,0.000000,0.000000,0.000000,0.000000,0.000977,0.678711
1040384,150.011920,246.280,0.955657,0.022644,-3.910556,0.361938,0.602539,0.034826,0.533203,0.001953,0.000000,0.000000,0.000000,0.000977,0.001953,0.532227
1041408,152.461485,249.500,0.950868,0.040091,-3.909429,0.212130,0.378906,0.034836,0.495117,0.006836,0.010742,0.031250,0.036133,0.000977,0.005859,0.486328
1042432,147.627919,239.140,0.904421,0.040318,-3.909145,0.323734,0.543750,0.034838,0.697266,0.004883,0.004883,0.001953,0.019531,0.000000,0.003906,0.694336
1043456,149.815943,242.590,0.917248,0.067832,-3.908178,0.212403,0.519792,0.034869,0.733398,0.001953,0.000000,0.004883,0.003906,0.000977,0.001953,0.732422
1044480,149.238457,230.950,0.927674,0.054134,-3.906803,0.312389,0.545573,0.034885,0.664062,0.005859,0.007812,0.010742,0.021484,0.000977,0.005859,0.658203
1045504,142.725245,219.480,0.965347,0.035608,-3.906102,0.238074,0.525568,0.034893,0.709961,0.006836,0.000000,0.023438,0.023438,0.001953,0.005859,0.704102
1046528,146.693836,227.080,0.971091,0.028478,-3.905770,0.224834,0.507212,0.034894,0.748047,0.001953,0.000000,0.000977,0.002930,0.000000,0.001953,0.747070
1047552,150.705218,228.760,0.932178,0.039010,-3.905052,0.793048,0.572917,0.034918,0.653320,0.007812,0.000000,0.001953,0.000000,0.003906,0.005859,0.647461
1048576,150.400737,225.690,0.961014,0.038473,-3.903526,1.018958,0.512868,0.034947,0.717773,0.004883,0.000000,0.004883,0.000977,0.000977,0.004883,0.713867
1049600,147.877589,219.390,0.892479,0.109066,-3.901551,1.383132,0.595588,0.034986,0.681641,0.001953,0.000000,0.014648,0.000000,0.000000,0.001953,0.679688
1050624,150.627378,225.870,0.973277,0.023294,-3.899599,0.315297,0.552885,0.035013,0.696289,0.001953,0.000000,0.000000,0.000000,0.000977,0.001953,0.695312
1051648,156.372474,234.390,0.763653,0.173508,-3.898719,0.240472,0.534856,0.035020,0.739258,0.000977,0.000000,0.034180,0.000977,0.000000,0.000977,0.738281
1052672,154.794588,234.870,0.957735,0.025700,-3.897612,0.323546,0.543527,0.035048,0.762695,0.004883,0.000000,0.000000,0.000977,0.003906,0.004883,0.761719
1053696,155.343150,237.760,0.833627,0.190915,-3.896203,0.336560,0.531250,0.035070,0.602539,0.001953,0.000000,0.000000,0.000000,0.000000,0.001953,0.600586
1054720,150.440918,229.670,0.967835,0.021095,-3.894489,1.012987,0.596507,0.035121,0.757812,0.002930,0.000000,0.036133,0.000000,0.000977,0.001953,0.751953
1055744,152.546391,234.170,0.888704,0.085607,-3.891882,0.274940,0.515625,0.035156,0.770508,0.007812,0.005859,0.015625,0.013672,0.003906,0.007812,0.768555
1056768,150.716435,230.540,0.813201,0.254348,-3.890728,0.287457,0.507102,0.035166,0.767578,0.003906,0.000000,0.011719,0.000977,0.001953,0.002930,0.763672
1057792,158.458320,239.540,0.897864,0.078536,-3.890210,0.234755,0.461648,0.035177,0.786133,0.007812,0.000000,0.042969,0.011719,0.002930,0.006836,0.778320
1058816,145.258188,214.530,0.662894,0.396428,-3.889315,0.318704,0.531250,0.035197,0.682617,0.006836,0.000000,0.010742,0.006836,0.000977,0.005859,0.677734
1059840,145.092506,214.460,0.869877,0.149119,-3.887956,0.313201,0.582031,0.035222,0.670898,0.005859,0.000977,0.004883,0.010742,0.002930,0.005859,0.667969
1060864,140.570122,201.370,0.798999,0.168095,-3.886945,0.309666,0.544034,0.035231,0.703125,0.004883,0.000000,0.003906,0.004883,0.001953,0.004883,0.700195
1061888,143.500309,205.440,0.950537,0.044153,-3.886619,0.276826,0.533203,0.035242,0.778320,0.001953,0.000000,0.000000,0.000000,0.000977,0.000977,0.777344
1062912,155.799472,220.020,0.926013,0.027811,-3.885425,0.368736,0.541992,0.035265,0.655273,0.003906,0.000000,0.000000,0.000977,0.003906,0.003906,0.655273
1063936,150.834896,211.760,0.964533,0.033361,-3.883810,0.684360,0.568576,0.035296,0.645508,0.001953,0.000000,0.008789,0.002930,0.000977,0.001953,0.644531
1064960,158.309301,218.980,0.944271,0.031756,-3.882401,0.256893,0.558333,0.035316,0.672852,0.005859,0.000000,0.009766,0.000000,0.003906,0.004883,0.670898
1065984,155.080487,210.740,0.936439,0.060305,-3.881359,0.640147,0.575658,0.035345,0.710938,0.005859,0.004883,0.006836,0.016602,0.002930,0.005859,0.703125
