timestep,ep_rew_mean,ep_len_mean,explained_variance,value_loss,entropy,approx_kl,clip_fraction,std,intervention_rate,emergency_rate,int_rate_C-01,int_rate_C-02,int_rate_C-03,int_rate_C-04,int_rate_C-05,int_rate_C-06
1024,6.489010,18.074,nan,nan,nan,nan,nan,nan,0.947266,0.047852,0.029297,0.159180,0.104492,0.001953,0.040039,0.931641
2048,5.001828,15.940,-0.031015,1.608524,2.841657,0.007741,0.090039,1.004049,0.942383,0.060547,0.016602,0.084961,0.107422,0.008789,0.049805,0.920898
3072,5.309698,16.610,-0.364340,0.776541,2.852322,0.007461,0.095215,1.010175,0.941406,0.056641,0.039062,0.065430,0.130859,0.004883,0.047852,0.919922
4096,7.654928,21.430,0.335821,0.527837,2.858929,0.009042,0.073145,1.010349,0.958008,0.027344,0.023438,0.035156,0.068359,0.005859,0.025391,0.952148
5120,13.041879,25.560,0.582366,0.553942,2.857309,0.028147,0.127734,1.008704,0.960938,0.034180,0.013672,0.039062,0.049805,0.002930,0.030273,0.947266
6144,16.899925,27.370,0.592520,0.350940,2.859777,0.017161,0.141211,1.013401,0.952148,0.036133,0.019531,0.060547,0.073242,0.009766,0.033203,0.939453
7168,12.164574,24.290,0.667344,0.314636,2.863868,0.012182,0.135547,1.013455,0.957031,0.026367,0.039062,0.038086,0.162109,0.000977,0.020508,0.946289
8192,12.062814,24.890,0.347146,0.172792,2.863010,0.019903,0.163867,1.010592,0.959961,0.037109,0.010742,0.073242,0.070312,0.002930,0.032227,0.945312
9216,7.804186,18.230,0.552306,0.147087,2.868395,0.012825,0.169043,1.020507,0.945312,0.055664,0.037109,0.102539,0.152344,0.004883,0.046875,0.918945
10240,9.754720,19.930,0.415839,0.177470,2.877388,0.016065,0.171387,1.018545,0.961914,0.037109,0.015625,0.058594,0.079102,0.004883,0.029297,0.949219
11264,14.189589,22.890,0.416890,0.202129,2.866936,0.044913,0.229980,1.010900,0.954102,0.035156,0.009766,0.053711,0.095703,0.005859,0.034180,0.945312
12288,16.458676,25.490,0.535042,0.241672,2.859047,0.018292,0.168457,1.010176,0.959961,0.032227,0.026367,0.041016,0.081055,0.008789,0.028320,0.946289
13312,14.877248,21.810,0.701218,0.216232,2.856345,0.091027,0.253613,1.007438,0.948242,0.052734,0.017578,0.064453,0.080078,0.009766,0.044922,0.926758
14336,15.440910,21.220,0.644505,0.241641,2.852343,0.021892,0.207422,1.007945,0.951172,0.038086,0.005859,0.077148,0.042969,0.009766,0.034180,0.939453
15360,18.283589,22.730,0.731586,0.293405,2.853834,0.036301,0.241699,1.007423,0.948242,0.036133,0.009766,0.031250,0.061523,0.012695,0.034180,0.941406
16384,16.500537,20.680,0.515794,0.262913,2.852579,0.041809,0.244824,1.005887,0.933594,0.060547,0.020508,0.075195,0.100586,0.008789,0.051758,0.912109
17408,15.199495,19.120,0.508190,0.242463,2.846729,0.026160,0.241504,1.002096,0.953125,0.037109,0.014648,0.035156,0.042969,0.006836,0.034180,0.940430
18432,18.537425,21.560,0.794076,0.176461,2.838665,0.033796,0.235840,0.998525,0.950195,0.043945,0.010742,0.051758,0.076172,0.008789,0.034180,0.930664
19456,22.463420,25.480,0.494847,0.484213,2.836303,0.229573,0.220703,1.000195,0.943359,0.030273,0.012695,0.073242,0.075195,0.006836,0.029297,0.934570
20480,21.562630,24.270,0.650955,0.378683,2.835565,0.034699,0.267480,0.996404,0.916992,0.051758,0.029297,0.072266,0.107422,0.013672,0.045898,0.903320
21504,11.922828,16.140,0.720599,0.272063,2.830901,0.319894,0.219669,0.996955,0.949219,0.058594,0.005859,0.059570,0.085938,0.009766,0.046875,0.920898
22528,18.096887,20.200,0.651669,0.184858,2.830174,0.089781,0.235059,0.995476,0.948242,0.035156,0.010742,0.080078,0.091797,0.011719,0.032227,0.930664
23552,19.618887,23.330,0.769346,0.263915,2.821987,0.031046,0.226855,0.987800,0.948242,0.035156,0.012695,0.040039,0.063477,0.007812,0.028320,0.929688
24576,13.878599,18.800,0.782074,0.198943,2.809510,0.099647,0.247559,0.983916,0.944336,0.066406,0.012695,0.067383,0.071289,0.014648,0.054688,0.914062
25600,15.492653,19.490,0.741703,0.159639,2.801100,0.041240,0.244238,0.979221,0.939453,0.041016,0.005859,0.027344,0.051758,0.012695,0.036133,0.925781
26624,19.659696,24.010,0.657861,0.268847,2.790910,0.070457,0.272949,0.973925,0.933594,0.036133,0.001953,0.041016,0.063477,0.016602,0.033203,0.922852
27648,24.742943,28.970,0.532843,0.320007,2.788998,0.035397,0.253320,0.975992,0.942383,0.029297,0.004883,0.025391,0.035156,0.012695,0.025391,0.936523
28672,23.440349,26.860,0.311198,0.454378,2.789314,0.283744,0.211538,0.976177,0.929688,0.040039,0.013672,0.031250,0.067383,0.016602,0.034180,0.913086
29696,20.435047,24.870,0.444017,0.289433,2.787995,0.079212,0.296094,0.973495,0.935547,0.038086,0.004883,0.042969,0.049805,0.009766,0.031250,0.925781
30720,19.772044,23.290,0.677373,0.135380,2.785225,0.138959,0.300684,0.974965,0.941406,0.044922,0.014648,0.048828,0.059570,0.011719,0.039062,0.927734
