timestep,raw_steer,raw_throttle
10,-0.295778,0.275456
20,0.941409,1.000000
30,-0.857913,0.169011
40,-0.941019,0.172215
50,-0.138430,1.000000
60,-1.000000,0.797888
70,0.550482,0.651377
80,0.199535,0.941523
90,-0.151849,0.000000
100,0.120475,1.000000
110,-0.092915,0.358184
120,1.000000,0.176942
130,1.000000,0.063880
140,-1.000000,0.306207
150,-1.000000,0.152686
160,0.200647,0.274761
170,0.190008,1.000000
180,0.747499,0.666959
190,0.037571,0.349174
200,-0.710857,0.473704
210,1.000000,0.103025
220,-0.449453,0.542938
230,0.125551,0.546624
240,-0.435664,0.000000
250,1.000000,0.000000
260,1.000000,1.000000
270,0.231557,0.473582
280,-1.000000,0.207823
290,0.613976,0.714710
300,-0.197988,0.000000
310,0.002025,1.000000
320,0.450600,0.000000
330,1.000000,0.270249
340,-0.722628,0.988888
350,-1.000000,0.371632
360,0.162227,0.163108
370,-0.006304,1.000000
380,-1.000000,0.443166
390,-0.098242,1.000000
400,0.970666,0.000000
410,0.173060,0.372417
420,1.000000,0.017284
430,1.000000,0.000000
440,0.245034,0.295209
450,0.059658,0.467792
460,-0.221048,0.273030
470,1.000000,0.538769
480,-0.604615,0.557984
490,-0.103307,1.000000
500,1.000000,0.281859
510,1.000000,0.789399
520,-1.000000,1.000000
530,0.253647,0.000000
540,-1.000000,0.154727
550,1.000000,0.499941
560,1.000000,1.000000
570,-0.477390,0.844146
580,-0.033161,0.736208
590,1.000000,0.522210
600,0.946567,1.000000
610,0.670065,0.479013
620,1.000000,0.238623
630,-0.796834,0.324837
640,-0.124314,0.728565
650,-0.926269,0.555649
660,-0.456425,0.646927
670,-0.103248,1.000000
680,-0.020295,0.272285
690,-0.710609,1.000000
700,1.000000,0.000000
710,-1.000000,1.000000
720,-0.523132,1.000000
730,-1.000000,0.000000
740,0.356148,0.290027
750,-1.000000,0.026702
760,-1.000000,0.742195
770,0.230110,1.000000
780,0.893277,0.234040
790,1.000000,0.465129
800,-1.000000,1.000000
810,0.731881,0.597653
820,0.305754,0.600664
830,-0.219095,0.275037
840,0.369005,0.145665
850,0.696925,0.070135
860,0.114644,0.000000
870,1.000000,0.000000
880,-1.000000,0.956402
890,1.000000,0.864502
900,-0.547759,1.000000
910,-0.578070,0.103495
920,1.000000,0.466474
930,0.955188,1.000000
940,-1.000000,0.481421
950,-0.509586,0.387731
960,0.537973,0.000000
970,0.068261,0.686796
980,-0.599606,0.000000
990,0.045602,0.882015
1000,1.000000,1.000000
1010,1.000000,0.647869
1020,-0.535253,0.940598
1030,0.759844,0.638718
1040,-0.945311,0.797858
1050,-1.000000,0.509042
1060,-0.242666,0.325832
1070,-1.000000,0.435561
1080,0.377914,0.242258
1090,-1.000000,0.526878
1100,0.778160,0.000000
1110,-0.080677,0.170173
1120,-0.218005,0.397714
1130,-0.532586,0.074460
1140,-0.133734,0.656161
1150,0.795891,0.750784
1160,-0.186656,0.523084
1170,0.893862,0.654979
1180,0.906954,0.787189
1190,-0.525064,0.425165
1200,-0.572433,0.518822
1210,-0.712510,0.934945
1220,-0.410982,0.595377
1230,-1.000000,1.000000
1240,0.385108,0.051442
1250,1.000000,0.702603
1260,0.931919,1.000000
1270,-0.713389,1.000000
1280,1.000000,0.797526
1290,-0.349130,0.199995
1300,-1.000000,1.000000
1310,0.729979,0.306319
1320,1.000000,0.619778
1330,1.000000,0.000000
1340,-0.952270,0.476229
1350,-1.000000,0.153678
1360,-1.000000,0.247574
1370,1.000000,1.000000
1380,-0.440589,0.560112
1390,0.691553,0.952599
1400,-0.131969,0.617776
1410,-0.381265,1.000000
1420,-0.796771,0.622979
1430,1.000000,0.307562
1440,0.297991,0.205449
1450,1.000000,0.756465
1460,-0.929600,0.057541
1470,1.000000,0.522224
1480,0.342447,0.699475
1490,1.000000,0.467123
1500,-1.000000,0.384667
1510,-0.818387,0.504815
1520,-0.371611,0.502173
1530,-0.143448,0.225147
1540,-0.439991,0.837228
1550,0.248876,1.000000
