timestep,ep_rew_mean,ep_len_mean,explained_variance,value_loss,entropy,approx_kl,clip_fraction,std,intervention_rate,emergency_rate,int_rate_C-01,int_rate_C-02,int_rate_C-03,int_rate_C-04,int_rate_C-05,int_rate_C-06
1024,10.815727,27.324,nan,nan,nan,nan,nan,nan,0.893555,0.035156,0.068359,0.087891,0.174805,0.000000,0.033203,0.867188
2048,13.403875,32.629,-0.000571,14.266708,1.419550,0.006570,0.062500,1.001767,0.881836,0.021484,0.046875,0.056641,0.113281,0.000000,0.019531,0.862305
3072,12.926994,33.022,0.416799,16.233605,1.422836,0.007781,0.097461,1.007579,0.882812,0.027344,0.080078,0.048828,0.155273,0.000000,0.025391,0.854492
4096,13.624417,34.510,0.783795,16.981908,1.424348,0.011888,0.099512,1.002190,0.884766,0.028320,0.065430,0.105469,0.159180,0.000000,0.028320,0.858398
5120,14.688951,36.820,0.814050,8.841723,1.422549,0.005045,0.151270,1.004419,0.905273,0.021484,0.063477,0.061523,0.118164,0.000000,0.020508,0.885742
6144,15.524558,38.190,0.783945,16.617929,1.423144,0.006643,0.093848,1.004500,0.886719,0.019531,0.050781,0.033203,0.108398,0.000000,0.019531,0.869141
7168,17.913883,42.760,0.862416,17.864243,1.419265,0.004587,0.078223,0.994944,0.864258,0.013672,0.041992,0.023438,0.072266,0.000000,0.012695,0.854492
8192,22.224706,47.690,0.891158,15.207603,1.410853,0.012486,0.118555,0.989755,0.874023,0.015625,0.025391,0.037109,0.061523,0.000000,0.014648,0.867188
9216,24.521575,51.030,0.882210,16.694348,1.403708,0.007889,0.116895,0.978664,0.856445,0.016602,0.032227,0.038086,0.067383,0.000977,0.014648,0.842773
10240,29.203403,56.700,0.839692,23.021577,1.396322,0.009117,0.084863,0.976523,0.851562,0.012695,0.011719,0.013672,0.050781,0.000977,0.012695,0.839844
11264,30.680226,59.600,0.785862,18.805341,1.396663,0.006726,0.184863,0.978382,0.876953,0.016602,0.032227,0.071289,0.063477,0.000000,0.016602,0.867188
12288,32.663327,61.410,0.834021,13.831910,1.397122,0.009204,0.190527,0.978536,0.879883,0.010742,0.020508,0.037109,0.052734,0.000000,0.010742,0.870117
13312,35.669713,64.320,0.919518,8.097844,1.398384,0.011349,0.177344,0.981697,0.859375,0.012695,0.012695,0.027344,0.040039,0.000000,0.012695,0.853516
14336,39.898360,70.160,0.853763,12.626466,1.394166,0.040082,0.187793,0.968334,0.847656,0.007812,0.000000,0.001953,0.006836,0.002930,0.007812,0.844727
15360,44.943455,76.530,0.701821,62.123520,1.385452,0.010914,0.191309,0.966455,0.838867,0.004883,0.011719,0.009766,0.016602,0.000000,0.004883,0.835938
16384,49.705916,82.650,0.874095,13.392822,1.383636,0.004284,0.080957,0.964000,0.863281,0.005859,0.002930,0.009766,0.009766,0.000000,0.004883,0.859375
17408,55.004518,89.950,0.917264,5.908032,1.377045,0.014634,0.166797,0.956649,0.837891,0.005859,0.008789,0.028320,0.028320,0.000000,0.005859,0.831055
18432,57.992733,94.420,0.951776,7.701070,1.371930,0.007823,0.189844,0.951307,0.824219,0.004883,0.000000,0.006836,0.006836,0.000000,0.004883,0.822266
19456,64.384951,103.490,0.747302,41.356761,1.370115,0.022550,0.200879,0.952940,0.823242,0.003906,0.008789,0.010742,0.009766,0.000000,0.003906,0.821289
20480,67.860645,108.220,0.874143,15.893610,1.372062,0.005231,0.135937,0.954425,0.806641,0.005859,0.014648,0.006836,0.041992,0.000000,0.005859,0.802734
