timestep,ep_rew_mean,ep_len_mean,explained_variance,value_loss,entropy,approx_kl,clip_fraction,std,intervention_rate,emergency_rate,int_rate_C-01,int_rate_C-02,int_rate_C-03,int_rate_C-04,int_rate_C-05,int_rate_C-06
1024,14.249157,30.219,nan,nan,nan,nan,nan,nan,0.871094,0.027344,0.010742,0.045898,0.107422,0.000000,0.022461,0.841797
2048,17.645710,34.117,-0.052261,0.844509,1.424472,0.009782,0.073340,1.008893,0.882812,0.025391,0.006836,0.068359,0.083984,0.000000,0.021484,0.865234
3072,22.275939,41.097,0.377331,0.544802,1.421171,0.037788,0.175000,0.991244,0.883789,0.009766,0.028320,0.036133,0.079102,0.000000,0.007812,0.861328
4096,25.342872,47.453,0.035265,0.275396,1.401603,0.063392,0.279004,0.970935,0.889648,0.008789,0.040039,0.048828,0.120117,0.000000,0.006836,0.865234
5120,26.145163,49.590,0.373625,0.271177,1.384746,0.062377,0.310254,0.956044,0.914062,0.008789,0.023438,0.064453,0.086914,0.000000,0.004883,0.897461
6144,32.477843,57.640,0.600228,0.266172,1.368073,0.076313,0.355762,0.939680,0.885742,0.010742,0.003906,0.022461,0.041016,0.000000,0.009766,0.877930
7168,38.565186,64.360,0.458969,0.268518,1.348377,0.115675,0.362891,0.914746,0.909180,0.010742,0.000000,0.018555,0.021484,0.000000,0.008789,0.903320
8192,44.607117,71.820,0.120787,0.273359,1.319696,0.119372,0.388672,0.890140,0.888672,0.002930,0.000000,0.011719,0.022461,0.000000,0.002930,0.884766
9216,51.876898,80.640,0.502914,0.131592,1.292501,0.118399,0.366699,0.864899,0.895508,0.005859,0.005859,0.013672,0.025391,0.000000,0.004883,0.890625
10240,58.864543,88.810,0.671948,0.123845,1.263107,0.129003,0.361328,0.840759,0.907227,0.003906,0.000000,0.018555,0.009766,0.000000,0.003906,0.905273
11264,66.546290,97.970,0.702510,0.096424,1.236419,0.130989,0.401562,0.819357,0.890625,0.003906,0.000000,0.028320,0.008789,0.000000,0.003906,0.885742
12288,74.616759,107.620,0.742180,0.087286,1.212734,0.131026,0.395215,0.800862,0.891602,0.002930,0.000000,0.009766,0.000000,0.000000,0.002930,0.890625
13312,80.274014,114.400,0.837166,0.048014,1.183880,0.149718,0.431348,0.773324,0.900391,0.003906,0.000000,0.019531,0.002930,0.000000,0.003906,0.900391
14336,89.146587,125.290,0.770160,0.094486,1.153837,0.193040,0.397168,0.757315,0.908203,0.001953,0.000000,0.044922,0.002930,0.000000,0.001953,0.903320
